曲管理番号	バージョン	曲名	Diff	Lv
588	IIDX RED	AA	A	12
589	CANNON BALLERS	AA -rebuild-	A	12
590	EPOLIS	ACTØ	A	12
591	HEROIC VERSE	AKASHIC BREAK	A	12
592	Resort Anthem	ALBIDA	A	12
593	RESIDENT	Always We Trust In You	A	12
594	SINOBUZ	Amazing Mirage	L	12
595	EPOLIS	Ambivalent Vermilia	A	12
596	Sparkle Shower	Amor∞Fati	A	12
597	SPADA	Ancient Scapes	A	12
598	CastHour	Angel's Ladder	A	12
599	DJ TROOPERS	Anisakis -somatic mutation type"Forza"-	L	12
600	CANNON BALLERS	Antigravity	A	12
601	SINOBUZ	Apocalypse	A	12
602	Pinky Crush	Aqvion	A	12
603	EMPRESS	Arabian Rave Night	L	12
604	CastHour	Arkadia	A	12
605	RESIDENT	B.O.D.Y.	A	12
606	Sparkle Shower	Begin	A	12
607	EMPRESS	B4U(BEMANI FOR YOU MIX)	L	12
608	RESIDENT	BIGWAVERS	A	12
609	Sparkle Shower	BitRacer	A	12
610	BISTROVER	BLACK or WHITE?	A	12
611	EPOLIS	BLAZING_LAZER	A	12
612	HEROIC VERSE	Bow shock!!	L	12
613	Pinky Crush	Bring The Fire	A	12
614	Resort Anthem	Broken	A	12
615	PENDUAL	Broken Sword	A	12
616	BISTROVER	Burning Flame	L	12
617	EPOLIS	CADENZA	A	12
618	GOLD	Candy Galy	A	12
619	Rootage	Carry Me Away	A	12
620	Rootage	Catch Our Fire!	A	12
621	RESIDENT	Chaotoxin	A	12
622	SPADA	Close the World feat.a☆ru	A	12
623	SPADA	Close the World feat.a☆ru	L	12
624	copula	CODE:1 [revision1.0.1]	A	12
625	PENDUAL	Cosmic Cat	L	12
626	BISTROVER	COSMIC RAY	A	12
627	Pinky Crush	COSMIC V3LOCITY	A	12
628	RESIDENT	CUE CUE RESCUE	L	12
629	EPOLIS	Dahlia	A	12
630	SPADA	DARK LEGACY	A	12
631	Rootage	dAuntl3ss	A	12
632	CANNON BALLERS	DEADHEAT	A	12
633	CANNON BALLERS	DEATH†ZIGOQ ～怒りの高速爆走野郎～	A	12
634	EPOLIS	Demon March	A	12
635	Pinky Crush	destination	A	12
636	Sparkle Shower	Disco Killer Music Lover	A	12
