アクティブな難易度表: 22ランク
数値ランク数: 21
投票がある楽曲: 236件

変動対象楽曲: 234件
  DEMOTE  13.0 -> 12.9 | DIAVOLO (↑0 ↓1)
  DEMOTE  13.0 -> 12.9 | Thor's Hammer (↑0 ↓1)
  DEMOTE  13.0 -> 12.9 | XHRONOXAPSULΞ (↑0 ↓5)
  DEMOTE  12.9 -> 12.8 | ICARUS[L] (↑0 ↓2)
  PROMOTE 12.9 -> 13.0 | SAMURAI-Scramble[L] (↑7 ↓0)
  PROMOTE 12.9 -> 13.0 | Sinus Iridum (↑4 ↓0)
  PROMOTE 12.9 -> 13.0 | Skratch Education Lv-1 (↑6 ↓0)
  PROMOTE 12.9 -> 13.0 | Somnidiscotheque (↑2 ↓0)
  PROMOTE 12.9 -> 13.0 | X-DEN (↑3 ↓0)
  PROMOTE 12.9 -> 13.0 | 灼熱Beach Side Bunny (↑6 ↓0)
  DEMOTE  12.8 -> 12.7 | ChaserXX[L] (↑0 ↓3)
  PROMOTE 12.8 -> 12.9 | Dans la nuit de l'eternite (↑1 ↓0)
  DEMOTE  12.8 -> 12.7 | fixer (↑0 ↓3)
  PROMOTE 12.8 -> 12.9 | GiGaGaHell (↑1 ↓0)
  PROMOTE 12.8 -> 12.9 | Inferno of Fomalhaut (↑6 ↓0)
  DEMOTE  12.8 -> 12.7 | Level 5 (↑0 ↓1)
  DEMOTE  12.8 -> 12.7 | Makin' It (↑0 ↓3)
  DEMOTE  12.8 -> 12.7 | Y&Co. is dead or alive (↑0 ↓2)
  DEMOTE  12.8 -> 12.7 | ピアノ独奏無言歌 "灰燼" (↑0 ↓1)
  DEMOTE  12.8 -> 12.7 | 君のハートにロックオン[L] (↑0 ↓3)
  PROMOTE 12.8 -> 12.9 | 紫陽花 -AZISAI-[L] (↑3 ↓0)
  PROMOTE 12.7 -> 12.8 | 199024club -Re:BounceKiller- (↑2 ↓0)
  PROMOTE 12.7 -> 12.8 | 3y3s (↑2 ↓0)
  PROMOTE 12.7 -> 12.8 | Amor∞Fati (↑2 ↓0)
  DEMOTE  12.7 -> 12.6 | Artist (↑0 ↓1)
  PROMOTE 12.7 -> 12.8 | BLUE MIRAGE (↑2 ↓0)
  DEMOTE  12.7 -> 12.6 | CADENZA (↑0 ↓2)
  DEMOTE  12.7 -> 12.6 | Cross Fire (↑0 ↓2)
  PROMOTE 12.7 -> 12.8 | DAY DREAM (↑3 ↓0)
  PROMOTE 12.7 -> 12.8 | DUE TOMORROW (↑1 ↓0)
  DEMOTE  12.7 -> 12.6 | EBONY & IVORY[L] (↑0 ↓1)
  PROMOTE 12.7 -> 12.8 | EROICA (↑3 ↓0)
  PROMOTE 12.7 -> 12.8 | God Mind (↑2 ↓0)
  DEMOTE  12.7 -> 12.6 | Illegal Function Call (↑0 ↓1)
  DEMOTE  12.7 -> 12.6 | LOCUS OF THE TRAVEL (↑0 ↓2)
  DEMOTE  12.7 -> 12.6 | LOUDER ROLLING THUNDER (↑0 ↓3)
  PROMOTE 12.7 -> 12.8 | Plan 8 (↑4 ↓0)
  PROMOTE 12.7 -> 12.8 | Snake Stick (↑2 ↓0)
  PROMOTE 12.7 -> 12.8 | SOLAR ECLIPSE (↑3 ↓0)
  PROMOTE 12.7 -> 12.8 | The Clown of 24stairs (↑2 ↓0)
  DEMOTE  12.7 -> 12.6 | 華麗なる大犬円舞曲 (↑0 ↓1)
  PROMOTE 12.7 -> 12.8 | 表裏一体！？怪盗いいんちょの悩み[L] (↑2 ↓0)
  DEMOTE  12.6 -> 12.5 | 1116 (↑0 ↓3)
  PROMOTE 12.6 -> 12.7 | Almagest (↑1 ↓0)
  DEMOTE  12.6 -> 12.5 | Ancient Scapes[L] (↑0 ↓1)
  DEMOTE  12.6 -> 12.5 | Concertino in Blue (↑0 ↓1)
  PROMOTE 12.6 -> 12.7 | Do it!! Do it!![L] (↑3 ↓0)
  PROMOTE 12.6 -> 12.7 | Fascination MAXX (↑2 ↓0)
  PROMOTE 12.6 -> 12.7 | Ganymede[L] (↑3 ↓0)
  PROMOTE 12.6 -> 12.7 | In the Blackest Den (↑1 ↓0)
  PROMOTE 12.6 -> 12.7 | Level 3 (↑3 ↓0)
  PROMOTE 12.6 -> 12.7 | MAD ATTACK[L] (↑2 ↓0)
  PROMOTE 12.6 -> 12.7 | Miracle 5ympho X[L] (↑4 ↓0)
  PROMOTE 12.6 -> 12.7 | ruin of opals (↑1 ↓0)
  DEMOTE  12.6 -> 12.5 | T.R.O.L.L. (↑0 ↓4)
  DEMOTE  12.6 -> 12.5 | VANESSA[L] (↑0 ↓1)
  PROMOTE 12.6 -> 12.7 | ⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason (↑1 ↓0)
  PROMOTE 12.6 -> 12.7 | ベィスドロップ・フリークス[L] (↑1 ↓0)
  DEMOTE  12.6 -> 12.5 | 廿[L] (↑0 ↓1)
  DEMOTE  12.6 -> 12.5 | 恋愛＝精度×認識力 (↑0 ↓1)
  DEMOTE  12.6 -> 12.5 | 桜 (↑0 ↓1)
