曲管理番号	バージョン	曲名	Diff	Lv
1193	8th style	bit mania	A	8
1194	EMPRESS	Fly Above	A	8
1195	DJ TROOPERS	PROMISE FOR LIFE	A	8
1196	SIRIUS	バビロニア	A	8
1197	DJ TROOPERS	マチ子の唄	A	8
1198	Lincle	A MINSTREL ～ ver. short-scape ～	A	9
1199	HEROIC VERSE	And-RoiD	A	9
1200	7th style	Bad Routine	A	9
1201	10th style	Boundary	A	9
1202	EMPRESS	BRIDAL FESTIVAL !!!	A	9
1203	PENDUAL	chrono diver -fragment-	A	9
1204	SPADA	Claiomh Solais	A	9
1205	CANNON BALLERS	COSMIC☆WONDER☆REVOLUTION	A	9
1206	HEROIC VERSE	Crank It	A	9
1207	DistorteD	Double♡♡Loving Heart	A	9
1208	SPADA	Element of SPADA	A	9
1209	10th style	HIGH	A	9
1210	GOLD	High School Love	A	9
1211	Rootage	Hurry Hurry	A	9
1212	Sparkle Shower	JUST SYNC ft.Kanae Asaba	A	9
1213	DJ TROOPERS	Kick Out 仮面	A	9
1214	HAPPY SKY	LESSON 5	A	9
1215	7th style	Love Me Do	A	9
1216	tricoro	LUV CAN SAVE U	A	9
1217	Resort Anthem	Medicine of love	A	9
1218	EMPRESS	Mind Mapping	A	9
1219	SPADA	Recollection	A	9
1220	SIRIUS	Roots of my way!	A	9
1221	EPOLIS	So What	A	9
1222	copula	SURVIVOR	A	9
1223	EMPRESS	thunder HOUSE NATION Remix	A	9
1224	Rootage	ToyCube Pf.(RX-Ver.S.P.L.)	A	9
1225	Lincle	Voxane	A	9
1226	RESIDENT	雨のちパノラマセカイ	A	9
1227	BISTROVER	犬に雨傘	A	9
1228	tricoro	下弦の月	A	9
1229	Sparkle Shower	鏡像都市	A	9
1230	CastHour	黒紅掬い	A	9
1231	SIRIUS	コスモス	A	9
1232	PENDUAL	白露の風	A	9
1233	Rootage	セカンドピアス	A	9
1234	SIRIUS	たからもの	A	9
1235	DistorteD	タシカナモノ	A	9
1236	EPOLIS	れとりば！	A	9
1237	EPOLIS	Aeterna	A	10
1238	Sparkle Shower	AGETEKE ONDO	A	10
1239	CastHour	AMICABLE	A	10
1240	PENDUAL	Beat Radiance	A	10
1241	HEROIC VERSE	beatAffection	A	10
1242	SIRIUS	being torn the sky	A	10
1243	SINOBUZ	Believe in you	A	10
1244	DistorteD	Bloody Tears(IIDX EDITION)	A	10
1245	SINOBUZ	Breakin' Chain	A	10
1246	Resort Anthem	Breaking the ground	A	10
1247	HEROIC VERSE	Calvados Queen	A	10
1248	SIRIUS	CaptivAte～裁き～(SUBLIME TECHNO MIX)	A	10
1249	PENDUAL	chrono diver -fragment-	L	10
