rank_by_wp,a_title,a_diff,actual_a,slope,intercept,r,n,predicted_b,weight_r2,w_times_pred,predicted_over_max
1,KING,LEGGENDARIA,3940,0.984323,73.1458,0.9711,393,3951.3792,0.943053,3726.3584,True
2,Valanga,ANOTHER,3263,1.140255,242.8632,0.9682,370,3963.5152,0.937358,3715.2315,True
3,Arca,ANOTHER,3174,1.167423,286.3784,0.9635,266,3991.7782,0.928374,3705.8638,True
4,Carry Me Away,ANOTHER,3201,1.115940,394.5484,0.9649,349,3966.6714,0.930956,3692.7954,True
5,Echoes of Sunfall,ANOTHER,2990,1.239864,265.6555,0.9632,178,3972.8494,0.927839,3686.1653,True
6,海神,ANOTHER,3192,1.065498,573.6112,0.9615,299,3974.6805,0.924502,3674.6012,True
7,ONE AND ONLY,ANOTHER,3230,1.032936,680.5207,0.9561,314,4016.9045,0.914180,3672.1748,True
8,RED ZONE,LEGGENDARIA,3110,1.152626,364.0071,0.9634,336,3948.6733,0.928057,3664.5930,False
9,Apocalypse,ANOTHER,3597,1.074742,101.4674,0.9608,357,3967.3160,0.923111,3662.2743,True
10,Rave Cannon,ANOTHER,3367,0.992665,630.5371,0.9600,326,3972.8394,0.921536,3661.1158,True
11,RALLY '25,ANOTHER,3285,1.132500,277.3326,0.9558,462,3997.5935,0.913490,3651.7634,True
12,frequent,ANOTHER,3764,0.972834,308.7275,0.9589,343,3970.4749,0.919469,3650.7288,True
13,Nothing but Theory,LEGGENDARIA,3740,0.946268,389.8272,0.9637,356,3928.8689,0.928755,3648.9557,False
14,LIGHTNING STRIKES,ANOTHER,3254,1.167103,128.0816,0.9641,406,3925.8348,0.929456,3648.8904,False
15,COSMIC V3LOCITY,ANOTHER,3397,1.091228,315.1857,0.9524,281,4022.0863,0.907031,3648.1559,True
16,Ypsilon,ANOTHER,2898,1.406871,-130.2072,0.9614,139,3946.9045,0.924230,3647.8476,False
17,Raspberry Railgun,ANOTHER,3189,1.206127,127.0610,0.9579,342,3973.4010,0.917479,3645.5138,True
18,Viridian,ANOTHER,3369,0.929535,814.4834,0.9609,310,3946.0857,0.923283,3643.3539,False
19,BIGWAVERS,ANOTHER,3538,0.895010,809.1196,0.9571,298,3975.6636,0.916020,3641.7863,True
20,Mid-Corner (Magic Maker),ANOTHER,3154,0.990546,844.0739,0.9579,285,3968.2560,0.917631,3641.3932,True
21,XINOBIKILL,ANOTHER,2928,1.403276,-116.5773,0.9550,179,3992.2135,0.912019,3640.9742,True
22,Ypsilon,LEGGENDARIA,3571,0.887346,788.5841,0.9591,310,3957.2968,0.919955,3640.5364,True
23,encounter,ANOTHER,3312,1.074597,428.5730,0.9555,299,3987.6391,0.912922,3640.4028,True
24,麗 ～うらら～,ANOTHER,2616,1.619864,-330.4037,0.9651,241,3907.1617,0.931463,3639.3752,False
25,Begin,ANOTHER,3223,0.971793,792.1057,0.9629,450,3924.1931,0.927080,3638.0420,False
26,Nocturnal 2097,ANOTHER,2911,1.378466,-96.3833,0.9638,212,3916.3301,0.928893,3637.8520,False
27,Mukade,ANOTHER,3256,1.014951,660.3305,0.9578,229,3965.0118,0.917343,3637.2773,True
28,紅牡丹,ANOTHER,2876,1.277585,274.4340,0.9596,381,3948.7693,0.920783,3635.9597,False
29,20XX,ANOTHER,2702,1.339627,297.9371,0.9631,154,3917.6098,0.927490,3633.5456,False
