曲管理番号	バージョン	曲名	Diff	Lv
1555	HAPPY SKY	Pink Rose	A	8
1556	9th style	ATOMIC AGE	A	9
1557	BISTROVER	IIDX RED Ending (Ryu☆Remix)	A	9
1558	Lincle	Miami Sunset Drive	A	9
1559	Sparkle Shower	REcorrection	A	9
1560	SINOBUZ	獅子霞麗ノ舞	A	9
1561	9th style	真夏の花・真夏の夢	A	9
1562	SIRIUS	未来のプリズム	A	9
1563	Pinky Crush	ロマンシングエスケープ	A	9
1564	copula	Arcana	A	10
1565	Pinky Crush	Arcanos	A	10
1566	EPOLIS	Deep Sea Mystery	A	10
1567	copula	Donkey Donk	A	10
1568	Pinky Crush	Galaxy Collapse	A	10
1569	Resort Anthem	Golden Palms	A	10
1570	HEROIC VERSE	Infinity Mirror	A	10
1571	SIRIUS	Light Shine	A	10
1572	HEROIC VERSE	OUTER PLANETS	A	10
1573	HAPPY SKY	Pink Rose	L	10
1574	SPADA	RISE	A	10
1575	Sparkle Shower	Show Time	A	10
1576	Sparkle Shower	SILKY BRAVE	A	10
1577	RESIDENT	Sunny Day Vibes	A	10
1578	Rootage	The Best of Both Worlds	A	10
1579	HEROIC VERSE	Virus Funk	A	10
1580	BISTROVER	WAKE UP NOW	L	10
1581	copula	少女アリスと箱庭幻想コンチェルト	A	10
1582	EPOLIS	ないないルーティン	A	10
1583	CANNON BALLERS	ラストセンチュリーメランコリック	A	10
1584	EPOLIS	流桜ノ門	A	10
1585	4th style	ABSOLUTE	L	11
1586	BISTROVER	ABSOLUTE (kors k Remix)	A	11
1587	copula	Acid Pumper	A	11
1588	Sparkle Shower	BattleRoyal	A	11
1589	Lincle	CALL	L	11
1590	PENDUAL	Chronos	A	11
1591	4th style	Clione	L	11
1592	BISTROVER	Dawn Saga	A	11
1593	SIRIUS	Elisha	A	11
1594	CastHour	Ergosphere	A	11
1595	Pinky Crush	Fiery Stallion	A	11
1596	BISTROVER	GIGA RAID	A	11
1597	Lincle	GIGANT	L	11
1598	Resort Anthem	Golden Palms	L	11
1599	Resort Anthem	Kailua	A	11
1600	SIRIUS	MIRACLE MEETS	A	11
1601	CastHour	Nocturnal 2097	A	11
1602	BISTROVER	of the first magnitude	A	11
1603	BISTROVER	Para siempre	A	11
1604	RESIDENT	Perfect Plan	A	11
1605	HAPPY SKY	POODLE	L	11
1606	BISTROVER	Rejection Girl	A	11
1607	Lincle	Scharfrichter	A	11
1608	CastHour	Souhait bleu	A	11
1609	Lincle	Star Trail	L	11
1610	Rootage	Urban Constellations	A	11
1611	Rootage	Yum Yum Jelly	A	11
1612	BISTROVER	Zenith	A	11
1613	RESIDENT	《ORDERBREAKER》	A	11
1614	BISTROVER	乱膳の舞姫	A	11
1615	SPADA	Adularia	A	12
1616	CastHour	Aftermath	A	12
1617	SPADA	ALBA -黎明-	L	12
1618	HEROIC VERSE	BEAT PRISONER	A	12
1619	Sparkle Shower	chaplet -IIDX re:build-	A	12
1620	copula	DIAMOND CROSSING	A	12
1621	Pinky Crush	DIVINE JUDGEMENT	A	12
1622	SINOBUZ	ECHIDNA	A	12
1623	Rootage	Ember Lights	L	12
1624	Sparkle Shower	FiZZλ_PØT!OИ	A	12
1625	PENDUAL	fallen leaves -IIDX edition-	A	12
1626	copula	Godspeed	A	12
1627	tricoro	Hollywood Galaxy	A	12
1628	Pinky Crush	NOIXIA	A	12
1629	copula	NZM	A	12
1630	Rootage	Painful Fate	A	12
1631	CANNON BALLERS	REVOLVER	L	12
1632	SINOBUZ	Snakey Kung-fu	A	12
1633	SINOBUZ	Steel Edge	A	12
1634	tricoro	Timepiece phase II (CN Ver.)	A	12
1635	SINOBUZ	TOGAKUSHI	A	12
1636	CastHour	Triple Cross	A	12
1637	SINOBUZ	Umbral	L	12
1638	Rootage	Unbelief	A	12
1639	Lincle	蛇神	L	12
1640	RESIDENT	神のシナリオ	A	12
1641	HEROIC VERSE	深淵に捧ぐレクイエム	A	12
1642	CastHour	烽火連天の刃	A	12
1643	EPOLIS	摩天楼	A	12
1644	CastHour	禊	A	12
1645	DJ TROOPERS	ミラージュ・レジデンス	L	12
1646	SPADA	海神	A	12
1647	SPADA	海神	L	12
