曲管理番号	バージョン	曲名	Diff	Lv
1268	8th style	bit mania	A	8
1269	HAPPY SKY	EMPTY OF THE SKY	A	8
1270	EMPRESS	Fly Above	A	8
1271	DJ TROOPERS	PROMISE FOR LIFE	A	8
1272	Resort Anthem	Stay my side	A	8
1273	DJ TROOPERS	マチ子の唄	A	8
1274	Lincle	A MINSTREL ～ ver. short-scape ～	A	9
1275	HEROIC VERSE	And-RoiD	A	9
1276	7th style	Bad Routine	A	9
1277	10th style	Boundary	A	9
1278	EMPRESS	BRIDAL FESTIVAL !!!	A	9
1279	PENDUAL	chrono diver -fragment-	A	9
1280	SPADA	Claiomh Solais	A	9
1281	CANNON BALLERS	COSMIC☆WONDER☆REVOLUTION	A	9
1282	HEROIC VERSE	Crank It	A	9
1283	DistorteD	Double♡♡Loving Heart	A	9
1284	10th style	HIGH	A	9
1285	GOLD	High School Love	A	9
1286	Rootage	Hurry Hurry	A	9
1287	Resort Anthem	I FIGHT ME	A	9
1288	Sparkle Shower	JUST SYNC ft.Kanae Asaba	A	9
1289	DJ TROOPERS	Kick Out 仮面	A	9
1290	7th style	Love Me Do	A	9
1291	tricoro	LUV CAN SAVE U	A	9
1292	Resort Anthem	Medicine of love	A	9
1293	EMPRESS	Mind Mapping	A	9
1294	SIRIUS	Roots of my way!	A	9
1295	EPOLIS	So What	A	9
1296	copula	SURVIVOR	A	9
1297	EMPRESS	thunder HOUSE NATION Remix	A	9
1298	Lincle	Voxane	A	9
1299	RESIDENT	雨のちパノラマセカイ	A	9
1300	BISTROVER	犬に雨傘	A	9
1301	Sparkle Shower	鏡像都市	A	9
1302	CastHour	黒紅掬い	A	9
1303	SIRIUS	コスモス	A	9
1304	PENDUAL	白露の風	A	9
1305	Rootage	セカンドピアス	A	9
1306	SIRIUS	たからもの	A	9
1307	DistorteD	タシカナモノ	A	9
1308	EPOLIS	れとりば！	A	9
1309	EPOLIS	Aeterna	A	10
1310	Sparkle Shower	AGETEKE ONDO	A	10
1311	HAPPY SKY	Agnus Dei	A	10
1312	CastHour	AMICABLE	A	10
1313	9th style	bag	A	10
1314	PENDUAL	Beat Radiance	A	10
1315	HEROIC VERSE	beatAffection	A	10
1316	SINOBUZ	Believe in you	A	10
1317	DistorteD	Bloody Tears(IIDX EDITION)	A	10
1318	SINOBUZ	Breakin' Chain	A	10
1319	SIRIUS	CaptivAte～裁き～(SUBLIME TECHNO MIX)	A	10
1320	PENDUAL	chrono diver -fragment-	L	10
1321	Rootage	CoMAAAAAAA	A	10
1322	GOLD	CROSSROAD ～Left Story～	A	10
1323	copula	Damage Per Second	L	10
1324	Resort Anthem	DAYDREAMER	A	10
1325	DJ TROOPERS	Dazzlin' Darlin	A	10
1326	RESIDENT	Dreaming Dream	A	10
1327	Lincle	Drive Me Crazy	A	10
1328	HAPPY SKY	EDEN	A	10
1329	Pinky Crush	Eleanor	A	10
1330	CastHour	EMOTiON TRiPPER	A	10
1331	CANNON BALLERS	Expanded !!	A	10
1332	Resort Anthem	Fantasia	A	10
1333	Pinky Crush	FERMI♡PARADOX	A	10
1334	Lincle	Flip Flap	A	10
1335	Lincle	Follow Tomorrow	A	10
1336	HAPPY SKY	garden	A	10
1337	Pinky Crush	get set mind	A	10
1338	EPOLIS	Get Wicked	A	10
1339	GOLD	GRID KNIGHT	A	10
1340	HEROIC VERSE	Hold My Hand	A	10
1341	SPADA	Hypersonik	A	10
1342	EMPRESS	Jack	A	10
1343	4th style	KAMIKAZE	A	10
1344	RESIDENT	LADS	A	10
1345	Lincle	LAX5 feat.Ryota Yoshinari	A	10
1346	9th style	LOVE♡SHINE	A	10
1347	DJ TROOPERS	LOVELY STORM	A	10
1348	tricoro	LUV CAN SAVE U	L	10
1349	DJ TROOPERS	MAX LOVE	A	10
1350	HEROIC VERSE	Mel	L	10
1351	Resort Anthem	Mermaid girl	A	10
1352	Pinky Crush	Mighty Cutie	A	10
1353	EMPRESS	Mind Mapping	L	10
1354	SPADA	Miracle 5ympho X	A	10
1355	4th style	Mr.T.(take me higher)	A	10
1356	EPOLIS	NEEDLESS MY LOVE FOR YOU	A	10
1357	tricoro	New Lights	A	10
1358	BISTROVER	Ocean Blue feat. Luschel	A	10
1359	CANNON BALLERS	Only for now	A	10
1360	SINOBUZ	OOO	A	10
1361	Rootage	OVER TIME	L	10
