曲管理番号	バージョン	曲名	Diff	Lv
1648	5th style	Spin the disc	A	8
1649	SIRIUS	サヨナラ・ヘヴン	A	8
1650	IIDX RED	Close my Eyes for Me	A	9
1651	RESIDENT	Driver	A	9
1652	4th style	Hitch Hiker2	L	9
1653	Rootage	Psycho Sheep Riddim	A	9
1654	Lincle	Round and Round	A	9
1655	6th style	route 80s	A	9
1656	7th style	Somebody Like You	A	9
1657	GOLD	Watch out!!	A	9
1658	SIRIUS	bass 2 bass	A	10
1659	Rootage	BLACK JACKAL	A	10
1660	Resort Anthem	Breaking the ground	A	10
1661	6th style	Buffalo	A	10
1662	HAPPY SKY	Catch Me	A	10
1663	copula	Central Station	A	10
1664	SIRIUS	Do Back Burn	A	10
1665	10th style	Feedback	A	10
1666	BISTROVER	Frisk And Squeak	A	10
1667	CastHour	HEARTACHE	A	10
1668	CANNON BALLERS	Hella Deep	A	10
1669	GOLD	Make Me Your Own	A	10
1670	BISTROVER	Midnight Drive	A	10
1671	BISTROVER	MOVE! (We Keep It Movin')	A	10
1672	copula	NO LIMIT -オレ達に限界は無い-	A	10
1673	CastHour	Non Stop Rock	A	10
1674	Pinky Crush	PIT A PAT	A	10
1675	9th style	Really Love	A	10
1676	BISTROVER	Rowdy	A	10
1677	RESIDENT	Shamshir	A	10
1678	CANNON BALLERS	SPEED DEMON	A	10
1679	4th style	SWEET LAB	A	10
1680	EPOLIS	Tripping Jumping	A	10
1681	Pinky Crush	Vibing! Shake it!	A	10
1682	HAPPY SKY	オレはビートマニア！お前は何マニア？	A	10
1683	SIRIUS	サヨナラ・ヘヴン	L	10
1684	HEROIC VERSE	灼熱Beach Side Bunny (Masayoshi Iimori Remix)	A	10
1685	SPADA	廿	A	10
1686	Sparkle Shower	A Certified Rave Moment	A	11
1687	BISTROVER	apo:llioth	A	11
1688	CANNON BALLERS	Back Spin Sweeper	A	11
1689	SINOBUZ	Beat Juggling Mix	A	11
1690	Resort Anthem	Bounce Bounce Bounce	A	11
1691	SPADA	BRAINSTORM	A	11
1692	6th style	Buffalo	L	11
1693	HAPPY SKY	Catch Me	L	11
1694	4th style	CHECKING YOU OUT	A	11
1695	EPOLIS	Chemical Colours	A	11
1696	Rootage	CODE:Ø	A	11
1697	DJ TROOPERS	Digitank System	A	11
1698	CastHour	DISPARATE	A	11
1699	RESIDENT	EXODUS SIGN	A	11
1700	SPADA	Funny shuffle	A	11
1701	Sparkle Shower	GO!	A	11
1702	8th style	Halfway of promise	A	11
1703	PENDUAL	HELL SCAPER -Last Escape Remix-	A	11
1704	SIRIUS	Hydrogen Blueback	L	11
1705	Rootage	IDC feat.REVERBEE (Mo'Cuts Ver)	A	11
1706	SPADA	Insane Techniques	A	11
1707	EMPRESS	Just a Little Smile	A	11
1708	Rootage	LADYBIRD	A	11
1709	EMPRESS	naughty girl@Queen's Palace	A	11
1710	EMPRESS	naughty girl@Queen's Palace	L	11
1711	RESIDENT	OVER VOLTAGE	A	11
1712	SPADA	Overload Frontier	A	11
1713	Rootage	Psycho Sheep Riddim	L	11
1714	EPOLIS	Red Determination	A	11
1715	RESIDENT	Red Soul	A	11
1716	HEROIC VERSE	rough percussionythm	A	11
1717	copula	Routing	A	11
1718	SINOBUZ	SAMURAI-Scramble	A	11
1719	SINOBUZ	Selfish Sweet	L	11
1720	9th style	SWEETEST SAVAGE	A	11
1721	CANNON BALLERS	Temple of Anubis	A	11
1722	HEROIC VERSE	Theory	A	11
1723	EPOLIS	This Is Club Musik feat. 大久保紅葉	A	11
1724	EPOLIS	TRIP THE DEEP	A	11
1725	Sparkle Shower	TOKAKU=ALMiRAJ	A	11
1726	copula	Uh-Oh	A	11
1727	CANNON BALLERS	UMMU	A	11
1728	RESIDENT	VOLCANIC BIGBEAT	A	11
1729	IIDX RED	Wonder Bullfighter	A	11
1730	CastHour	10000 MILES AWAY	A	11
1731	HEROIC VERSE	27th style	A	11
1732	Rootage	& Intelligence	A	11
1733	tricoro	カジノファイヤーことみちゃん	A	11
1734	PENDUAL	とろぴかる倶楽部	A	11
1735	Rootage	花冠 feat.Aikapin	A	11
1736	PENDUAL	ベィスドロップ・フリークス	L	11
1737	Sparkle Shower	ベラ・ベ・カラベラ	A	11
1738	copula	AO-1	A	12
1739	IIDX RED	Be quiet	L	12
1740	Lincle	BLACK.by X-Cross Fade	A	12
1741	PENDUAL	BLUE MIRAGE	A	12
1742	CANNON BALLERS	Boomy and The Boost	A	12
1743	RESIDENT	Caldwell 99	L	12
1744	SINOBUZ	Caterpillar	A	12
1745	Rootage	CODE:Ø	L	12
1746	EPOLIS	Cult Invitation	A	12
1747	RESIDENT	dica dica	A	12
1748	CastHour	Don't believe the hype	A	12
1749	HEROIC VERSE	Double Dribble	A	12
1750	copula	Dynamite	A	12
1751	PENDUAL	FANTASTIC THREE	A	12
1752	Pinky Crush	FlyAway	A	12
1753	SINOBUZ	HADES	A	12
1754	Sparkle Shower	HEROES	A	12
1755	SPADA	HYENA	L	12
1756	SPADA	invoker	L	12
1757	HEROIC VERSE	LASER CRUSTER (IGNITE REMIX)	A	12
1758	BISTROVER	LOCUS OF THE TRAVEL	A	12
1759	HEROIC VERSE	Lords Of The Roundtable	A	12
1760	SPADA	MAD ATTACK	L	12
1761	Sparkle Shower	Makin' It	A	12
1762	SPADA	Miracle 5ympho X	L	12
1763	CANNON BALLERS	Papilio ulysses	A	12
1764	RESIDENT	Peaktime Booster	A	12
1765	tricoro	Plan 8	A	12
1766	CastHour	Purple Perplex	A	12
1767	CastHour	RAGE feat.H14 of LEONAIR	A	12
1768	SIRIUS	Red. by Full Metal Jacket	A	12
1769	Rootage	Red. by Jack Trance	A	12
1770	PENDUAL	Reflux	A	12
1771	SINOBUZ	SAMURAI-Scramble	L	12
1772	SINOBUZ	SAY BAY	A	12
1773	HAPPY SKY	SCREAM SQUAD	A	12
1774	HEROIC VERSE	SCREW // owo // SCREW	A	12
1775	Pinky Crush	Skratch Education Lv-1	A	12
1776	Lincle	Snake Stick	A	12
1777	EPOLIS	SOLAR ECLIPSE	A	12
1778	copula	STARLIGHT DANCEHALL	L	12
1779	CANNON BALLERS	The Chase	A	12
1780	BISTROVER	THE PEERLESS UNDER HEAVEN	A	12
1781	DJ TROOPERS	Time to Air	L	12
1782	CastHour	TOMAHAWK	A	12
1783	HEROIC VERSE	TRIUMPH	A	12
1784	Sparkle Shower	UNDO THE NIGHT	A	12
1785	EPOLIS	Vulnerability	A	12
1786	Resort Anthem	Watch Out Pt.2	A	12
1787	CastHour	WHA	A	12
1788	RESIDENT	Xerulean	A	12
1789	Rootage	Xlø	A	12
1790	CANNON BALLERS	Xperanza	A	12
1791	tricoro	ZED	L	12
1792	copula	199024club -Re:BounceKiller-	A	12
1793	CastHour	2 Beasts Unchained	A	12
1794	copula	紫陽花 -AZISAI-	L	12
1795	tricoro	カジノファイヤーことみちゃん	L	12
1796	SINOBUZ	〆	A	12
1797	copula	灼熱 Pt.2 Long Train Running	A	12
1798	Resort Anthem	灼熱Beach Side Bunny	A	12
1799	Pinky Crush	灼熱 Lost Summer Dayz	A	12
1800	copula	真 地獄超特急 -HELL or HELL-	A	12
1801	BISTROVER	水鏡の異界	A	12
1802	CastHour	雪上断火	A	12
1803	EPOLIS	電光	A	12
1804	SPADA	廿	L	12
1805	BISTROVER	バッド・スイーツ、バッド・ドリーム	A	12
1806	SINOBUZ	焱影	A	12
1807	PENDUAL	表裏一体！？怪盗いいんちょの悩み♥	L	12
