バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,4,0,0,0,---,FULLCOMBO CLEAR,---,5,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-17 08:27
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,FULLCOMBO CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-17 08:27
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,5,0,0,0,---,FULLCOMBO CLEAR,---,8,1214,599,16,3,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-09-17 21:16
3rd style,Holic,HARD TECHNO,TaQ,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,7,0,0,0,---,NO PLAY,---,11,1708,831,46,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-02-13 22:30
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,11,2701,1302,97,4,EX HARD CLEAR,AAA,2025-12-01 19:38
5th style,V,PROGRESSIVE,TAKA,1,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,10,0,0,0,---,EX HARD CLEAR,---,12,2963,1458,47,5,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-11-23 11:44
6th style,Colors (radio edit),TRANCE,dj TAKA,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,12,2387,1152,83,6,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-11-07 21:32
7th style,MAX 300,HARDCORE TECHNO,Ω,3,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2727,1318,91,9,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-12-27 18:47
8th style,memories,BEAT ROCK,TAKA,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,9,2211,1064,83,5,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-12-27 18:20
9th style,quasar,TRANCE,OutPhase,5,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,11,2294,1133,28,2,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-02-07 19:33
10th style,Innocent Walls,TECHNO,TaQ,2,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,EX HARD CLEAR,---,12,2461,1199,63,17,EX HARD CLEAR,AAA,12,2769,1338,93,10,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-01-15 21:11
IIDX RED,gigadelic,NUSTYLE GABBA,teranoid feat.MC Natsack,2,3,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,12,2106,998,110,2,FULLCOMBO CLEAR,AAA,12,2369,1108,153,11,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-01-20 21:04
HAPPY SKY,冥,HUMAN SEQUENCER,Amuro vs Killer,10,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,10,0,0,0,---,EX HARD CLEAR,---,12,3497,1605,287,35,HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2026-02-14 21:42
DistorteD,嘆きの樹,CONTEMPORARY,金獅子,6,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,12,3742,1794,154,11,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-01-31 17:07
GOLD,Fascination MAXX,SuperNOVA BEAT,100-200-400,10,0,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,11,0,0,0,---,EX HARD CLEAR,---,12,2413,1156,101,23,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-02-13 21:41
DJ TROOPERS,MENDES,IRREGULAR HI-BREAK,Humanoid,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,11,0,0,0,---,FULLCOMBO CLEAR,---,12,3512,1690,132,10,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2026-01-11 15:55
EMPRESS,卑弥呼,ESOTERIC SPEEDCORE,朱雀 VS 玄武,6,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,EX HARD CLEAR,---,12,3716,1712,292,41,HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2026-02-02 21:41
SIRIUS,Almagest,AKASHIC RECORDS,Galdeira,1,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,12,2927,1353,221,23,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-11-25 19:53
Resort Anthem,灼熱Beach Side Bunny,BROKEN SAMBA BREAK,DJ Mass MAD Izm*,18,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,EX HARD CLEAR,---,10,1924,910,104,4,EX HARD CLEAR,AAA,12,2913,1290,333,38,HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2026-02-21 07:31
Lincle,DIAVOLO,TRANSCENDENTAL ETUDES,度胸兄弟,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,12,2986,1364,258,31,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2026-01-15 22:38
