"SμG@R RU$#","3,848"
"XHRONOXAPSULΞ","3,924"
"Skratch Education Lv-1","2,970"
"ChaserXX[L]","3,778"
"天使のカンタータ -Cantata of Angels-","4,165"
"Flamingo","3,400"
"God Mind","4,071"
"SISYPHUS","2,643"
"Cross Fire","3,298"
"#The_Relentless[L]","4,294"
"Without Heaven","3,612"
"Uaigh Gealai","3,725"
"HYENA[L]","3,578"
"灼熱 Lost Summer Dayz","2,745"
"uen","2,922"
"アラビアン ハイパー ナイト","3,193"
"EYE OF THE HEAVEN","3,446"
"hora de verdad","2,955"
"1116","2,987"
"蛇神[L]","3,597"
"スキッテイエェエエェ!!!!","4,143"
"Satellite Burst","3,778"
"Drop Syndicate","3,516"
"Bow shock!![L]","4,111"
"FlyAway","3,113"
"LIGHTNING STRIKES[L]","4,010"
"MARLIN","3,397"
"NOIXIA","3,829"
"Mid-Corner (Magic Maker)","3,043"
"u gotta beat","3,412"
"COSMIC C3LOCITY","NOT FOUND"
"DIVINE JUDGEMENT","2,675"
"Lightspeed","3,034"
"Bring The Fire","3,276"
"Roar of Chronos","3,761"
"Aqvion","3,349"
"destination","3,208"
"EX-MASSIVE FIGHTER","3,259"
"覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～","2,773"
"Here We Go Now","3,193"
"爆ぜりゃんせ","2,873"
"Chronos","2,277"
"TECHNO RUMBLE","2,798"
"Space In Time","1,978"
"ファイナルレター","2,590"
"Chronos[L]","2,905"
"Constellation","2,711"
"smooooch・∀・[L]","2,713"
"スパークリング☆彡ハイパーチューン！！","3,482"
"Scripted Connection⇒ N mix[L]","2,356"
"ADAMANT","2,907"
"CALL[L]","2,590"
"えだまめカレークッキング","2,114"
"CHAOTIC SUNBIRD","3,140"
"CUE CUE RESCUE[L]","2,926"
"ELYSIUM","2,601"
"lowercase lifetime","2,658"
"Feiry Stallion","NOT FOUND"
"Show Me All Your Love","2,800"
"ハオ","2,756"
"everlastingeuphoria:","2,348"
"きみのせかい","2,732"
"A MINSTREL","NOT FOUND"
"RAVE SYNDROME","2,649"
"Raspberry Potion (feat.あれたん & ぎゃるのしん☆)","2,394"
"断罪の一花","2,448"
"IN BETWEEN","2,269"
"アイドル[L]","3,023"
"MVP","2,490"
"Bang-Boo Bumble","2,794"
"PopなEDEN","2,333"
"メズマライザー","2,598"
"ここからよろしく大作戦143[L]","3,019"
"HIGH[L]","2,726"
"怪物[L]","3,113"
"Stargazing Trip ～星 探す旅～ ft. 小林マナ","2,539"
