TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
Dr.LOVE	-	204	261	290	-	259	321	-	-	1:40	専用:VJ GYO	
GAMBOL	-	137	137	-	-	137	137	-	-	※	専用:VJ GYO	
GRADIUSIC CYBER	-	442	508	609	-	409	556	631	-	1:40	専用:VJ GYO	
R3	-	330	368	454	-	384	392	475	-	1:22	専用:VJ GYO	
22DUNK	-	265	323	329	-	333	334	329	-	1:17	2nd TECHNO汎用	
5.1.1.	-	99	511	786	-	99	511	796	-	※	専用:VJ GYO	
beatmania IIDX substream ▲ ▼ △												
deep in you	-	250	255	333	-	283	293	364	-	1:20	3rd DANCE汎用	
GENOM SCREAMS	-	211	417	536	-	211	417	538	-	1:19	3rd CYBER汎用	
gentle stress	-	172	342	728	-	199	327	772	-	1:43	専用:VJ GYO	
KEEP ON MOVIN'	-	98	122	-	-	119	122	-	-	1:09	専用:VJ GYO	
Macho Gang	-	191	548	837	-	262	836	846	-	1:37	専用:VJ GYO	
PARANOIA MAX～DIRTY MIX～	-	280	376	562	-	280	406	581	-	1:36	専用:VJ GYO	
RUGGED ASH	-	185	201	556	1058	186	201	624	1203	1:17	5th DISCO汎用	
THE EARTH LIGHT	-	398	530	581	-	456	718	581	-	1:32	専用:VJ GYO	
beatmania IIDX 2nd style ▲ ▼ △												
Digital MinD(A/T Libra mix)	-	374	542	573	-	374	597	-	-	1:40	専用:VJ GYO	
Electro Tuned(the SubS mix)	-	390	483	537	-	469	569	-	-	1:40	2nd TECHNO汎用+ミスレイヤー	BEMANI Designers "GOLI"
I Was The One	-	272	326	348	-	205	270	-	-	1:38	2nd HOUSE汎用	
Indigo Vision(full flavour hide around mix)	-	442	569	617	-	455	617	-	-	1:38	専用:VJ GYO,GOLI(イラスト)	
PUT YOUR FAITH IN ME(for beatmania II)	-	291	434	-	-	288	434	-	-	1:56	2nd HOUSE汎用	
SP-TRIP MACHINE(for beatmania II)	-	254	313	324	-	254	311	-	-	1:31	2nd TECHNO汎用	
0.59	-	360	514	584	-	444	514	585	-	1:46	2nd HOUSE汎用	
beatmania IIDX 3rd style ▲ ▼ △												
CAN'T STOP FALLIN'IN LOVE	-	310	632	-	-	313	620	-	-	1:37	6th EURO汎用	
Don't Stop!	-	389	428	453	-	391	450	-	-	1:51	3rd DISCO汎用	
era (nostalmix)	-	437	555	786	-	437	952	1226	-	※	専用:VJ GYO	
Holic	-	395	624	880	-	680	875	1136	-	1:27	3rd CYBER汎用	
LEADING CYBER	-	434	611	645	-	478	611	645	-	1:42	専用:VJ YUZ,GOLI(イラスト)	
Presto	-	273	498	508	-	274	508	-	-	1:40	専用:VJ YUZ	
R5	-	387	588	889	-	430	599	870	-	※	2nd TECHNO汎用	
REINCARNATION	-	424	525	643	-	398	525	643	-	1:56	専用:VJ GYO	
Schlagwerk	-	414	663	848	-	412	1043	1090	-	1:40	専用:VJ GYO	
Skyscraper	-	372	610	629	-	413	628	-	-	1:37	2nd HOUSE汎用	
Tangerine Stream	-	141	198	-	-	151	199	-	-	1:35	2nd HOUSE汎用	
THE SAFARI	183	618	900	-	-	624	900	-	-	1:26	4th HOUSE汎用+ミスレイヤー	BEMANI Designers "GOLI"
beatmania IIDX 4th style ▲ ▼ △												
ABSOLUTE	-	682	935	1218	1412	728	934	1338	1488	2:09	専用:GOLI	
B4U	-	538	801	1014	-	629	815	-	-	1:37	専用:VJ GYO	
