title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
Dr.LOVE,baby weapon feat.Asuka.M,DANCE POP,123,-,2,3,4,-,3,4,-,-,-,204,261,290,-,259,321,-,-
GAMBOL,SLAKE,BIG BEAT,102,-,2,2,-,-,2,2,-,-,-,137,137,-,-,137,137,-,-
GRADIUSIC CYBER,TAKA,DIGI-ROCK,※,-,5,6,7,-,4,9,9,-,-,442,508,609,-,409,556,631,-
R3,tiger YAMATO,RAVE,157,-,4,5,6,-,4,6,8,-,-,330,368,454,-,384,392,475,-
22DUNK,SLAKE,TECHNO,135,-,3,4,5,-,5,5,5,-,-,265,323,329,-,333,334,329,-
5.1.1.,dj nagureo,PIANO AMBIENT,101,-,2,6,10,-,1,7,10,-,-,99,511,786,-,99,511,796,-
deep in you,dj nagureo,DANCE POP,126,-,4,4,5,-,3,4,7,-,-,250,255,333,-,283,293,364,-
GENOM SCREAMS,L.E.D.LIGHT,TRANCE,150,-,3,6,9,-,3,6,9,-,-,211,417,536,-,211,417,538,-
gentle stress,DJ Swan,DRUM'N'BASS,175,-,2,4,9,-,3,5,9,-,-,172,342,728,-,199,327,772,-
KEEP ON MOVIN',N.M.R.,DANCE POP,132,-,2,3,-,-,2,3,-,-,-,98,122,-,-,119,122,-,-
Macho Gang,ANAL SPYDER,TRIBAL HOUSE,125,-,2,7,10,-,3,11,11,-,-,191,548,837,-,262,836,846,-
PARANOIA MAX～DIRTY MIX～,190,JUNGLE,190,-,5,6,8,-,3,6,9,-,-,280,376,562,-,280,406,581,-
RUGGED ASH,SYMPHONIC DEFOGGERS,FUTURE JAZZ,168,-,3,3,9,11,3,4,9,12,-,185,201,556,1058,186,201,624,1203
THE EARTH LIGHT,L.E.D.LIGHT,TRANCE,145,-,4,7,8,-,5,10,7,-,-,398,530,581,-,456,718,581,-
Digital MinD(A/T Libra mix),TaQ,MINIMAL,155,-,4,5,6,-,4,8,-,-,-,374,542,573,-,374,597,-,-
Electro Tuned(the SubS mix),TaQ,BIG BEAT,125,-,4,5,6,-,6,9,-,-,-,390,483,537,-,469,569,-,-
I Was The One,good-cool,ITALO HOUSE,125,-,3,3,4,-,2,2,-,-,-,272,326,348,-,205,270,-,-
Indigo Vision(full flavour hide around mix),TaQ,GOA TRANCE,155,-,3,5,8,-,5,8,-,-,-,442,569,617,-,455,617,-,-
PUT YOUR FAITH IN ME(for beatmania II),dj TAKA feat. UZI-LAY,JAZZ FUNK,127,-,3,6,-,-,4,7,-,-,-,291,434,-,-,288,434,-,-
SP-TRIP MACHINE(for beatmania II),dj TAKA feat. DE-SIRE,JUNGLE,168,-,3,4,4,-,3,5,-,-,-,254,313,324,-,254,311,-,-
0.59,dj TAKA,CHILL OUT,123-135,-,4,6,7,-,4,6,7,-,-,360,514,584,-,444,514,585,-
CAN'T STOP FALLIN'IN LOVE,NAOKI,HYPER EUROBEAT,155,-,4,8,-,-,4,7,-,-,-,310,632,-,-,313,620,-,-
Don't Stop!,dj TAKA feat. JP Miles,HAPPY HANDBAG,130,-,4,4,4,-,4,4,-,-,-,389,428,453,-,391,450,-,-
era (nostalmix),TaQ,DRUM'N'BASS,90-180,-,5,8,9,-,5,12,12,-,-,437,555,786,-,437,952,1226,-
Holic,TaQ,HARD TECHNO,155,-,5,7,11,-,7,10,12,-,-,395,624,880,-,680,875,1136,-
LEADING CYBER,dj TAKA,DIGI-ROCK,150,-,4,6,7,-,4,6,6,-,-,434,611,645,-,478,611,645,-
Presto,Osamu Kubota,PIANO AMBIENT,136,-,3,8,8,-,3,8,-,-,-,273,498,508,-,274,508,-,-
R5,tigerYAMATO with ultrabeatbox,RAVE,180,-,5,8,11,-,5,8,11,-,-,387,588,889,-,430,599,870,-
REINCARNATION,dj TAKA,TRANCE,145,-,4,5,7,-,4,5,7,-,-,424,525,643,-,398,525,643,-
Schlagwerk,TaQ,BIG BEAT,125,-,4,6,8,-,4,11,11,-,-,414,663,848,-,412,1043,1090,-
Skyscraper,good-cool,EPIC HOUSE,135,-,4,6,7,-,4,7,-,-,-,372,610,629,-,413,628,-,-
Tangerine Stream,dj TAKA,AMBIENT,84,-,2,3,-,-,2,3,-,-,-,141,198,-,-,151,199,-,-
THE SAFARI,Lion Musashi,WORLD HOUSE,150,2,7,10,-,-,8,10,-,-,183,618,900,-,-,624,900,-,-
ABSOLUTE,dj TAKA,EPIC TRANCE,60-144,-,6,8,10,11,6,8,11,11,-,682,935,1218,1412,728,934,1338,1488
B4U,NAOKI,SPEED RAVE,155,-,5,9,10,-,6,8,-,-,-,538,801,1014,-,629,815,-,-
Broken My Heart,NAOKI feat.PAULA TERRY,HYPER EUROBEAT,160,-,5,7,9,-,4,7,10,-,-,474,751,914,-,405,742,914,-
Burnin' The Floor,NAOKI,EURO GROOVE,155,-,4,4,7,-,4,4,8,-,-,293,478,721,-,460,482,724,-
CHECKING YOU OUT,good-cool feat. JP Miles,HIP HOP,108-216,-,7,9,11,-,7,11,11,-,-,339,481,700,-,339,482,703,-
Clione,kors k,DUTCH TRANCE,148,-,4,5,9,11,3,4,9,11,-,264,479,811,1102,264,477,1010,1203
DXY!,TaQ,TECHNO,148,-,6,9,10,-,6,12,12,-,-,651,968,1158,-,781,1332,1529,-
empathy,TaQ,DRUM'N'BASS,※,-,5,7,8,-,4,11,-,-,-,416,703,743,-,411,961,-,-
era (step mix),TaQ,DRUM'N'BASS,90-180,-,5,8,9,-,4,8,12,-,-,565,733,875,-,503,728,1226,-
FLOWERS for ALBION,dj TAKA,AMBIENT,70-93,-,2,5,-,-,5,7,-,-,-,122,222,-,-,190,222,-,-
HIGHER,NM feat. Sunny,DANCE POP,132,-,3,4,6,-,4,6,7,-,-,270,468,641,-,362,578,611,-
Hitch Hiker2,good-cool,WARP HOUSE,137,-,4,6,7,9,5,9,9,10,-,420,609,665,976,518,880,864,975
Jam&Marmalade,FinalOffset,WARP HOUSE,145,-,6,7,8,-,4,6,-,-,-,388,456,512,-,327,451,-,-
KAMIKAZE,dj nagureo,TECHNO,130,-,5,6,10,-,5,7,10,-,-,515,745,1157,-,512,745,1156,-
