SP					DP				BPM	GENRE	TITLE	ARTIST	
B	N	H	A	L	N	H	A	L					
beatmania IIDX ▼ △													
-	2	3	4	-	3	4	-	-	123	DANCE POP	Dr.LOVE	baby weapon feat.Asuka.M	
-	2	2	-	-	2	2	-	-	102	BIG BEAT	GAMBOL	SLAKE	
-	5	6	7	-	4	9	9	-	※	DIGI-ROCK	GRADIUSIC CYBER	TAKA	
-	4	5	6	-	4	6	8	-	157	RAVE	R3	tiger YAMATO	
-	3	4	5	-	5	5	5	-	135	TECHNO	22DUNK	SLAKE	
-	2	6	10	-	1	7	10	-	101	PIANO AMBIENT	5.1.1.	dj nagureo	
beatmania IIDX substream ▲ ▼ △													
-	4	4	5	-	3	4	7	-	126	DANCE POP	deep in you	dj nagureo	
-	3	6	9	-	3	6	9	-	150	TRANCE	GENOM SCREAMS	L.E.D.LIGHT	
-	2	4	9	-	3	5	9	-	175	DRUM'N'BASS	gentle stress	DJ Swan	
-	2	3	-	-	2	3	-	-	132	DANCE POP	KEEP ON MOVIN'	N.M.R.	
-	2	7	10	-	3	11	11	-	125	TRIBAL HOUSE	Macho Gang	ANAL SPYDER	
-	5	6	8	-	3	6	9	-	190	JUNGLE	PARANOIA MAX～DIRTY MIX～	190	
-	3	3	9	11	3	4	9	12	168	FUTURE JAZZ	RUGGED ASH	SYMPHONIC DEFOGGERS	
-	4	7	8	-	5	10	7	-	145	TRANCE	THE EARTH LIGHT	L.E.D.LIGHT	
beatmania IIDX 2nd style ▲ ▼ △													
-	4	5	6	-	4	8	-	-	155	MINIMAL	Digital MinD(A/T Libra mix)	TaQ	
-	4	5	6	-	6	9	-	-	125	BIG BEAT	Electro Tuned(the SubS mix)	TaQ	
-	3	3	4	-	2	2	-	-	125	ITALO HOUSE	I Was The One	good-cool	
-	3	5	8	-	5	8	-	-	155	GOA TRANCE	Indigo Vision(full flavour hide around mix)	TaQ	
-	3	6	-	-	4	7	-	-	127	JAZZ FUNK	PUT YOUR FAITH IN ME(for beatmania II)	dj TAKA feat. UZI-LAY	
-	3	4	4	-	3	5	-	-	168	JUNGLE	SP-TRIP MACHINE(for beatmania II)	dj TAKA feat. DE-SIRE	
-	4	6	7	-	4	6	7	-	123-135	CHILL OUT	0.59	dj TAKA	
beatmania IIDX 3rd style ▲ ▼ △													
-	4	8	-	-	4	7	-	-	155	HYPER EUROBEAT	CAN'T STOP FALLIN'IN LOVE	NAOKI	
-	4	4	4	-	4	4	-	-	130	HAPPY HANDBAG	Don't Stop!	dj TAKA feat. JP Miles	
-	5	8	9	-	5	12	12	-	90-180	DRUM'N'BASS	era (nostalmix)	TaQ	
-	5	7	11	-	7	10	12	-	155	HARD TECHNO	Holic	TaQ	
-	4	6	7	-	4	6	6	-	150	DIGI-ROCK	LEADING CYBER	dj TAKA	
-	3	8	8	-	3	8	-	-	136	PIANO AMBIENT	Presto	Osamu Kubota	
-	5	8	11	-	5	8	11	-	180	RAVE	R5	tigerYAMATO with ultrabeatbox	
-	4	5	7	-	4	5	7	-	145	TRANCE	REINCARNATION	dj TAKA	
-	4	6	8	-	4	11	11	-	125	BIG BEAT	Schlagwerk	TaQ	
-	4	6	7	-	4	7	-	-	135	EPIC HOUSE	Skyscraper	good-cool	
-	2	3	-	-	2	3	-	-	84	AMBIENT	Tangerine Stream	dj TAKA	
2	7	10	-	-	8	10	-	-	150	WORLD HOUSE	THE SAFARI	Lion Musashi	
beatmania IIDX 4th style ▲ ▼ △													
