曲管理番号	バージョン	曲名	Diff	Lv
1	5th style	Abyss	A	8
2	CastHour	Blue Bird feat. Kanae Asaba	A	8
3	8th style	CELEBRATE NITE	A	8
4	tricoro	connective	A	8
5	7th style	D2R	A	8
6	7th style	DESTINY	A	8
7	SINOBUZ	elemental bender feat. Kanae Asaba	A	8
8	HEROIC VERSE	fairy cocktail	A	8
9	7th style	foreplay	A	8
10	7th style	Happy Wedding	A	8
11	8th style	LOVE IS ORANGE	A	8
12	5th style	outer wall	A	8
13	Rootage	OVER TIME	A	8
14	3rd style	Schlagwerk	A	8
15	substream	THE EARTH LIGHT	A	8
16	5th style	THE SHINING POLARIS	A	8
17	GOLD	The Smile of You	A	8
18	DJ TROOPERS	Wanna Party?	A	8
19	GOLD	With your Smile	A	8
20	6th style	19,November	A	8
21	SIRIUS	かずあそび	A	8
22	Rootage	ミストレス・アンに花束を	A	8
23	8th style	abstract	A	9
24	9th style	ACT	A	9
25	CANNON BALLERS	Alpheratz	A	9
26	Lincle	ANAGRAMS I to Y	A	9
27	SIRIUS	beatchic☆仮面～好き、でいさせて～	A	9
28	BISTROVER	BEMANI PRO LEAGUE Theme	A	9
29	4th style	Broken My Heart	A	9
30	Lincle	Change the World	A	9
31	7th style	Cheer Train	A	9
32	copula	Damage Per Second	A	9
33	Pinky Crush	Digital Radiance	A	9
34	HAPPY SKY	Don't let it go	A	9
35	Pinky Crush	Dreamship	A	9
36	8th style	dual control	A	9
37	CastHour	Fantastic Merry-Go-Round	A	9
38	Lincle	Far east nightbird	A	9
39	HAPPY SKY	First Resolution	A	9
40	6th style	Frozen Ray (original mix)	A	9
41	CANNON BALLERS	Get Up! feat. Kanae Asaba	A	9
42	Lincle	GIGANT	A	9
43	Rootage	Glory	A	9
44	tricoro	Howling	A	9
45	8th style	HYPER BOUNDARY GATE	A	9
46	HEROIC VERSE	Hyper Drive feat. ぷにぷに電機	A	9
47	tricoro	I know You know	A	9
48	tricoro	In Heaven	A	9
49	PENDUAL	In The Breeze	A	9
50	SIRIUS	IN THE NAME OF LOVE	A	9
51	DistorteD	INFERNO	A	9
52	PENDUAL	IXION	A	9
53	copula	Journey	A	9
54	Lincle	KYAMISAMA ONEGAI!	A	9
55	7th style	Last Message	A	9
56	Lincle	Liquid Crystal Girl feat. echo	A	9
57	SPADA	MAD ATTACK	A	9
58	HEROIC VERSE	Mel	A	9
59	8th style	memories	A	9
60	Lincle	Mermaid girl-秋葉工房 MIX-	A	9
61	CANNON BALLERS	Midnight Lady	A	9
62	EPOLIS	My Sweet Bird?	A	9
63	EMPRESS	NΦ CRIME	A	9
64	HAPPY SKY	PLASMA	A	9
65	IIDX RED	Raspberry♡Heart(English version)	A	9
66	Lincle	Round and Round	A	9
67	BISTROVER	S-Bahn	A	9
68	DJ TROOPERS	satfinal	A	9
69	SINOBUZ	Seaside Labyrinth	A	9
70	SINOBUZ	Selfish Sweet	A	9
71	tricoro	Shining World	A	9
72	10th style	SHOOTING STAR	A	9
73	Sparkle Shower	Signs and Wonders	A	9
74	9th style	Silvia Drive	A	9
75	CANNON BALLERS	Sleepless days	A	9
76	SIRIUS	Special One	A	9
77	9th style	STAR FIELD	A	9
78	4th style	starmine	A	9
79	HEROIC VERSE	Sugar Drippin'	A	9
80	DJ TROOPERS	the trigger of innocence	A	9
81	8th style	thunder	A	9
82	Rootage	Twilight Warp	A	9
83	BISTROVER	WAKE UP NOW	A	9
84	RESIDENT	wanna be a "BAD GIRL" feat. Nana Takahashi	A	9
85	HAPPY SKY	We are Disっ娘よっつ打ち命	A	9
86	Resort Anthem	WISE UP!	A	9
87	DistorteD	WISH(EUROBEAT MIX)	A	9
88	DistorteD	with you…	A	9
89	DJ TROOPERS	エコ爺	A	9
90	Resort Anthem	かげぬい ～ Ver.BENIBOTAN ～	A	9
91	Lincle	陽炎	A	9
92	PENDUAL	恋は白帯、サンシロー	A	9
93	DJ TROOPERS	高高度降下低高度開傘	A	9
94	EPOLIS	センチメンタル・サマー	A	9
95	GOLD	零 - ZERO -	A	9
96	EMPRESS	翼	A	9
97	CANNON BALLERS	ナイトシティー・アヴァンチュール	A	9
98	DistorteD	虹色	A	9
99	RESIDENT	真夜中のバベル	A	9
100	SIRIUS	未来のプリズム	A	9
101	GOLD	ヨシダさん	A	9
102	4th style	ABSOLUTE	A	10
103	9th style	Abyss -The Heavens Remix-	A	10
104	CANNON BALLERS	ACCELERATE	A	10
105	Sparkle Shower	ACID VISION	A	10
106	CANNON BALLERS	ANAGMA	A	10
107	GOLD	ANDROMEDA II	A	10
108	CastHour	ANEMONE	A	10
109	Resort Anthem	Answer	A	10
110	CastHour	Ariah	A	10
111	BISTROVER	As You Want	A	10
112	tricoro	Ascalon	A	10
113	10th style	Back Into The Light	A	10
114	9th style	bag	A	10
115	DJ TROOPERS	Be OK	A	10
116	SIRIUS	BEAUTIFUL ANGEL	A	10
117	Rootage	BLO§OM	A	10
118	tricoro	BLUE STRAGGLER	A	10
119	Resort Anthem	BLUST OF WIND	A	10
120	DistorteD	BOOM BOOM DISCO NIGHT	A	10
