曲管理番号	バージョン	曲名	Diff	Lv
835	GOLD	Air Bell	A	8
836	10th style	ALIEN TEMPLE	A	8
837	9th style	BAD BOY BASS!! (dj Remo-con MIX)	A	8
838	DistorteD	BALLAD THE FEATHERS	A	8
839	6th style	Blueberry Stream	A	8
840	Lincle	CALL	A	8
841	HAPPY SKY	EMPTY OF THE SKY	A	8
842	6th style	fly through the night	A	8
843	GOLD	four-leaf	A	8
844	IIDX RED	HORIZON	A	8
845	2nd style	Indigo Vision(full flavour hide around mix)	A	8
846	4th style	Jam&Marmalade	A	8
847	9th style	lights	A	8
848	tricoro	mnemoniq	A	8
849	GOLD	never…	A	8
850	substream	PARANOIA MAX～DIRTY MIX～	A	8
851	3rd style	Presto	A	8
852	5th style	RIDE ON THE LIGHT (HI GREAT MIX)	A	8
853	DJ TROOPERS	scar in the earth	A	8
854	5th style	sometime	A	8
855	Resort Anthem	Stay my side	A	8
856	8th style	蒼い衝動	A	8
857	10th style	システムロマンス	A	8
858	GOLD	花吹雪 ～ IIDX LIMITED ～	A	8
859	IIDX RED	AGEHA	A	9
860	EMPRESS	ALL I NEED YOUR LOVE	A	9
861	8th style	ALL RIGHT	A	9
862	10th style	ASTRAL VOYAGE	A	9
863	8th style	Attitude	A	9
864	7th style	AVE DE RAPINA	A	9
865	DJ TROOPERS	beatonic nation	A	9
866	9th style	BRIGHTNESS DARKNESS	A	9
867	GOLD	CaptivAte～裁き～	A	9
868	10th style	CARRY ON NIGHT (English version)	A	9
869	4th style	Clione	A	9
870	BISTROVER	Don't Stop The Music feat. Kanae Asaba	A	9
871	copula	Exchange Place	A	9
872	10th style	Freezing atmosphere	A	9
873	substream	GENOM SCREAMS	A	9
874	substream	gentle stress	A	9
875	9th style	Golden Horn	A	9
876	GOLD	heaven above	A	9
877	Resort Anthem	I FIGHT ME	A	9
878	8th style	Luv 2 Feel Your Body	A	9
879	9th style	MARIA (I believe... )	A	9
880	GOLD	METALLIC MIND	A	9
881	4th style	minimalian	A	9
882	HAPPY SKY	MOON RACE	A	9
883	8th style	MUSIC TO YOUR HEAD	A	9
884	EMPRESS	neogenesis	A	9
885	10th style	pandora	A	9
886	Rootage	Psycho Sheep Riddim	A	9
887	5th style	Real	A	9
888	substream	RUGGED ASH	A	9
889	IIDX RED	SPEEDY CAT	A	9
890	5th style	STILL IN MY HEART	A	9
891	7th style	Tomorrow Perfume	A	9
892	EPOLIS	Too Late Snow	A	9
893	IIDX RED	ＵＬＴｉＭΛＴＥ	A	9
894	HAPPY SKY	Under the Sky	A	9
895	CastHour	808monkey	A	9
896	IIDX RED	太陽～T・A・I・Y・O～	A	9
897	EMPRESS	まほろば	A	9
898	EPOLIS	リメンバーリメンバー	A	9
899	9th style	ADVANCE	A	10
900	DistorteD	ALFARSHEAR 双神威に廻る夢	A	10
901	HAPPY SKY	alla turca con passione	A	10
902	DistorteD	Apocalypse ～dirge of swans～	A	10
903	IIDX RED	awakening	A	10
904	4th style	B4U	A	10
905	HEROIC VERSE	Backyard Stars	A	10
906	EMPRESS	Bahram Attack-猫叉Master Remix-	A	10
907	CANNON BALLERS	Best of Me	A	10
908	IIDX RED	BREATH	A	10
909	GOLD	CaptivAte～誓い～	A	10
910	PENDUAL	Chain of pain	A	10
911	Pinky Crush	Chasing After YOU ～夢の欠片～ ft. 小林マナ	A	10
912	Sparkle Shower	COLOR BURST	A	10
913	EMPRESS	Cyber Force -DJ Yoshitaka Remix-	A	10
914	IIDX RED	D.A.N.C.E.!	A	10
915	BISTROVER	DENIM	A	10
916	6th style	DIVE ～INTO YOUR HEART～	A	10
917	HEROIC VERSE	Do What You Want	A	10
918	IIDX RED	Don't be afraid myself	A	10
919	4th style	DXY!	A	10
920	9th style	e-motion 2003 -romantic extra-	A	10
921	DistorteD	EURO-ROMANCE	A	10
922	DJ TROOPERS	evergreen	A	10
923	10th style	FEEL IT	A	10
924	HEROIC VERSE	Fly Above (Vicissitude Remix)	A	10
925	DJ TROOPERS	Freeway Shuffle	A	10
