曲管理番号	バージョン	曲名	Diff	Lv
1655	DJ TROOPERS	Darling my LUV	A	8
1656	5th style	Spin the disc	A	8
1657	SIRIUS	サヨナラ・ヘヴン	A	8
1658	IIDX RED	Close my Eyes for Me	A	9
1659	RESIDENT	Driver	A	9
1660	4th style	Hitch Hiker2	L	9
1661	6th style	route 80s	A	9
1662	7th style	Somebody Like You	A	9
1663	GOLD	Watch out!!	A	9
1664	10th style	BABY LOVE	A	10
1665	SIRIUS	bass 2 bass	A	10
1666	Rootage	BLACK JACKAL	A	10
1667	6th style	Buffalo	A	10
1668	HAPPY SKY	Catch Me	A	10
1669	copula	Central Station	A	10
1670	SIRIUS	Do Back Burn	A	10
1671	10th style	Feedback	A	10
1672	BISTROVER	Frisk And Squeak	A	10
1673	CastHour	HEARTACHE	A	10
1674	CANNON BALLERS	Hella Deep	A	10
1675	BISTROVER	Midnight Drive	A	10
1676	BISTROVER	MOVE! (We Keep It Movin')	A	10
1677	copula	NO LIMIT -オレ達に限界は無い-	A	10
1678	CastHour	Non Stop Rock	A	10
1679	Pinky Crush	PIT A PAT	A	10
1680	9th style	Really Love	A	10
1681	6th style	rottel-da-sun	A	10
1682	RESIDENT	Shamshir	A	10
1683	CANNON BALLERS	SPEED DEMON	A	10
1684	4th style	SWEET LAB	A	10
1685	EPOLIS	Tripping Jumping	A	10
1686	Pinky Crush	Vibing! Shake it!	A	10
1687	8th style	WAR GAME	A	10
1688	4th style	250bpm	A	10
1689	1st style	5.1.1.	A	10
1690	HAPPY SKY	オレはビートマニア！お前は何マニア？	A	10
1691	SIRIUS	サヨナラ・ヘヴン	L	10
1692	HEROIC VERSE	灼熱Beach Side Bunny (Masayoshi Iimori Remix)	A	10
1693	SPADA	廿	A	10
1694	Sparkle Shower	A Certified Rave Moment	A	11
1695	BISTROVER	apo:llioth	A	11
1696	SINOBUZ	Beat Juggling Mix	A	11
1697	Resort Anthem	Bounce Bounce Bounce	A	11
1698	SPADA	BRAINSTORM	A	11
1699	HAPPY SKY	Catch Me	L	11
1700	4th style	CHECKING YOU OUT	A	11
1701	Rootage	CODE:Ø	A	11
1702	DJ TROOPERS	Digitank System	A	11
1703	RESIDENT	EXODUS SIGN	A	11
1704	CastHour	Game Changers	A	11
1705	Sparkle Shower	GO!	A	11
1706	8th style	Halfway of promise	A	11
1707	SIRIUS	Hydrogen Blueback	L	11
1708	Rootage	IDC feat.REVERBEE (Mo'Cuts Ver)	A	11
1709	Lincle	In the Blackest Den	A	11
1710	EMPRESS	Just a Little Smile	A	11
1711	BISTROVER	MA・TSU・RI	A	11
1712	SPADA	m1dy Deluxe	A	11
1713	SINOBUZ	Modular Technology	A	11
1714	EMPRESS	naughty girl@Queen's Palace	A	11
1715	EMPRESS	naughty girl@Queen's Palace	L	11
1716	copula	On the FM	A	11
1717	RESIDENT	OVER VOLTAGE	A	11
1718	SPADA	Overload Frontier	A	11
1719	Rootage	Psycho Sheep Riddim	L	11
1720	EPOLIS	Red Determination	A	11
1721	RESIDENT	Red Soul	A	11
1722	HEROIC VERSE	rough percussionythm	A	11
1723	copula	Routing	A	11
1724	SINOBUZ	SAMURAI-Scramble	A	11
1725	BISTROVER	Swarm Of Scarabs	A	11
1726	9th style	SWEETEST SAVAGE	A	11
1727	CANNON BALLERS	Temple of Anubis	A	11
1728	HEROIC VERSE	Theory	A	11
1729	EPOLIS	This Is Club Musik feat. 大久保紅葉	A	11
1730	EPOLIS	TRIP THE DEEP	A	11
1731	Sparkle Shower	TOKAKU=ALMiRAJ	A	11
1732	copula	Uh-Oh	A	11
1733	CANNON BALLERS	UMMU	A	11
1734	RESIDENT	VOLCANIC BIGBEAT	A	11
1735	IIDX RED	Wonder Bullfighter	A	11
1736	HEROIC VERSE	27th style	A	11
1737	Rootage	& Intelligence	A	11
1738	tricoro	カジノファイヤーことみちゃん	A	11
1739	PENDUAL	とろぴかる倶楽部	A	11
1740	Rootage	花冠 feat.Aikapin	A	11
