Total combinations to attempt: 690
progress: ok=50, skipped=0, missing=0, failed=0 / 690
progress: ok=100, skipped=0, missing=0, failed=0 / 690
progress: ok=150, skipped=0, missing=0, failed=0 / 690
progress: ok=200, skipped=0, missing=0, failed=0 / 690
progress: ok=250, skipped=0, missing=0, failed=0 / 690
progress: ok=300, skipped=0, missing=0, failed=0 / 690
progress: ok=350, skipped=0, missing=0, failed=0 / 690
progress: ok=400, skipped=0, missing=0, failed=0 / 690
progress: ok=450, skipped=0, missing=0, failed=0 / 690
progress: ok=500, skipped=0, missing=0, failed=0 / 690
progress: ok=550, skipped=0, missing=0, failed=0 / 690
progress: ok=600, skipped=0, missing=0, failed=0 / 690
progress: ok=650, skipped=0, missing=0, failed=0 / 690
DONE: ok=690, skipped=0, missing=0, failed=0, total=690
