バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,796,PICO,東京都,1058,IMOTO*,神奈川県,1162,KOBAKA,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,370,IMOTO*,大阪府,402,IMOTO*,大阪府,1107,CHP*1E,鹿児島県,2081,KKM*,韓国
1st&substream,R3,0,,-,660,17GO!?,神奈川県,736,IMOTO*,神奈川県,908,KOBAKA,愛知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,B-RABI,滋賀県,752,B-RABI,滋賀県,1124,RIOO,富山県,0,,-
1st&substream,Macho Gang,0,,-,382,MARINA,神奈川県,1090,PICO,東京都,1669,TATSU,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,IMOTO*,大阪府,244,ANSA,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,884,PICO,東京都,1015,PICO,東京都,1217,RIOO,富山県,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,神奈川県,684,N!?,北海道,1456,F.NYN,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,IMOTO*,大阪府,834,SLEEPY,栃木県,1072,MIKAMO,東京都,0,,-
1st&substream,GAMBOL,68,ONSOKU,大阪府,274,IMOTO*,大阪府,274,IMOTO*,大阪府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,IMOTO*,大阪府,522,IMOTO*,大阪府,580,IMOTO*,大阪府,0,,-
1st&substream,deep in you,0,,-,500,STEEL*,神奈川県,510,RE*,和歌山県,666,PEACE,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,IMOTO*,大阪府,1022,GOEMON,神奈川県,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,530,CARROT,福岡県,646,GIGANT,和歌山県,658,KOBAKA,愛知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,IMOTO*,大阪府,626,IMOTO*,大阪府,648,IMOTO*,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,580,STEEL*,神奈川県,868,KINUYO,埼玉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,884,PICO,東京都,1137,IMOTO*,大阪府,1234,F.NYN,香川県,0,,-
2nd style,I Was The One,0,,-,544,NEODIO,青森県,652,MONO,愛知県,696,GIGANT,和歌山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,778,SQ,東京都,962,N!?,北海道,1073,U*PAFE,福島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,748,IMOTO*,大阪府,1076,IMOTO*,神奈川県,1142,PICO,東京都,0,,-
2nd style,.59,0,,-,718,PICO,東京都,1027,DINASO,東京都,1167,PEACE,愛知県,0,,-
3rd style,THE SAFARI,366,CARROT,福岡県,1233,N!?,北海道,1795,DON*,韓国,0,,-,0,,-
3rd style,Tangerine Stream,81,MIXIAO,神奈川県,282,IMOTO*,大阪府,396,IMOTO*,大阪府,0,,-,0,,-
3rd style,Skyscraper,0,,-,744,PICO,東京都,1215,STEEL*,神奈川県,1257,DINASO,東京都,0,,-
3rd style,Schlagwerk,0,,-,828,IMOTO*,大阪府,1325,PICO,東京都,1696,U*PAFE,福島県,0,,-
3rd style,REINCARNATION,0,,-,848,STEEL*,神奈川県,1048,IMOTO*,大阪府,1285,PEACE,愛知県,0,,-
3rd style,R5,0,,-,774,EIKRA7,富山県,1176,CHARM,韓国,1778,U*TAKA,千葉県,0,,-
3rd style,Presto,0,,-,546,MARINA,神奈川県,995,*ALEX*,静岡県,1016,KUREI,愛知県,0,,-
3rd style,LEADING CYBER,0,,-,866,CARROT,福岡県,1217,N!?,北海道,1288,DINASO,東京都,0,,-
3rd style,Holic,0,,-,787,CARROT,福岡県,1243,N!?,北海道,1752,DON*,韓国,0,,-
3rd style,era (nostalmix),0,,-,867,T,青森県,1109,BBMART,愛知県,1569,U*TAKA,千葉県,0,,-
3rd style,Don't Stop!,0,,-,778,EIKRA7,富山県,856,SHINPO,東京都,906,RAQUEL,東京都,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,620,EIKRA7,富山県,1264,KKM*,韓国,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,960,N!?,北海道,1258,N!?,北海道,1340,N!?,北海道,0,,-
4th style,SWEET LAB,0,,-,560,CARROT,福岡県,989,GIGANT,和歌山県,1382,CORIVE,岡山県,0,,-
4th style,starmine,448,CARROT,福岡県,912,IMOTO*,大阪府,1436,NUCHIO,茨城県,1600,U*TAKA,千葉県,0,,-
4th style,Mr.T.(take me higher),0,,-,856,IMOTO*,大阪府,1020,16GO!?,神奈川県,1778,PEACE,愛知県,0,,-
4th style,minimalian,0,,-,542,CARROT,福岡県,1106,N!?,北海道,1412,PEACE,愛知県,0,,-
4th style,LOVE WILL・・・,0,,-,558,GENO,岡山県,758,GENO,岡山県,1464,TAXMEN,埼玉県,0,,-
4th style,KAMIKAZE,0,,-,1028,YUDEX2,愛知県,1485,GIGANT,和歌山県,2314,CHARM,韓国,0,,-
4th style,Jam&Marmalade,0,,-,776,PICO,東京都,910,IMOTO*,大阪府,1024,CHARM,韓国,0,,-
4th style,Hitch Hiker2,0,,-,840,PICO,東京都,1212,N!?,北海道,1330,CHARM,韓国,1951,KKM*,韓国
4th style,HIGHER,0,,-,540,IMOTO*,大阪府,936,RE*,和歌山県,1282,KOBAKA,愛知県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,MARINA,神奈川県,444,N!?,北海道,0,,-,0,,-
4th style,era (step mix),0,,-,1120,MASAKI,秋田県,1450,SHINPO,東京都,1747,U*TAKA,千葉県,0,,-
4th style,empathy,0,,-,832,IMOTO*,神奈川県,1396,N!?,北海道,1483,BBMART,愛知県,0,,-
4th style,DXY!,0,,-,1300,PICO,東京都,1923,KKM*,韓国,2307,KKM*,韓国,0,,-
4th style,Clione,0,,-,528,*9N2*,神奈川県,957,RE*,和歌山県,1622,PEACE,愛知県,2199,DON*,韓国
4th style,CHECKING YOU OUT,0,,-,672,T,青森県,943,KOBAKA,愛知県,1392,U*TAKA,千葉県,0,,-
4th style,Burnin' The Floor,0,,-,586,EIKRA7,富山県,956,ZXCV,石川県,1442,N!?,北海道,0,,-
4th style,Broken My Heart,0,,-,945,N!?,北海道,1500,N!?,北海道,1828,DON*,韓国,0,,-
4th style,B4U,0,,-,1074,ATIA,東京都,1592,STEEL*,神奈川県,2028,DON*,韓国,0,,-
4th style,ABSOLUTE,0,,-,1357,N!?,北海道,1860,N!?,北海道,2430,PEACE,愛知県,2808,DON*,韓国
4th style,250bpm,0,,-,706,IMOTO*,大阪府,1048,PICO,東京都,1449,KUREI,愛知県,0,,-
5th style,V,346,CARROT,福岡県,1292,ROCHER,マカオ,2532,CYBERX,神奈川県,3038,DON*,韓国,0,,-
5th style,THE SHINING POLARIS,0,,-,968,STEEL*,神奈川県,1330,FFFFFF,京都府,1596,PEACE,愛知県,0,,-
5th style,THE CUBE,0,,-,748,PICO,東京都,1287,CHP*1E,鹿児島県,1364,PICO,東京都,0,,-
5th style,sync,0,,-,1096,PICO,東京都,1957,PICO,東京都,2407,F.NYN,香川県,0,,-
5th style,still my words,0,,-,926,56NYAN,千葉県,1238,KUREI,愛知県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1033,YUDEX2,愛知県,1400,KKM*,韓国,1941,DON*,韓国,0,,-
5th style,Spin the disc,0,,-,817,PICO,東京都,1316,CHP*1E,鹿児島県,1348,PEACE,愛知県,0,,-
5th style,sometime,0,,-,786,CYBERX,神奈川県,1075,PICO,東京都,1344,DON*,韓国,0,,-
5th style,RISLIM,0,,-,925,STEEL*,神奈川県,1248,PICO,東京都,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,904,*BOMI*,熊本県,1096,PICO,東京都,1724,CHARM,韓国,1857,KKM*,韓国
5th style,Regulus,0,,-,1094,N!?,北海道,1561,PICO,東京都,1752,PEACE,愛知県,0,,-
5th style,Real,0,,-,1153,PICO,東京都,1720,HORUS,神奈川県,1837,RIOO,富山県,0,,-
5th style,Radical Faith,0,,-,1203,CL0VER,青森県,1532,WELLOW,神奈川県,1316,557,東京都,0,,-
5th style,QQQ,0,,-,1242,YUDEX2,愛知県,1916,TATSU,神奈川県,2181,NA!,愛知県,0,,-
5th style,outer wall,0,,-,948,PICO,東京都,1374,PICO,東京都,1784,DON*,韓国,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,768,17GO!?,神奈川県,1001,RE*,和歌山県,1122,GIGANT,和歌山県,0,,-
5th style,in my eyes,0,,-,968,IMOTO*,大阪府,1476,N!?,北海道,1595,KUREI,愛知県,0,,-
5th style,Abyss,0,,-,1274,YUDEX2,愛知県,1632,ANDIRA,大分県,1890,PEACE,愛知県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1124,SQ,東京都,1590,CHARM,韓国,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,874,PICO,東京都,1311,SHINPO,東京都,1405,U*TAKA,千葉県,0,,-
6th style,VJ ARMY,0,,-,1318,N!?,北海道,1786,N!?,北海道,2273,P,愛知県,0,,-
6th style,Take It Easy,0,,-,1506,N!?,北海道,2423,CHARM,韓国,2549,KKM*,韓国,0,,-
6th style,Summer Vacation(CU mix),0,,-,1327,PICO,東京都,1890,DON*,韓国,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,941,PICO,東京都,1370,IMOTO*,神奈川県,2004,RICK.,神奈川県,0,,-
6th style,route 80s,0,,-,906,STEEL*,神奈川県,1223,N!?,北海道,1532,CHARM,韓国,0,,-
6th style,rottel-da-sun,0,,-,828,PICO,東京都,1379,GOEMON,神奈川県,1872,CHARM,韓国,0,,-
6th style,NEMESIS,0,,-,1047,1048,東京都,1662,PICO,東京都,1943,DON*,韓国,0,,-
6th style,Linus,0,,-,976,04*,東京都,1568,N!?,北海道,2209,.,韓国,0,,-
6th style,G2,0,,-,1496,PICO,東京都,1870,PICO,東京都,2370,KKM*,韓国,0,,-
