バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,775,LAURIE,北海道,1052,N!?,北海道,1156,MUXXXX,北海道,0,,-
1st&substream,RUGGED ASH,0,,-,368,IIDX18,北海道,399,DONMEL,北海道,1099,YUZUHA,北海道,2054,ZZZ,北海道
1st&substream,R3,0,,-,648,BIWA,北海道,729,RABBIT,北海道,907,*WOOL*,北海道,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,555,NOMAL,北海道,742,HINO38,北海道,1116,N!?,北海道,0,,-
1st&substream,Macho Gang,0,,-,380,KIX,北海道,1082,N!?,北海道,1648,YUZUHA,北海道,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,O-G-3,北海道,244,*WOOL*,北海道,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,863,BIWA,北海道,1007,N!?,北海道,1209,N!?,北海道,0,,-
1st&substream,gentle stress,0,,-,342,NOMAL,北海道,684,N!?,北海道,1451,A.SONC,北海道,0,,-
1st&substream,GENOM SCREAMS,0,,-,418,NOMAL,北海道,833,N!?,北海道,1069,YUZUHA,北海道,0,,-
1st&substream,GAMBOL,0,,-,273,VKANIV,北海道,274,RABBIT,北海道,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,ELAINA,北海道,510,GINBE,北海道,579,MO-3.,北海道,0,,-
1st&substream,deep in you,0,,-,493,RIME,北海道,496,SUWA,北海道,665,N!?,北海道,0,,-
1st&substream,5.1.1.,0,,-,198,T-A6.Y,北海道,1021,N!?,北海道,1569,N!?,北海道,0,,-
1st&substream,22DUNK,0,,-,512,YSKDM.,北海道,635,RABBIT,北海道,657,N!?,北海道,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,506,LAURIE,北海道,614,RYUYA,北海道,648,N!?,北海道,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,564,BIWA,北海道,864,N!?,北海道,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,856,LAURIE,北海道,1126,N!?,北海道,1226,YUZUHA,北海道,0,,-
2nd style,I Was The One,0,,-,534,BIWA,北海道,637,F,北海道,695,N!?,北海道,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,760,79L,北海道,962,N!?,北海道,1071,N!?,北海道,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,723,BIWA,北海道,1074,N!?,北海道,1134,*JILL*,北海道,0,,-
2nd style,.59,0,,-,698,WAKIGE,北海道,1025,N!?,北海道,1166,N!?,北海道,0,,-
3rd style,THE SAFARI,365,USE,北海道,1233,N!?,北海道,1774,N!?,北海道,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,280,YUDURU,北海道,396,N!?,北海道,0,,-,0,,-
3rd style,Skyscraper,0,,-,720,BIWA,北海道,1201,MUXXXX,北海道,1256,YUZUHA,北海道,0,,-
3rd style,Schlagwerk,0,,-,802,LAURIE,北海道,1293,MISO,北海道,1692,YUZUHA,北海道,0,,-
3rd style,REINCARNATION,0,,-,829,WAKIGE,北海道,1033,MUCC,北海道,1281,N!?,北海道,0,,-
3rd style,R5,0,,-,761,WAKIGE,北海道,1174,N!?,北海道,1776,YUZUHA,北海道,0,,-
3rd style,Presto,0,,-,528,SUWA,北海道,993,N!?,北海道,1014,N!?,北海道,0,,-
3rd style,LEADING CYBER,0,,-,837,014-.,北海道,1217,N!?,北海道,1278,YUZUHA,北海道,0,,-
3rd style,Holic,0,,-,764,LAURIE,北海道,1243,N!?,北海道,1726,*WOOL*,北海道,0,,-
3rd style,era (nostalmix),0,,-,849,ALIKA,北海道,1100,N!?,北海道,1541,DJSTN,北海道,0,,-
3rd style,Don't Stop!,0,,-,775,NOMAL,北海道,841,RYUYA,北海道,904,MUXXXX,北海道,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,614,*BLUE*,北海道,1258,N!?,北海道,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,960,N!?,北海道,1258,N!?,北海道,1340,N!?,北海道,0,,-
4th style,SWEET LAB,0,,-,541,*BLUE*,北海道,987,N!?,北海道,1377,YUZUHA,北海道,0,,-
4th style,starmine,447,ELAINA,北海道,903,NOMAL,北海道,1435,N!?,北海道,1591,ZNDMN,北海道,0,,-
4th style,Mr.T.(take me higher),0,,-,829,ELAINA,北海道,991,SUWA,北海道,1764,MUXXXX,北海道,0,,-
4th style,minimalian,0,,-,530,BIWA,北海道,1106,N!?,北海道,1409,N!?,北海道,0,,-
4th style,LOVE WILL・・・,0,,-,553,*WOOL*,北海道,758,N!?,北海道,1464,MUXXXX,北海道,0,,-
4th style,KAMIKAZE,0,,-,993,BIWA,北海道,1483,N!?,北海道,2296,8WARE,北海道,0,,-
4th style,Jam&Marmalade,0,,-,757,KASU,北海道,882,NOMAL,北海道,1016,N!?,北海道,0,,-
4th style,Hitch Hiker2,0,,-,811,LAURIE,北海道,1212,N!?,北海道,1328,N!?,北海道,1934,BISKE,北海道
4th style,HIGHER,0,,-,528,REIN-A,北海道,918,KAWASE,北海道,1281,N!?,北海道,0,,-
4th style,FLOWERS for ALBION,0,,-,236,REIN-A,北海道,444,N!?,北海道,0,,-,0,,-
4th style,era (step mix),0,,-,1086,LAURIE,北海道,1449,N!?,北海道,1704,N!?,北海道,0,,-
4th style,empathy,0,,-,820,LAURIE,北海道,1396,N!?,北海道,1468,N!?,北海道,0,,-
4th style,DXY!,0,,-,1290,N!?,北海道,1915,N!?,北海道,2294,YUZUHA,北海道,0,,-
4th style,Clione,0,,-,523,LAURIE,北海道,955,N!?,北海道,1620,N!?,北海道,2160,MARIO$,北海道
4th style,CHECKING YOU OUT,0,,-,637,ECO-G,北海道,930,N!?,北海道,1347,REVENG,北海道,0,,-
4th style,Burnin' The Floor,0,,-,581,MUCC,北海道,949,RABBIT,北海道,1442,N!?,北海道,0,,-
4th style,Broken My Heart,0,,-,945,N!?,北海道,1500,N!?,北海道,1818,N!?,北海道,0,,-
4th style,B4U,0,,-,1046,ALIKA,北海道,1588,N!?,北海道,2014,*WOOL*,北海道,0,,-
4th style,ABSOLUTE,0,,-,1357,N!?,北海道,1860,N!?,北海道,2410,N!?,北海道,2781,YUZUHA,北海道
4th style,250bpm,0,,-,701,N!?,北海道,1041,N!?,北海道,1429,N!?,北海道,0,,-
5th style,V,342,YUDURU,北海道,1283,HINO38,北海道,2523,N!?,北海道,3030,YUZUHA,北海道,0,,-
5th style,THE SHINING POLARIS,0,,-,948,MO-1.,北海道,1300,RABBIT,北海道,1594,N!?,北海道,0,,-
5th style,THE CUBE,0,,-,734,ME$O,北海道,1285,N!?,北海道,1362,N!?,北海道,0,,-
5th style,sync,0,,-,1074,ALIKA,北海道,1956,N!?,北海道,2385,REVENG,北海道,0,,-
5th style,still my words,0,,-,895,BIWA,北海道,1236,N!?,北海道,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1004,WAKIGE,北海道,1393,N!?,北海道,1928,YUZUHA,北海道,0,,-
5th style,Spin the disc,0,,-,801,ALIKA,北海道,1312,N!?,北海道,1344,N!?,北海道,0,,-
5th style,sometime,0,,-,784,N!?,北海道,1072,N!?,北海道,1324,MO-3.,北海道,0,,-
5th style,RISLIM,0,,-,915,BIWA,北海道,1242,N!?,北海道,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,881,MO-1.,北海道,1054,RAMYU,北海道,1718,MUXXXX,北海道,1855,ZZZ,北海道
5th style,Regulus,0,,-,1094,N!?,北海道,1556,N!?,北海道,1717,N!?,北海道,0,,-
5th style,Real,0,,-,1147,N!?,北海道,1710,N!?,北海道,1824,YUZUHA,北海道,0,,-
