バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,767,4,青森県,1041,CIDRE,青森県,1152,CL0VER,青森県,0,,-
1st&substream,RUGGED ASH,0,,-,368,SIY,青森県,401,T,青森県,1094,MOSAPI,青森県,2016,SHANA,青森県
1st&substream,R3,0,,-,658,KYO-2,青森県,732,SUICA,青森県,908,TIAMAT,青森県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,559,CL0VER,青森県,735,5MIKAS,青森県,1112,SUICA,青森県,0,,-
1st&substream,Macho Gang,0,,-,382,NEODIO,青森県,1065,TOAD,青森県,1625,MOSAPI,青森県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,NEODIO,青森県,244,T,青森県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,864,SIY,青森県,998,SUICA,青森県,1210,TIAMAT,青森県,0,,-
1st&substream,gentle stress,0,,-,344,NEODIO,青森県,679,NEODIO,青森県,1448,TAKOPI,青森県,0,,-
1st&substream,GENOM SCREAMS,0,,-,421,CL0VER,青森県,812,RU4AN,青森県,1069,MOSAPI,青森県,0,,-
1st&substream,GAMBOL,0,,-,274,NEODIO,青森県,274,NEODIO,青森県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,NEODIO,青森県,513,CL0VER,青森県,579,ERDWIN,青森県,0,,-
1st&substream,deep in you,0,,-,487,CL0VER,青森県,505,NAKAG,青森県,664,MOSAPI,青森県,0,,-
1st&substream,5.1.1.,0,,-,198,NEODIO,青森県,1015,MOSAPI,青森県,1568,TIAMAT,青森県,0,,-
1st&substream,22DUNK,0,,-,514,SIY,青森県,638,SUICA,青森県,658,A.X.L.,青森県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,NEODIO,青森県,620,RASCAL,青森県,648,CL0VER,青森県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,568,ARCARD,青森県,867,TIAMAT,青森県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,881,NEODIO,青森県,1118,TOAD,青森県,1226,MOSAPI,青森県,0,,-
2nd style,I Was The One,0,,-,544,NEODIO,青森県,651,NEODIO,青森県,694,TIAMAT,青森県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,776,CL0VER,青森県,924,SIY,青森県,1072,TIAMAT,青森県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,742,CL0VER,青森県,1023,SIY,青森県,1127,TIAMAT,青森県,0,,-
2nd style,.59,0,,-,716,CL0VER,青森県,1001,UNI,青森県,1161,ZAIKA*,青森県,0,,-
3rd style,THE SAFARI,366,NEODIO,青森県,1226,CL0VER,青森県,1768,MOSAPI,青森県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,NEODIO,青森県,396,NEODIO,青森県,0,,-,0,,-
3rd style,Skyscraper,0,,-,736,CL0VER,青森県,1167,ARCARD,青森県,1255,CL0VER,青森県,0,,-
3rd style,Schlagwerk,0,,-,822,CL0VER,青森県,1299,DIS-L,青森県,1684,TIAMAT,青森県,0,,-
