バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,727,TAKAP-,岩手県,1033,NENE,岩手県,1158,DOLCE.,岩手県,0,,-
1st&substream,RUGGED ASH,0,,-,362,M3,岩手県,393,NORIDA,岩手県,1087,SHIVA.,岩手県,2052,DOLCE*,岩手県
1st&substream,R3,0,,-,630,RAMDA,岩手県,716,8628,岩手県,907,DOLCE.,岩手県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,532,BUG,岩手県,734,3SYA9G,岩手県,1122,DOLCE.,岩手県,0,,-
1st&substream,Macho Gang,0,,-,382,DOLCE*,岩手県,1056,3SYA9G,岩手県,1665,DOLCE*,岩手県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,RAMDA,岩手県,244,TABI,岩手県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,866,BUG,岩手県,971,P.P.R.,岩手県,1201,SHIVA.,岩手県,0,,-
1st&substream,gentle stress,0,,-,341,TABI,岩手県,671,TABI,岩手県,1444,DOLCE*,岩手県,0,,-
1st&substream,GENOM SCREAMS,0,,-,411,BUG,岩手県,818,3SYA9G,岩手県,1072,DOLCE.,岩手県,0,,-
1st&substream,GAMBOL,0,,-,271,KERORO,岩手県,274,DOLCE.,岩手県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,SKYLLA,岩手県,513,BUG,岩手県,580,DOLCE*,岩手県,0,,-
1st&substream,deep in you,0,,-,486,RAMDA,岩手県,497,3SYA9G,岩手県,663,SHIVA.,岩手県,0,,-
1st&substream,5.1.1.,0,,-,198,11O.,岩手県,991,BUG,岩手県,1571,DOLCE.,岩手県,0,,-
1st&substream,22DUNK,0,,-,509,BUG,岩手県,620,IIDX31,岩手県,656,SHIVA.,岩手県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,490,TAKAP-,岩手県,611,BUG,岩手県,648,SHIVA.,岩手県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,550,BUG,岩手県,863,DOLCE.,岩手県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,857,STM-G,岩手県,1080,BUG,岩手県,1229,DOLCE.,岩手県,0,,-
2nd style,I Was The One,0,,-,529,RESO,岩手県,624,BUG,岩手県,682,110.,岩手県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,731,STM-G,岩手県,890,ARCHE,岩手県,1071,DOLCE*,岩手県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,725,STM-G,岩手県,1009,BUG,岩手県,1134,DOLCE.,岩手県,0,,-
