バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,MARIMO,宮城県,1045,EBI,宮城県,1156,CORI-,宮城県,0,,-
1st&substream,RUGGED ASH,0,,-,369,MARIMO,宮城県,400,MAHI6N,宮城県,1098,CORI-,宮城県,2056,CORI-,宮城県
1st&substream,R3,0,,-,655,MARIMO,宮城県,730,YULI,宮城県,901,YULI,宮城県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,550,YULI,宮城県,741,PUCCHO,宮城県,1113,CORI-,宮城県,0,,-
1st&substream,Macho Gang,0,,-,378,UDON-G,宮城県,1065,YULI,宮城県,1653,CORI-,宮城県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,MARIMO,宮城県,244,YULI,宮城県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,861,INKYO.,宮城県,1001,YULI,宮城県,1184,KIMARI,宮城県,0,,-
1st&substream,gentle stress,0,,-,344,LIERRE,宮城県,670,MARIMO,宮城県,1444,JN.1CC,宮城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,YULI,宮城県,805,YUTAST,宮城県,1066,CORI-,宮城県,0,,-
1st&substream,GAMBOL,0,,-,273,LIERRE,宮城県,274,HIRO&C,宮城県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,MARIMO,宮城県,521,222222,宮城県,574,LIERRE,宮城県,0,,-
1st&substream,deep in you,0,,-,483,MARIMO,宮城県,502,NOMI,宮城県,662,YULI,宮城県,0,,-
1st&substream,5.1.1.,0,,-,198,MARIMO,宮城県,1014,VIGGEN,宮城県,1570,CORI-,宮城県,0,,-
1st&substream,22DUNK,0,,-,514,MARIMO,宮城県,637,YULI,宮城県,652,KEEL,宮城県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,MARIMO,宮城県,612,INKYO.,宮城県,648,SKMMYP,宮城県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,561,INKYO.,宮城県,858,YULI,宮城県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,872,INKYO.,宮城県,1091,INKYO.,宮城県,1234,CORI-,宮城県,0,,-
2nd style,I Was The One,0,,-,527,KAZANE,宮城県,642,MARIMO,宮城県,690,CORI-,宮城県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,757,JEFF,宮城県,952,YULI,宮城県,1070,YULI,宮城県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,717,MARIMO,宮城県,1065,YULI,宮城県,1117,VA,宮城県,0,,-
2nd style,.59,0,,-,701,MARIMO,宮城県,1011,KRSRIN,宮城県,1151,YULI,宮城県,0,,-
3rd style,THE SAFARI,366,MARIMO,宮城県,1201,EBI,宮城県,1772,CORI-,宮城県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,MARIMO,宮城県,395,LIERRE,宮城県,0,,-,0,,-
3rd style,Skyscraper,0,,-,732,INKYO.,宮城県,1197,YULI,宮城県,1237,DARK-I,宮城県,0,,-
3rd style,Schlagwerk,0,,-,812,INKYO.,宮城県,1292,YULI,宮城県,1670,KEEL,宮城県,0,,-
3rd style,REINCARNATION,0,,-,823,MARIMO,宮城県,1036,YULI,宮城県,1273,KEEL,宮城県,0,,-
3rd style,R5,0,,-,771,MARIMO,宮城県,1157,YULI,宮城県,1775,CORI-,宮城県,0,,-
