バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,765,HN0123,秋田県,1022,OSANPO,秋田県,1137,EOTOKO,秋田県,0,,-
1st&substream,RUGGED ASH,0,,-,366,KANI,秋田県,401,AJI.,秋田県,1070,SET.I,秋田県,1931,PU2*A7,秋田県
1st&substream,R3,0,,-,646,GULCH,秋田県,728,AJI.,秋田県,889,EOTOKO,秋田県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,542,KOMATI,秋田県,750,MASAKI,秋田県,1102,EOTOKO,秋田県,0,,-
1st&substream,Macho Gang,0,,-,372,NAGIGI,秋田県,1031,87MARU,秋田県,1579,EOTOKO,秋田県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,S-I-N,秋田県,244,MASAKI,秋田県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,838,S-I-N,秋田県,984,HATO,秋田県,1190,EOTOKO,秋田県,0,,-
1st&substream,gentle stress,0,,-,339,-GEAR-,秋田県,680,MASAKI,秋田県,1439,MASAKI,秋田県,0,,-
1st&substream,GENOM SCREAMS,0,,-,404,IIDX28,秋田県,804,-GEAR-,秋田県,1042,EOTOKO,秋田県,0,,-
1st&substream,GAMBOL,0,,-,269,&#173,秋田県,272,A-KUSU,秋田県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,KANI,秋田県,499,HN0123,秋田県,573,MASAKI,秋田県,0,,-
1st&substream,deep in you,0,,-,483,GULCH,秋田県,503,MASAKI,秋田県,656,EOTOKO,秋田県,0,,-
1st&substream,5.1.1.,0,,-,194,S-I-N,秋田県,1000,87MARU,秋田県,1558,MASAKI,秋田県,0,,-
1st&substream,22DUNK,0,,-,519,HATO,秋田県,615,EOTOKO,秋田県,647,EOTOKO,秋田県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,497,HN0123,秋田県,605,AU-MIN,秋田県,641,&#173,秋田県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,541,HN0123,秋田県,857,MASAKI,秋田県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,852,OSANPO,秋田県,1109,MASAKI,秋田県,1200,EOTOKO,秋田県,0,,-
2nd style,I Was The One,0,,-,542,MASAKI,秋田県,635,AKAMA,秋田県,686,EOTOKO,秋田県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,759,HATO,秋田県,923,HATO,秋田県,1055,TANUKI,秋田県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,739,MASAKI,秋田県,1014,HATO,秋田県,1094,HATO,秋田県,0,,-
2nd style,.59,0,,-,683,TOROKU,秋田県,963,SUTARO,秋田県,1138,EOTOKO,秋田県,0,,-
3rd style,THE SAFARI,361,KOB.SR,秋田県,1175,Q-SILV,秋田県,1718,Y-I.,秋田県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,S-I-N,秋田県,392,EOTOKO,秋田県,0,,-,0,,-
3rd style,Skyscraper,0,,-,720,GLASSY,秋田県,1161,OSANPO,秋田県,1226,EOTOKO,秋田県,0,,-
3rd style,Schlagwerk,0,,-,799,GLASSY,秋田県,1250,S-I-N,秋田県,1662,EOTOKO,秋田県,0,,-
3rd style,REINCARNATION,0,,-,830,GLASSY,秋田県,1006,HATO,秋田県,1268,MASAKI,秋田県,0,,-
3rd style,R5,0,,-,759,BOMCHU,秋田県,1140,DEF,秋田県,1747,OGRCAP,秋田県,0,,-
3rd style,Presto,0,,-,518,HN0123,秋田県,963,HATO,秋田県,997,MASAKI,秋田県,0,,-
3rd style,LEADING CYBER,0,,-,830,OSANPO,秋田県,1139,DEF,秋田県,1269,MASAKI,秋田県,0,,-
3rd style,Holic,0,,-,759,S-I-N,秋田県,1168,KANI,秋田県,1670,SET.I,秋田県,0,,-
3rd style,era (nostalmix),0,,-,863,MASAKI,秋田県,1068,Y-I.,秋田県,1491,MASAKI,秋田県,0,,-
3rd style,Don't Stop!,0,,-,752,HN0123,秋田県,830,DEF,秋田県,897,AJI.,秋田県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,615,GULCH,秋田県,1246,EOTOKO,秋田県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,943,MASAKI,秋田県,1241,HATO,秋田県,1311,MASAKI,秋田県,0,,-
4th style,SWEET LAB,0,,-,536,GLASSY,秋田県,910,Q-SILV,秋田県,1340,HATO,秋田県,0,,-
4th style,starmine,446,KOB.SR,秋田県,889,KANI,秋田県,1401,HATO,秋田県,1568,MASAKI,秋田県,0,,-
4th style,Mr.T.(take me higher),0,,-,834,GLASSY,秋田県,989,DEF,秋田県,1740,HATO,秋田県,0,,-
4th style,minimalian,0,,-,529,KOBIGD,秋田県,1060,TKS321,秋田県,1376,RALLY.,秋田県,0,,-
4th style,LOVE WILL・・・,0,,-,544,KOBIGD,秋田県,731,DEF,秋田県,1451,MASAKI,秋田県,0,,-
4th style,KAMIKAZE,0,,-,985,KOBIGD,秋田県,1383,DEF,秋田県,2253,MASAKI,秋田県,0,,-
4th style,Jam&Marmalade,0,,-,757,GLASSY,秋田県,866,OSANPO,秋田県,997,EOTOKO,秋田県,0,,-
4th style,Hitch Hiker2,0,,-,807,GLASSY,秋田県,1142,OSANPO,秋田県,1305,KT194,秋田県,1899,HATO,秋田県
4th style,HIGHER,0,,-,521,HN0123,秋田県,898,DEF,秋田県,1251,EOTOKO,秋田県,0,,-
