バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,579,YUCKY,山形県,1029,U-.-U,山形県,1149,Z,山形県,0,,-
1st&substream,RUGGED ASH,0,,-,364,DONUTS,山形県,402,DONUTS,山形県,1073,3Y2S,山形県,1983,NEWYO9,山形県
1st&substream,R3,0,,-,642,KAR1N,山形県,718,AGETO4,山形県,890,N-PSTL,山形県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,528,PEN9LA,山形県,737,N-PSTL,山形県,1086,3Y2S,山形県,0,,-
1st&substream,Macho Gang,0,,-,374,ANI,山形県,1001,CIGAR,山形県,1617,3Y2S,山形県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,PSC,山形県,242,3Y2S,山形県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,KAR1N,山形県,966,KAR1N,山形県,1166,N-PSTL,山形県,0,,-
1st&substream,gentle stress,0,,-,339,XABRE,山形県,666,XABRE,山形県,1440,Z,山形県,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,DONUTS,山形県,806,DONUTS,山形県,1057,Z,山形県,0,,-
1st&substream,GAMBOL,0,,-,274,DONUTS,山形県,274,DONUTS,山形県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,KA37GI,山形県,502,AM31.0,山形県,577,DONUTS,山形県,0,,-
1st&substream,deep in you,0,,-,469,GIXXER,山形県,494,GAPS,山形県,659,FEDLER,山形県,0,,-
1st&substream,5.1.1.,0,,-,198,DONUTS,山形県,1020,DONUTS,山形県,1561,NEWYO9,山形県,0,,-
1st&substream,22DUNK,0,,-,522,799970,山形県,627,JYR010,山形県,646,HARU*,山形県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,504,328,山形県,602,.MA?,山形県,646,HARU*,山形県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,557,N-PSTL,山形県,851,NEWYO9,山形県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,697,WAKAMY,山形県,1070,328,山形県,1209,FEDLER,山形県,0,,-
2nd style,I Was The One,0,,-,525,JYR010,山形県,611,K-ON!!,山形県,685,OPI.IK,山形県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,758,RIZ,山形県,884,K-ON!!,山形県,1053,HARU*,山形県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,599,SAFA,山形県,1007,DONUTS,山形県,1113,Z,山形県,0,,-
2nd style,.59,0,,-,708,DONUTS,山形県,1007,DONUTS,山形県,1138,OPI.IK,山形県,0,,-
3rd style,THE SAFARI,360,168ZEN,山形県,1054,CIGAR,山形県,1745,NANIKA,山形県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,HARU.,山形県,396,DONUTS,山形県,0,,-,0,,-
3rd style,Skyscraper,0,,-,577,WAKAMY,山形県,1090,K-ON!!,山形県,1231,HARU*,山形県,0,,-
3rd style,Schlagwerk,0,,-,724,YS,山形県,1307,DONUTS,山形県,1663,NEWYO9,山形県,0,,-
3rd style,REINCARNATION,0,,-,697,FUBUKI,山形県,960,07HIRO,山形県,1247,OPI.IK,山形県,0,,-
3rd style,R5,0,,-,760,SATO.B,山形県,1146,AGETO4,山形県,1763,DEMI,山形県,0,,-
3rd style,Presto,0,,-,525,168ZEN,山形県,967,IORI,山形県,995,Y*KANA,山形県,0,,-
3rd style,LEADING CYBER,0,,-,761,YS,山形県,1163,GAPS,山形県,1249,3Y2S,山形県,0,,-
3rd style,Holic,0,,-,724,MADDOG,山形県,1187,NOAH,山形県,1710,Z,山形県,0,,-
3rd style,era (nostalmix),0,,-,839,DONUTS,山形県,1081,NOAH,山形県,1514,FEDLER,山形県,0,,-
3rd style,Don't Stop!,0,,-,770,DONUTS,山形県,842,DONUTS,山形県,905,HARU*,山形県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,567,SINOUE,山形県,1245,FEDLER,山形県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,888,SETORI,山形県,1226,*PNTT*,山形県,1306,*PNTT*,山形県,0,,-
4th style,SWEET LAB,0,,-,512,6K,山形県,879,HIFU*S,山形県,1341,Z,山形県,0,,-
4th style,starmine,437,LOXON.,山形県,867,PEN9LA,山形県,1389,HARU*,山形県,1575,NANIKA,山形県,0,,-
4th style,Mr.T.(take me higher),0,,-,772,YS,山形県,963,PEN9LA,山形県,1754,FEDLER,山形県,0,,-
4th style,minimalian,0,,-,272,UTAO,山形県,1028,168ZEN,山形県,1387,NEWYO9,山形県,0,,-
4th style,LOVE WILL・・・,0,,-,550,S.SZKA,山形県,734,K-ON!!,山形県,1457,5MU6.K,山形県,0,,-
4th style,KAMIKAZE,0,,-,963,PEN9LA,山形県,1419,328,山形県,2282,Z,山形県,0,,-
4th style,Jam&Marmalade,0,,-,752,168ZEN,山形県,853,K-ON!!,山形県,1001,3Y2S,山形県,0,,-
4th style,Hitch Hiker2,0,,-,522,CHU3,山形県,1113,K-ON!!,山形県,1314,Z,山形県,1911,NEWYO9,山形県
4th style,HIGHER,0,,-,523,N-PSTL,山形県,894,ANI,山形県,1264,3Y2S,山形県,0,,-
4th style,FLOWERS for ALBION,0,,-,226,IROHA,山形県,444,DONUTS,山形県,0,,-,0,,-
4th style,era (step mix),0,,-,1099,328,山形県,1389,328,山形県,1703,NAMIGE,山形県,0,,-
4th style,empathy,0,,-,803,ANI,山形県,1264,ANI,山形県,1435,MIST,山形県,0,,-
4th style,DXY!,0,,-,1204,RIZ,山形県,1782,328,山形県,2213,Z,山形県,0,,-
4th style,Clione,0,,-,518,DONUTS,山形県,933,DONUTS,山形県,1603,Z,山形県,2137,FEDLER,山形県
4th style,CHECKING YOU OUT,0,,-,635,N-PSTL,山形県,868,N-PSTL,山形県,1315,3Y2S,山形県,0,,-
4th style,Burnin' The Floor,0,,-,528,DIAN07,山形県,944,NOAH,山形県,1440,NANIKA,山形県,0,,-
4th style,Broken My Heart,0,,-,884,PEN9LA,山形県,1376,SA21,山形県,1816,Z,山形県,0,,-
4th style,B4U,0,,-,977,2BASA,山形県,1477,HARU*,山形県,1988,Z,山形県,0,,-
4th style,ABSOLUTE,0,,-,1192,PEN9LA,山形県,1726,DEMI,山形県,2381,Z,山形県,2736,NAMIGE,山形県
4th style,250bpm,0,,-,657,PEN9LA,山形県,983,328,山形県,1389,NANIKA,山形県,0,,-
5th style,V,332,LOXON.,山形県,1208,SIROSU,山形県,2483,3Y2S,山形県,3001,NAMIGE,山形県,0,,-
5th style,THE SHINING POLARIS,0,,-,915,PEN9LA,山形県,1159,BIG,山形県,1584,Z,山形県,0,,-
5th style,THE CUBE,0,,-,661,YS,山形県,1226,LOXON.,山形県,1338,NANIKA,山形県,0,,-
5th style,sync,0,,-,1044,LOXON.,山形県,1913,DONUTS,山形県,2385,NAMIGE,山形県,0,,-
5th style,still my words,0,,-,677,ROBERT,山形県,1215,NANIKA,山形県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,972,PEN9LA,山形県,1269,LOXON.,山形県,1910,Z,山形県,0,,-
5th style,Spin the disc,0,,-,745,PEN9LA,山形県,1272,3Y2S,山形県,1331,Z,山形県,0,,-
5th style,sometime,0,,-,747,XABRE,山形県,1012,ANI,山形県,1313,Z,山形県,0,,-
5th style,RISLIM,0,,-,865,TARIHI,山形県,1222,NANIKA,山形県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,812,SAKURA,山形県,1048,FIVE,山形県,1714,Z,山形県,1832,Z,山形県
5th style,Regulus,0,,-,994,DONUTS,山形県,1522,Z,山形県,1696,Z,山形県,0,,-
5th style,Real,0,,-,1051,385,山形県,1542,AGETO4,山形県,1804,NAMIGE,山形県,0,,-
5th style,Radical Faith,0,,-,1060,ALEXIA,山形県,1465,TOMOKI,山形県,1293,NANIKA,山形県,0,,-
5th style,QQQ,0,,-,1207,07HIR0,山形県,1833,Y*KANA,山形県,2156,Z,山形県,0,,-
5th style,outer wall,0,,-,859,PEN9LA,山形県,1265,LOXON.,山形県,1760,FEDLER,山形県,0,,-
