バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,782,SAYA..,栃木県,1033,SAYA..,栃木県,1160,SLEEPY,栃木県,0,,-
1st&substream,RUGGED ASH,0,,-,369,SAYA..,栃木県,400,SAYA..,栃木県,1085,SLEEPY,栃木県,2032,SLEEPY,栃木県
1st&substream,R3,0,,-,653,SAYA..,栃木県,727,SAYA..,栃木県,905,SLEEPY,栃木県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,555,SENJU.,栃木県,747,SENJU.,栃木県,1109,SLEEPY,栃木県,0,,-
1st&substream,Macho Gang,0,,-,380,SAYA..,栃木県,1062,SAYA..,栃木県,1643,HERMIT,栃木県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,SENJU.,栃木県,244,DAIKI.,栃木県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,869,SAYA..,栃木県,988,SAYA..,栃木県,1215,SLEEPY,栃木県,0,,-
1st&substream,gentle stress,0,,-,344,SAYA..,栃木県,675,SAYA..,栃木県,1452,HERMIT,栃木県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,SAYA..,栃木県,834,SLEEPY,栃木県,1070,SLEEPY,栃木県,0,,-
1st&substream,GAMBOL,0,,-,274,SAYA..,栃木県,274,DAIKI.,栃木県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,407,SENJU.,栃木県,518,SAYA..,栃木県,580,SLEEPY,栃木県,0,,-
1st&substream,deep in you,0,,-,495,SENJU.,栃木県,507,SENJU.,栃木県,662,SLEEPY,栃木県,0,,-
1st&substream,5.1.1.,0,,-,197,KAVAN.,栃木県,1016,SENJU.,栃木県,1571,DAIKI.,栃木県,0,,-
1st&substream,22DUNK,0,,-,527,SAYA..,栃木県,640,SAYA..,栃木県,655,DAIMON,栃木県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,507,SENJU.,栃木県,623,SAYA..,栃木県,648,SLEEPY,栃木県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,580,SAYA..,栃木県,859,GA9BRU,栃木県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,874,SAYA..,栃木県,1125,SLEEPY,栃木県,1226,HERMIT,栃木県,0,,-
2nd style,I Was The One,0,,-,540,SAYA..,栃木県,646,SAYA..,栃木県,694,FUBUK1,栃木県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,768,SAYA..,栃木県,953,SAYA..,栃木県,1069,SLEEPY,栃木県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,736,SAYA..,栃木県,1042,SAYA..,栃木県,1131,SLEEPY,栃木県,0,,-
2nd style,.59,0,,-,714,SAYA..,栃木県,1010,44TAKA,栃木県,1161,SLEEPY,栃木県,0,,-
3rd style,THE SAFARI,362,SAYA..,栃木県,1196,96GAL.,栃木県,1766,SLEEPY,栃木県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,281,SAYA..,栃木県,395,SAYA..,栃木県,0,,-,0,,-
