バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,761,7&MM!3,群馬県,1036,COG,群馬県,1158,G*,群馬県,0,,-
1st&substream,RUGGED ASH,0,,-,366,5QOO,群馬県,402,TAKA-P,群馬県,1088,NEKOZE,群馬県,2055,G*,群馬県
1st&substream,R3,0,,-,642,ISZO!,群馬県,721,PAJAM4,群馬県,903,FBI,群馬県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,548,15M!L9,群馬県,743,BEERKZ,群馬県,1116,G*,群馬県,0,,-
1st&substream,Macho Gang,0,,-,376,.HIFU3,群馬県,1039,BEISIA,群馬県,1649,G*,群馬県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,KA92##,群馬県,244,G*,群馬県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,846,KKP,群馬県,946,IIDX15,群馬県,1208,G*,群馬県,0,,-
1st&substream,gentle stress,0,,-,342,.HIFU3,群馬県,670,.HIFU3,群馬県,1443,BEERKZ,群馬県,0,,-
1st&substream,GENOM SCREAMS,0,,-,407,465,群馬県,829,G*,群馬県,1062,G*,群馬県,0,,-
1st&substream,GAMBOL,0,,-,273,RINNE*,群馬県,274,.HIFU3,群馬県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,VJAPAN,群馬県,503,PHYSIX,群馬県,577,SYNCH,群馬県,0,,-
1st&substream,deep in you,0,,-,477,VJAPAN,群馬県,501,G*,群馬県,661,FBI,群馬県,0,,-
1st&substream,5.1.1.,0,,-,198,G*,群馬県,1008,BEISIA,群馬県,1570,G*,群馬県,0,,-
1st&substream,22DUNK,0,,-,511,AOMI,群馬県,635,ZI,群馬県,651,IIDXIS,群馬県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,06RICE,群馬県,612,7&MM!3,群馬県,647,SYNCH,群馬県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,556,ODEDEN,群馬県,852,SYNCH,群馬県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,862,7&MM!3,群馬県,1090,B-1824,群馬県,1228,G*,群馬県,0,,-
2nd style,I Was The One,0,,-,525,PAJAM4,群馬県,623,DROTHY,群馬県,686,J,群馬県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,769,5QOO,群馬県,953,COG,群馬県,1066,G*,群馬県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,713,5QOO,群馬県,1035,COG,群馬県,1112,SYNCH,群馬県,0,,-
2nd style,.59,0,,-,700,5QOO,群馬県,1013,G*,群馬県,1151,SYNCH,群馬県,0,,-
3rd style,THE SAFARI,364,$EVAN$,群馬県,1210,BEISIA,群馬県,1764,G*,群馬県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,SAKURA,群馬県,394,RINNE*,群馬県,0,,-,0,,-
3rd style,Skyscraper,0,,-,733,B-1824,群馬県,1163,COG,群馬県,1241,SUFOLK,群馬県,0,,-
3rd style,Schlagwerk,0,,-,797,7&MM!3,群馬県,1292,XAN.H,群馬県,1688,G*,群馬県,0,,-
3rd style,REINCARNATION,0,,-,838,COG,群馬県,1015,COG,群馬県,1265,SYNCH,群馬県,0,,-
3rd style,R5,0,,-,754,5QOO,群馬県,1162,BEERKZ,群馬県,1763,RCHE,群馬県,0,,-
3rd style,Presto,0,,-,530,5QOO,群馬県,973,NEKOZE,群馬県,1005,BEERKZ,群馬県,0,,-
3rd style,LEADING CYBER,0,,-,841,5QOO,群馬県,1164,*TMHR*,群馬県,1265,SYNCH,群馬県,0,,-
3rd style,Holic,0,,-,762,W,群馬県,1192,PRTS,群馬県,1734,G*,群馬県,0,,-
3rd style,era (nostalmix),0,,-,835,5QOO,群馬県,1094,BEERKZ,群馬県,1557,G*,群馬県,0,,-
3rd style,Don't Stop!,0,,-,744,NAMEKO,群馬県,840,PRTS,群馬県,905,SUFOLK,群馬県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,608,B-1824,群馬県,1244,J,群馬県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,928,15M!L9,群馬県,1219,TAKA-P,群馬県,1323,G*,群馬県,0,,-
4th style,SWEET LAB,0,,-,545,TIN3TO,群馬県,961,BEISIA,群馬県,1366,G*,群馬県,0,,-
4th style,starmine,445,.HIFU3,群馬県,866,7&MM!3,群馬県,1430,G*,群馬県,1591,G*,群馬県,0,,-
4th style,Mr.T.(take me higher),0,,-,830,5QOO,群馬県,997,COG,群馬県,1771,G*,群馬県,0,,-
4th style,minimalian,0,,-,530,B-1824,群馬県,1078,GUNMA,群馬県,1400,SYNCH,群馬県,0,,-
4th style,LOVE WILL・・・,0,,-,547,465,群馬県,748,CAT,群馬県,1460,J,群馬県,0,,-
4th style,KAMIKAZE,0,,-,1002,7&MM!3,群馬県,1442,PA-SHI,群馬県,2295,G*,群馬県,0,,-
4th style,Jam&Marmalade,0,,-,760,465,群馬県,888,COG,群馬県,1014,G*,群馬県,0,,-
4th style,Hitch Hiker2,0,,-,804,465,群馬県,1183,NEKOZE,群馬県,1324,SYNCH,群馬県,1950,G*,群馬県
4th style,HIGHER,0,,-,526,AOMI,群馬県,911,465,群馬県,1278,SUFOLK,群馬県,0,,-
4th style,FLOWERS for ALBION,0,,-,238,G*,群馬県,438,G*,群馬県,0,,-,0,,-
4th style,era (step mix),0,,-,1076,ZI,群馬県,1397,COG,群馬県,1735,G*,群馬県,0,,-
4th style,empathy,0,,-,817,5QOO,群馬県,1316,COG,群馬県,1478,G*,群馬県,0,,-
4th style,DXY!,0,,-,1273,PA-SHI,群馬県,1824,J,群馬県,2250,G*,群馬県,0,,-
4th style,Clione,0,,-,513,A-,群馬県,916,465,群馬県,1617,G*,群馬県,2180,G*,群馬県
4th style,CHECKING YOU OUT,0,,-,646,PA-SHI,群馬県,913,G*,群馬県,1338,G*,群馬県,0,,-
4th style,Burnin' The Floor,0,,-,569,AOMI,群馬県,923,PRTS,群馬県,1439,G*,群馬県,0,,-
4th style,Broken My Heart,0,,-,912,A-,群馬県,1465,COG,群馬県,1820,G*,群馬県,0,,-
4th style,B4U,0,,-,1023,5QOO,群馬県,1539,SILXEA,群馬県,2021,G*,群馬県,0,,-
4th style,ABSOLUTE,0,,-,1293,NO.IZE,群馬県,1759,COG,群馬県,2410,G*,群馬県,2728,TIN3TO,群馬県
4th style,250bpm,0,,-,664,5QOO,群馬県,1010,GUNMA,群馬県,1422,G*,群馬県,0,,-
5th style,V,346,$EVAN$,群馬県,1280,TIN3TO,群馬県,2453,HELL,群馬県,3022,G*,群馬県,0,,-
5th style,THE SHINING POLARIS,0,,-,891,5QOO,群馬県,1266,KOKOMI,群馬県,1588,G*,群馬県,0,,-
5th style,THE CUBE,0,,-,724,B-1824,群馬県,1275,FBI,群馬県,1356,G*,群馬県,0,,-
5th style,sync,0,,-,1061,5QOO,群馬県,1916,COG,群馬県,2401,G*,群馬県,0,,-
5th style,still my words,0,,-,899,AOMI,群馬県,1232,G*,群馬県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,994,5QOO,群馬県,1324,RINNE*,群馬県,1933,G*,群馬県,0,,-
5th style,Spin the disc,0,,-,785,B-1824,群馬県,1295,G*,群馬県,1327,GUNMA,群馬県,0,,-
5th style,sometime,0,,-,768,RINNE*,群馬県,1059,ARUS,群馬県,1318,SYNCH,群馬県,0,,-
5th style,RISLIM,0,,-,901,AOMI,群馬県,1231,NEKOZE,群馬県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,876,A-,群馬県,1076,COG,群馬県,1715,G*,群馬県,1838,G*,群馬県
5th style,Regulus,0,,-,1024,7&MM!3,群馬県,1476,POYO4,群馬県,1678,Z-1004,群馬県,0,,-
5th style,Real,0,,-,1062,5QOO,群馬県,1640,5QOO,群馬県,1830,G*,群馬県,0,,-
5th style,Radical Faith,0,,-,1173,COG,群馬県,1523,G*,群馬県,1297,XJAPAN,群馬県,0,,-
5th style,QQQ,0,,-,1214,5QOO,群馬県,1859,GUNMA,群馬県,2168,G*,群馬県,0,,-
5th style,outer wall,0,,-,901,CAT,群馬県,1319,7&MM!3,群馬県,1774,G*,群馬県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,741,7&MM!3,群馬県,960,PRTS,群馬県,1116,TIN3TO,群馬県,0,,-
5th style,in my eyes,0,,-,945,5QOO,群馬県,1411,COG,群馬県,1578,SUFOLK,群馬県,0,,-
5th style,Abyss,0,,-,1262,COG,群馬県,1615,NEKOZE,群馬県,1883,G*,群馬県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1030,MU$ECA,群馬県,1573,NEKOZE,群馬県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,825,5QOO,群馬県,1281,COG,群馬県,1384,BEERKZ,群馬県,0,,-
6th style,VJ ARMY,0,,-,1185,FLG.,群馬県,1698,GUNMA,群馬県,2245,G*,群馬県,0,,-
6th style,Take It Easy,0,,-,1480,RINNE*,群馬県,2361,BEISIA,群馬県,2524,G*,群馬県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1265,5QOO,群馬県,1844,BEERKZ,群馬県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,924,B-1824,群馬県,1314,7&MM!3,群馬県,1959,SYNCH,群馬県,0,,-
6th style,route 80s,0,,-,858,5QOO,群馬県,1152,S0R1N,群馬県,1520,G*,群馬県,0,,-
6th style,rottel-da-sun,0,,-,800,FLG.,群馬県,1324,OZ-RH,群馬県,1867,G*,群馬県,0,,-
6th style,NEMESIS,0,,-,998,5QOO,群馬県,1589,5QOO,群馬県,1927,G*,群馬県,0,,-
6th style,Linus,0,,-,955,5QOO,群馬県,1512,COG,群馬県,2183,BEERKZ,群馬県,0,,-
6th style,G2,0,,-,1377,5QOO,群馬県,1763,PA-SHI,群馬県,2351,G*,群馬県,0,,-
6th style,Frozen Ray (original mix),0,,-,1276,5QOO,群馬県,1727,B-1824,群馬県,1812,G*,群馬県,0,,-
6th style,Free Style,0,,-,911,5QOO,群馬県,1082,COG,群馬県,1317,G*,群馬県,0,,-
6th style,fly through the night,0,,-,887,B-1824,群馬県,1340,SILXEA,群馬県,1710,G*,群馬県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1257,5QOO,群馬県,1812,7&MM!3,群馬県,2113,G*,群馬県,0,,-
6th style,Colors (radio edit),0,,-,1452,.HIFU3,群馬県,1882,7&MM!3,群馬県,2482,G*,群馬県,0,,-
6th style,Buffalo,0,,-,989,PA-SHI,群馬県,1417,GOESE,群馬県,1821,G*,群馬県,2500,SYNCH,群馬県
6th style,Blueberry Stream,0,,-,820,B-1824,群馬県,1400,B-1824,群馬県,1638,BEERKZ,群馬県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,590,B-1824,群馬県,768,B-1824,群馬県,1071,SYNCH,群馬県,0,,-
6th style,"19,November",0,,-,1087,7&MM!3,群馬県,1436,COG,群馬県,1809,G*,群馬県,0,,-
7th style,革命,0,,-,755,B-1824,群馬県,1890,DEEN,群馬県,2346,G*,群馬県,0,,-
7th style,ZERO-ONE,0,,-,1059,5QOO,群馬県,1667,WADATI,群馬県,2256,G*,群馬県,2875,G*,群馬県
7th style,traces,0,,-,1454,CAT,群馬県,1899,BEISIA,群馬県,2160,G*,群馬県,0,,-
