バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,777,MANDA,埼玉県,1029,ZE,埼玉県,1160,SERENA,埼玉県,0,,-
1st&substream,RUGGED ASH,0,,-,370,2439-R,埼玉県,402,2439-R,埼玉県,1098,KINUYO,埼玉県,2065,UCCHIE,埼玉県
1st&substream,R3,0,,-,660,IMOTO*,埼玉県,736,IMOTO*,埼玉県,907,PAYA,埼玉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,556,MANDA,埼玉県,752,YU.AR8,埼玉県,1119,KINUYO,埼玉県,0,,-
1st&substream,Macho Gang,0,,-,380,JIN,埼玉県,1067,MANDA,埼玉県,1663,UCCHIE,埼玉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,AARR88,埼玉県,244,XAN.7,埼玉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,858,ANTHEI,埼玉県,970,MOOG56,埼玉県,1216,KINUYO,埼玉県,0,,-
1st&substream,gentle stress,0,,-,344,EZR,埼玉県,680,IIDX31,埼玉県,1453,KINUYO,埼玉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,408,AZUSA,埼玉県,826,MUMATA,埼玉県,1069,KINUYO,埼玉県,0,,-
1st&substream,GAMBOL,0,,-,274,XAN.7,埼玉県,274,893573,埼玉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,404,EZR,埼玉県,520,JIN,埼玉県,580,KINUYO,埼玉県,0,,-
1st&substream,deep in you,0,,-,493,CRT2,埼玉県,503,L1E-IV,埼玉県,665,ROUGAI,埼玉県,0,,-
1st&substream,5.1.1.,0,,-,198,SAIX.,埼玉県,1016,AARR88,埼玉県,1572,UCCHIE,埼玉県,0,,-
1st&substream,22DUNK,0,,-,517,ZZY222,埼玉県,639,TAXMEN,埼玉県,657,SERENA,埼玉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,CR*KRB,埼玉県,626,IMOTO*,埼玉県,648,ROUGAI,埼玉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,565,CR*KRB,埼玉県,868,KINUYO,埼玉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,864,8GXAAA,埼玉県,1089,DJPUB2,埼玉県,1231,CRINE,埼玉県,0,,-
2nd style,I Was The One,0,,-,531,EZR,埼玉県,645,Y&CCO.,埼玉県,695,ROUGAI,埼玉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,778,IMOTO*,埼玉県,927,PAWN,埼玉県,1071,JANNE.,埼玉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,737,MANDA,埼玉県,1016,DR.LUV,埼玉県,1140,KINUYO,埼玉県,0,,-
2nd style,.59,0,,-,709,JANNE.,埼玉県,1010,ZZY111,埼玉県,1162,KINUYO,埼玉県,0,,-
3rd style,THE SAFARI,364,39TAN*,埼玉県,1218,JANNE.,埼玉県,1776,YU11,埼玉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,278,!BOX,埼玉県,396,ROUGAI,埼玉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,724,DXR*FC,埼玉県,1153,HASHI,埼玉県,1253,KINUYO,埼玉県,0,,-
3rd style,Schlagwerk,0,,-,813,ANTHEI,埼玉県,1277,A-TOUK,埼玉県,1688,54GAYA,埼玉県,0,,-
3rd style,REINCARNATION,0,,-,837,EZR,埼玉県,1002,333,埼玉県,1281,GO*,埼玉県,0,,-
3rd style,R5,0,,-,772,IMOTO*,埼玉県,1170,.HIFU3,埼玉県,1774,UCCHIE,埼玉県,0,,-
3rd style,Presto,0,,-,546,IMOTO*,埼玉県,990,IMOTO*,埼玉県,1013,KINUYO,埼玉県,0,,-
3rd style,LEADING CYBER,0,,-,830,DXR*FC,埼玉県,1187,DR.LUV,埼玉県,1280,KINUYO,埼玉県,0,,-
3rd style,Holic,0,,-,768,DEZIST,埼玉県,1235,SERENA,埼玉県,1747,UCCHIE,埼玉県,0,,-
3rd style,era (nostalmix),0,,-,847,STROAM,埼玉県,1102,1-PIN,埼玉県,1559,PAYA,埼玉県,0,,-
3rd style,Don't Stop!,0,,-,772,.HIFU3,埼玉県,843,ZZY111,埼玉県,906,ROUGAI,埼玉県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,620,IMOTO*,埼玉県,1260,1-PIN,埼玉県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,948,BGI#36,埼玉県,1247,UCCHIE,埼玉県,1335,KINUYO,埼玉県,0,,-
4th style,SWEET LAB,0,,-,557,UCCHIE,埼玉県,944,ANTHEI,埼玉県,1380,R-301,埼玉県,0,,-
4th style,starmine,446,UN-LIM,埼玉県,899,ZZY111,埼玉県,1436,UCCHIE,埼玉県,1596,KINUYO,埼玉県,0,,-
4th style,Mr.T.(take me higher),0,,-,842,ZZY111,埼玉県,1007,.HIFU3,埼玉県,1768,XAN.7,埼玉県,0,,-
4th style,minimalian,0,,-,532,DXR*FC,埼玉県,1084,893573,埼玉県,1411,SAMES,埼玉県,0,,-
4th style,LOVE WILL・・・,0,,-,555,EZR,埼玉県,758,IMOTO*,埼玉県,1464,TAXMEN,埼玉県,0,,-
4th style,KAMIKAZE,0,,-,1016,ZZY111,埼玉県,1472,R-18,埼玉県,2302,UCCHIE,埼玉県,0,,-
4th style,Jam&Marmalade,0,,-,773,AARR88,埼玉県,880,NAMEKO,埼玉県,1023,KINUYO,埼玉県,0,,-
4th style,Hitch Hiker2,0,,-,813,MARISA,埼玉県,1169,ZZY111,埼玉県,1326,KINUYO,埼玉県,1938,1-PIN,埼玉県
4th style,HIGHER,0,,-,526,DXR*FC,埼玉県,921,MANDA,埼玉県,1281,UJWAON,埼玉県,0,,-
4th style,FLOWERS for ALBION,0,,-,242,1-PIN,埼玉県,444,KINUYO,埼玉県,0,,-,0,,-
4th style,era (step mix),0,,-,1105,DAQN,埼玉県,1391,F-0,埼玉県,1737,UCCHIE,埼玉県,0,,-
4th style,empathy,0,,-,832,IMOTO*,埼玉県,1347,893573,埼玉県,1480,UCCHIE,埼玉県,0,,-
4th style,DXY!,0,,-,1265,HITA*,埼玉県,1918,CRINE,埼玉県,2283,UCCHIE,埼玉県,0,,-
4th style,Clione,0,,-,523,12345$,埼玉県,949,SHIMOZ,埼玉県,1618,CHERRY,埼玉県,2195,UCCHIE,埼玉県
4th style,CHECKING YOU OUT,0,,-,640,UCCHIE,埼玉県,921,1-PIN,埼玉県,1378,1-PIN,埼玉県,0,,-
4th style,Burnin' The Floor,0,,-,569,SUGA.G,埼玉県,956,IMOTO*,埼玉県,1442,1-PIN,埼玉県,0,,-
4th style,Broken My Heart,0,,-,916,EZR,埼玉県,1459,HI7MI.,埼玉県,1826,R-301,埼玉県,0,,-
4th style,B4U,0,,-,1040,S-RAN,埼玉県,1541,BGI#36,埼玉県,2018,1-PIN,埼玉県,0,,-
4th style,ABSOLUTE,0,,-,1329,JANNE.,埼玉県,1740,8GXRES,埼玉県,2410,1-PIN,埼玉県,2797,UCCHIE,埼玉県
4th style,250bpm,0,,-,671,ANTHEI,埼玉県,1024,893573,埼玉県,1439,KINUYO,埼玉県,0,,-
5th style,V,345,KEU,埼玉県,1287,CLICK,埼玉県,2513,AARR88,埼玉県,3022,UCCHIE,埼玉県,0,,-
5th style,THE SHINING POLARIS,0,,-,932,UPOMU.,埼玉県,1290,DR.LUV,埼玉県,1591,CHERRY,埼玉県,0,,-
5th style,THE CUBE,0,,-,741,MANDA,埼玉県,1282,KINUYO,埼玉県,1363,KINUYO,埼玉県,0,,-
5th style,sync,0,,-,1061,SYOW,埼玉県,1899,WATSON,埼玉県,2398,PAYA,埼玉県,0,,-
5th style,still my words,0,,-,913,A-TOUK,埼玉県,1237,SERENA,埼玉県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1021,SETZ,埼玉県,1384,XAN.7,埼玉県,1927,R-301,埼玉県,0,,-
5th style,Spin the disc,0,,-,813,IMOTO*,埼玉県,1306,UCCHIE,埼玉県,1345,R-301,埼玉県,0,,-
5th style,sometime,0,,-,769,CHUNYO,埼玉県,1054,AIRI.M,埼玉県,1329,SERENA,埼玉県,0,,-
5th style,RISLIM,0,,-,920,IMOTO*,埼玉県,1244,KINUYO,埼玉県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,880,KEU,埼玉県,1092,YU.AR8,埼玉県,1723,KINUYO,埼玉県,1856,1-PIN,埼玉県
5th style,Regulus,0,,-,1016,ZZY222,埼玉県,1500,AZARA4,埼玉県,1742,UCCHIE,埼玉県,0,,-
5th style,Real,0,,-,1119,MANDA,埼玉県,1687,AZARA4,埼玉県,1835,UCCHIE,埼玉県,0,,-
5th style,Radical Faith,0,,-,1178,DEE,埼玉県,1529,UCCHIE,埼玉県,1309,JANNE.,埼玉県,0,,-
5th style,QQQ,0,,-,1205,A,埼玉県,1903,AZARA4,埼玉県,2173,1-PIN,埼玉県,0,,-
5th style,outer wall,0,,-,907,BENK,埼玉県,1323,UPOMU.,埼玉県,1775,GO*,埼玉県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,757,QED495,埼玉県,979,SUGA.G,埼玉県,1122,KINUYO,埼玉県,0,,-
5th style,in my eyes,0,,-,955,XYLISH,埼玉県,1418,A,埼玉県,1590,SERENA,埼玉県,0,,-
5th style,Abyss,0,,-,1247,GUNOI,埼玉県,1627,GO*,埼玉県,1884,SERENA,埼玉県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1068,DR.LUV,埼玉県,1583,HINS,埼玉県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,835,SYARU,埼玉県,1299,ROUGAI,埼玉県,1397,1-PIN,埼玉県,0,,-
6th style,VJ ARMY,0,,-,1255,CHUNYO,埼玉県,1756,IIDX31,埼玉県,2269,1-PIN,埼玉県,0,,-
6th style,Take It Easy,0,,-,1460,ANTHEI,埼玉県,2373,TUNDEL,埼玉県,2540,UCCHIE,埼玉県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1231,N3M0,埼玉県,1860,UCCHIE,埼玉県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,926,ZZY111,埼玉県,1352,YU11,埼玉県,1996,XAN.7,埼玉県,0,,-
6th style,route 80s,0,,-,869,ANTHEI,埼玉県,1186,T.FULL,埼玉県,1528,R-301,埼玉県,0,,-
6th style,rottel-da-sun,0,,-,789,CR*KRB,埼玉県,1358,AJITA2,埼玉県,1870,R-301,埼玉県,0,,-
6th style,NEMESIS,0,,-,1000,L!E1V,埼玉県,1593,RET156,埼玉県,1932,UCCHIE,埼玉県,0,,-
6th style,Linus,0,,-,970,KINUYO,埼玉県,1544,L1E-IV,埼玉県,2208,UCCHIE,埼玉県,0,,-
6th style,G2,0,,-,1419,JIN,埼玉県,1770,43,埼玉県,2345,1-PIN,埼玉県,0,,-
6th style,Frozen Ray (original mix),0,,-,1321,JANNE.,埼玉県,1759,AZARA4,埼玉県,1807,R-301,埼玉県,0,,-
6th style,Free Style,0,,-,910,MANDA,埼玉県,1058,KEU,埼玉県,1320,KINUYO,埼玉県,0,,-
6th style,fly through the night,0,,-,897,ZZY111,埼玉県,1319,1016.,埼玉県,1718,KINUYO,埼玉県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1263,KBTMNB,埼玉県,1859,KINUYO,埼玉県,2119,1-PIN,埼玉県,0,,-
6th style,Colors (radio edit),0,,-,1462,CLICK,埼玉県,1978,AZARA4,埼玉県,2480,UCCHIE,埼玉県,0,,-
6th style,Buffalo,0,,-,982,ZZY222,埼玉県,1423,BT,埼玉県,1844,UCCHIE,埼玉県,2541,UCCHIE,埼玉県
6th style,Blueberry Stream,0,,-,813,ZZYANN,埼玉県,1455,WATSON,埼玉県,1674,1-PIN,埼玉県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,587,893573,埼玉県,768,ZZY111,埼玉県,1074,1-PIN,埼玉県,0,,-
6th style,"19,November",0,,-,1075,84*,埼玉県,1399,DR.LUV,埼玉県,1815,UCCHIE,埼玉県,0,,-
7th style,革命,0,,-,772,LOBMAG,埼玉県,1947,LOBMAG,埼玉県,2350,1-PIN,埼玉県,0,,-
7th style,ZERO-ONE,0,,-,1066,ZZY111,埼玉県,1718,IMOTO*,埼玉県,2254,1-PIN,埼玉県,2870,*NINA*,埼玉県
7th style,traces,0,,-,1463,ZZY,埼玉県,1927,AZARA4,埼玉県,2154,UCCHIE,埼玉県,0,,-
7th style,Tomorrow Perfume,0,,-,1284,ZZY222,埼玉県,1898,P,埼玉県,2149,1-PIN,埼玉県,0,,-
7th style,stoic,0,,-,1686,JANNE.,埼玉県,2397,IMOTO*,埼玉県,2585,1-PIN,埼玉県,0,,-
7th style,Spica,0,,-,656,IMOTO*,埼玉県,1500,UCCHIE,埼玉県,2306,UCCHIE,埼玉県,0,,-
7th style,Love Me Do,0,,-,1123,KT3BLK,埼玉県,1709,AARR88,埼玉県,2116,AARR88,埼玉県,0,,-
7th style,Let the Snow Paint Me,0,,-,837,MARISA,埼玉県,1052,EVCAFE,埼玉県,1248,CHERRY,埼玉県,0,,-
7th style,Last Message,0,,-,1024,IMOTO*,埼玉県,1337,W3DG3,埼玉県,1630,1-PIN,埼玉県,0,,-
7th style,Happy Wedding,0,,-,1175,ZZY111,埼玉県,1705,PAYA,埼玉県,1862,1-PIN,埼玉県,0,,-
7th style,Glorious Days,0,,-,523,IMOTO*,埼玉県,785,MILY,埼玉県,916,XAN.7,埼玉県,0,,-
7th style,foreplay,0,,-,693,ANTHEI,埼玉県,1173,DAQN,埼玉県,1358,UCCHIE,埼玉県,0,,-
7th style,DESTINY,0,,-,1076,AZARA4,埼玉県,1396,XAN.7,埼玉県,1850,SERENA,埼玉県,0,,-
7th style,D2R,0,,-,978,54GAYA,埼玉県,1300,RIKA.F,埼玉県,1637,LOBMAG,埼玉県,0,,-
7th style,Cheer Train,0,,-,898,MANDA,埼玉県,1230,893573,埼玉県,1748,1-PIN,埼玉県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,690,CR*KRB,埼玉県,944,R-18,埼玉県,1498,1-PIN,埼玉県,0,,-
7th style,Bad Routine,0,,-,1017,MANDA,埼玉県,1385,89.X,埼玉県,1923,KINUYO,埼玉県,0,,-
7th style,AVE DE RAPINA,0,,-,1355,PAYA,埼玉県,1709,YU.AR8,埼玉県,1836,KINUYO,埼玉県,0,,-
7th style,A,0,,-,1247,ZZY,埼玉県,2136,HIDEN,埼玉県,2504,UCCHIE,埼玉県,0,,-
8th style,蒼い衝動,0,,-,935,IMOTO*,埼玉県,1377,YU.AR8,埼玉県,1604,GO*,埼玉県,0,,-
8th style,桜,0,,-,1002,2439-R,埼玉県,1602,CRINE,埼玉県,2201,UJWAON,埼玉県,0,,-
8th style,xenon,0,,-,1099,TKPU-3,埼玉県,1685,RET156,埼玉県,2749,UCCHIE,埼玉県,0,,-
8th style,World Wide Love,0,,-,705,.HIFU3,埼玉県,1044,EVCAFE,埼玉県,1118,YU.AR8,埼玉県,0,,-
8th style,WAR GAME,0,,-,961,ZZY111,埼玉県,1568,IMOTO*,埼玉県,2153,UCCHIE,埼玉県,0,,-
8th style,thunder,0,,-,1186,WATSON,埼玉県,1594,IMOTO*,埼玉県,1894,KINUYO,埼玉県,0,,-
8th style,symbolic,0,,-,1392,UPOMU.,埼玉県,1818,8GXRES,埼玉県,2266,R-301,埼玉県,0,,-
8th style,STAR DREAM,0,,-,753,VAKA,埼玉県,1266,NAYUK!,埼玉県,1439,XAN.7,埼玉県,0,,-
8th style,rainbow flyer,0,,-,812,N3M0,埼玉県,1702,XAN.7,埼玉県,2156,UCCHIE,埼玉県,0,,-
8th style,PLEASE DON'T GO,0,,-,973,L!E1V,埼玉県,1401,SHIMOZ,埼玉県,2473,UCCHIE,埼玉県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,827,XAN.7,埼玉県,1418,PIANO#,埼玉県,1686,1-PIN,埼玉県,0,,-
8th style,murmur twins,0,,-,1128,893573,埼玉県,1693,PAYA,埼玉県,2401,UCCHIE,埼玉県,0,,-
8th style,Monkey Dance,0,,-,826,IMOTO*,埼玉県,1366,LOBMAG,埼玉県,1990,1-PIN,埼玉県,0,,-
8th style,memories,0,,-,1105,A,埼玉県,2049,JAMJAM,埼玉県,2285,1-PIN,埼玉県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,855,MANDA,埼玉県,1063,BGI#35,埼玉県,1666,UCCHIE,埼玉県,0,,-
8th style,LOVE IS ORANGE,0,,-,798,IMOTO*,埼玉県,1015,EVCAFE,埼玉県,1801,KINUYO,埼玉県,2108,1-PIN,埼玉県
8th style,LAB,0,,-,1030,DR.LUV,埼玉県,2015,YU.AR8,埼玉県,2123,KINUYO,埼玉県,0,,-
