バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,777,WALTZ,千葉県,1042,HMKM.R,千葉県,1159,ROEN,千葉県,0,,-
1st&substream,RUGGED ASH,0,,-,367,WALTZ,千葉県,402,MY.JUG,千葉県,1095,U*TAKA,千葉県,2058,U*TAKA,千葉県
1st&substream,R3,0,,-,657,ZAKURO,千葉県,731,U*TAKA,千葉県,906,FURINA,千葉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,553,WALTZ,千葉県,752,MY.JUG,千葉県,1113,KAWA*E,千葉県,0,,-
1st&substream,Macho Gang,0,,-,379,NILGOD,千葉県,1060,POOH3*,千葉県,1655,SEIRYU,千葉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,KI.,千葉県,244,MIYAKO,千葉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,863,TSUJI,千葉県,983,WALTZ,千葉県,1208,SEIRYU,千葉県,0,,-
1st&substream,gentle stress,0,,-,344,DARK-I,千葉県,684,MY.JUG,千葉県,1453,SEIRYU,千葉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,416,WALTZ,千葉県,830,56NYAN,千葉県,1069,ZAKURO,千葉県,0,,-
1st&substream,GAMBOL,0,,-,274,YU.AR8,千葉県,274,AGUILA,千葉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,SMILY.,千葉県,518,WALTZ,千葉県,579,56NYAN,千葉県,0,,-
1st&substream,deep in you,0,,-,500,56NYAN,千葉県,505,EMA,千葉県,665,U*TAKA,千葉県,0,,-
1st&substream,5.1.1.,0,,-,198,AYALT,千葉県,1022,MY.JUG,千葉県,1572,U*TAKA,千葉県,0,,-
1st&substream,22DUNK,0,,-,527,56NYAN,千葉県,638,ONESHO,千葉県,657,ISSIKI,千葉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,T3.CH*,千葉県,626,MY.JUG,千葉県,648,ROEN,千葉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,568,WALTZ,千葉県,861,YU.AR8,千葉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,878,56NYAN,千葉県,1111,WALTZ,千葉県,1231,SEIRYU,千葉県,0,,-
2nd style,I Was The One,0,,-,542,56NYAN,千葉県,643,KI.,千葉県,694,56NYAN,千葉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,759,WALTZ,千葉県,938,WALTZ,千葉県,1069,ROEN,千葉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,729,WALTZ,千葉県,1056,JIRO,千葉県,1135,SEIRYU,千葉県,0,,-
2nd style,.59,0,,-,696,DREAM,千葉県,1012,GILL,千葉県,1160,R0EN,千葉県,0,,-
3rd style,THE SAFARI,365,SMILY.,千葉県,1222,56NYAN,千葉県,1773,SEIRYU,千葉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,T.3DJ!,千葉県,396,HIMMEL,千葉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,735,KI.,千葉県,1188,TSUJI,千葉県,1248,ISSIKI,千葉県,0,,-
3rd style,Schlagwerk,0,,-,810,WALTZ,千葉県,1293,KI.,千葉県,1689,CHI8.,千葉県,0,,-
3rd style,REINCARNATION,0,,-,834,KI.,千葉県,1015,WALTZ,千葉県,1285,U*TAKA,千葉県,0,,-
3rd style,R5,0,,-,765,WALTZ,千葉県,1158,HIMMEL,千葉県,1778,U*TAKA,千葉県,0,,-
3rd style,Presto,0,,-,536,YONEWO,千葉県,982,ZRX-II,千葉県,1013,U*TAKA,千葉県,0,,-
3rd style,LEADING CYBER,0,,-,850,KI.,千葉県,1210,MY.JUG,千葉県,1285,U*TAKA,千葉県,0,,-
3rd style,Holic,0,,-,771,KI.,千葉県,1229,56NYAN,千葉県,1744,SEIRYU,千葉県,0,,-
3rd style,era (nostalmix),0,,-,838,NEWCHO,千葉県,1094,CPU0,千葉県,1569,U*TAKA,千葉県,0,,-
3rd style,Don't Stop!,0,,-,772,MAXCOF,千葉県,851,A.CRYS,千葉県,905,U*TAKA,千葉県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,614,TSUJI,千葉県,1253,0-.-0,千葉県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,918,WALTZ,千葉県,1235,JIRO,千葉県,1328,Y-JET.,千葉県,0,,-
4th style,SWEET LAB,0,,-,547,WALTZ,千葉県,966,ROEN,千葉県,1381,U*TAKA,千葉県,0,,-
4th style,starmine,447,AYALT,千葉県,897,WALTZ,千葉県,1424,MIKU.N,千葉県,1600,U*TAKA,千葉県,0,,-
4th style,Mr.T.(take me higher),0,,-,833,WALTZ,千葉県,1010,WALTZ,千葉県,1774,U*TAKA,千葉県,0,,-
4th style,minimalian,0,,-,536,KI.,千葉県,1084,A.CRYS,千葉県,1408,FREAKY,千葉県,0,,-
4th style,LOVE WILL・・・,0,,-,553,WALTZ,千葉県,753,WALTZ,千葉県,1464,U*TAKA,千葉県,0,,-
4th style,KAMIKAZE,0,,-,1011,WALTZ,千葉県,1457,WALTZ,千葉県,2313,SEIRYU,千葉県,0,,-
4th style,Jam&Marmalade,0,,-,751,WALTZ,千葉県,902,ISSIKI,千葉県,1022,TEMIKO,千葉県,0,,-
4th style,Hitch Hiker2,0,,-,835,56NYAN,千葉県,1186,WALTZ,千葉県,1316,YU.AR8,千葉県,1941,U*TAKA,千葉県
4th style,HIGHER,0,,-,535,WALTZ,千葉県,935,AGUILA,千葉県,1282,U*TAKA,千葉県,0,,-
4th style,FLOWERS for ALBION,0,,-,243,U*TAKA,千葉県,444,U*TAKA,千葉県,0,,-,0,,-
4th style,era (step mix),0,,-,1077,AHHIHA,千葉県,1422,P.GOLF,千葉県,1747,U*TAKA,千葉県,0,,-
4th style,empathy,0,,-,814,WALTZ,千葉県,1326,3TNO.D,千葉県,1461,ZAKURO,千葉県,0,,-
4th style,DXY!,0,,-,1277,SEIA.,千葉県,1853,RUSHIA,千葉県,2296,SEIRYU,千葉県,0,,-
4th style,Clione,0,,-,524,RAVA.,千葉県,942,MY.JUG,千葉県,1616,U*TAKA,千葉県,2182,SEIRYU,千葉県
4th style,CHECKING YOU OUT,0,,-,637,WALTZ,千葉県,918,OOOOON,千葉県,1392,U*TAKA,千葉県,0,,-
4th style,Burnin' The Floor,0,,-,581,WALTZ,千葉県,954,AGUILA,千葉県,1442,0-.-0,千葉県,0,,-
4th style,Broken My Heart,0,,-,934,WALTZ,千葉県,1485,MY.JUG,千葉県,1822,SEIRYU,千葉県,0,,-
4th style,B4U,0,,-,1043,KI.,千葉県,1557,YU.AR8,千葉県,2025,SEIRYU,千葉県,0,,-
4th style,ABSOLUTE,0,,-,1313,BYGO-T,千葉県,1786,TSUJI,千葉県,2410,U*TAKA,千葉県,2794,SEIRYU,千葉県
4th style,250bpm,0,,-,689,3TNO.D,千葉県,1026,CGP#NS,千葉県,1444,U*TAKA,千葉県,0,,-
5th style,V,346,T3.CH*,千葉県,1284,56NYAN,千葉県,2509,KABUTO,千葉県,3031,U*TAKA,千葉県,0,,-
5th style,THE SHINING POLARIS,0,,-,945,WALTZ,千葉県,1313,MY.JUG,千葉県,1586,SEIRYU,千葉県,0,,-
