バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,796,PICO,東京都,1053,PICO,東京都,1162,NIKE.,東京都,0,,-
1st&substream,RUGGED ASH,0,,-,370,SQ,東京都,402,SQ,東京都,1104,DINASO,東京都,2070,DINASO,東京都
1st&substream,R3,0,,-,659,SQ,東京都,733,SHINPO,東京都,908,DINASO,東京都,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,558,SQ,東京都,752,BGI#45,東京都,1122,U76NER,東京都,0,,-
1st&substream,Macho Gang,0,,-,382,SHINPO,東京都,1090,PICO,東京都,1666,DINASO,東京都,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,SQ,東京都,244,KURIPA,東京都,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,884,PICO,東京都,1015,PICO,東京都,1215,DINASO,東京都,0,,-
1st&substream,gentle stress,0,,-,344,04*,東京都,677,Y13,東京都,1455,NIKE.,東京都,0,,-
1st&substream,GENOM SCREAMS,0,,-,421,04*,東京都,829,MIKAMO,東京都,1072,MIKAMO,東京都,0,,-
1st&substream,GAMBOL,0,,-,274,SQ,東京都,274,SHATI9,東京都,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,407,SQ,東京都,520,SQ,東京都,580,DINASO,東京都,0,,-
1st&substream,deep in you,0,,-,500,04*,東京都,509,SQ,東京都,666,DINASO,東京都,0,,-
1st&substream,5.1.1.,0,,-,198,405,東京都,1022,8$.,東京都,1572,NIKE.,東京都,0,,-
1st&substream,22DUNK,0,,-,528,04*,東京都,645,1048,東京都,658,REBEL,東京都,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,507,SQ,東京都,625,SQ,東京都,648,DINASO,東京都,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,577,04*,東京都,866,MIKAMO,東京都,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,884,PICO,東京都,1123,SQ,東京都,1232,NIKE.,東京都,0,,-
2nd style,I Was The One,0,,-,540,SQ,東京都,651,JDK*,東京都,696,PICO,東京都,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,778,SQ,東京都,958,SQ,東京都,1070,1048,東京都,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,746,SQ,東京都,1064,ERAKIS,東京都,1142,PICO,東京都,0,,-
2nd style,.59,0,,-,718,PICO,東京都,1027,DINASO,東京都,1166,DINASO,東京都,0,,-
3rd style,THE SAFARI,366,Y13,東京都,1228,SIZURU,東京都,1791,MIKAMO,東京都,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,DICE,東京都,396,DINASO,東京都,0,,-,0,,-
3rd style,Skyscraper,0,,-,744,PICO,東京都,1208,SQ,東京都,1257,DINASO,東京都,0,,-
3rd style,Schlagwerk,0,,-,825,SQ,東京都,1325,PICO,東京都,1696,MIKAMO,東京都,0,,-
3rd style,REINCARNATION,0,,-,845,04*,東京都,1046,DINASO,東京都,1280,NO4XTK,東京都,0,,-
