バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,796,STEEL*,神奈川県,1058,IMOTO*,神奈川県,1161,CYBERX,神奈川県,0,,-
1st&substream,RUGGED ASH,0,,-,370,17GO!?,神奈川県,402,17GO!?,神奈川県,1098,TATSU,神奈川県,2076,TATSU,神奈川県
1st&substream,R3,0,,-,660,17GO!?,神奈川県,736,IMOTO*,神奈川県,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,*9N2*,神奈川県,751,STYU--,神奈川県,1121,CYBERX,神奈川県,0,,-
1st&substream,Macho Gang,0,,-,382,MARINA,神奈川県,1085,GOEMON,神奈川県,1669,TATSU,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*9N2*,神奈川県,244,SAIZE,神奈川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,877,TART,神奈川県,1010,IMOTO*,神奈川県,1214,I6VV,神奈川県,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,神奈川県,684,YORI,神奈川県,1455,IGW.,神奈川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,17GO!?,神奈川県,827,8MA6RA,神奈川県,1072,STYU--,神奈川県,0,,-
1st&substream,GAMBOL,0,,-,274,17GO!?,神奈川県,274,SAIZE,神奈川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,17GO!?,神奈川県,522,17GO!?,神奈川県,580,STEEL*,神奈川県,0,,-
1st&substream,deep in you,0,,-,500,STEEL*,神奈川県,509,IGWUR,神奈川県,666,CYBERX,神奈川県,0,,-
1st&substream,5.1.1.,0,,-,198,17GO!?,神奈川県,1022,GOEMON,神奈川県,1572,CYBERX,神奈川県,0,,-
1st&substream,22DUNK,0,,-,529,STEEL*,神奈川県,644,DINASO,神奈川県,658,CYBERX,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,17GO!?,神奈川県,626,IMOTO*,神奈川県,648,MASAKI,神奈川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,580,STEEL*,神奈川県,865,STYU--,神奈川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,880,STEEL*,神奈川県,1130,STEEL*,神奈川県,1233,CYBERX,神奈川県,0,,-
2nd style,I Was The One,0,,-,541,STEEL*,神奈川県,650,STEEL*,神奈川県,696,877*S,神奈川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,777,STEEL*,神奈川県,958,GOEMON,神奈川県,1070,I6VV,神奈川県,0,,-
