バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,788,IIDX18,新潟県,1053,B.LORE,新潟県,1156,IIDX17,新潟県,0,,-
1st&substream,RUGGED ASH,0,,-,368,Y.Y-LH,新潟県,400,IIDX18,新潟県,1085,SENIOR,新潟県,2012,MAKO-G,新潟県
1st&substream,R3,0,,-,645,ZWEI,新潟県,733,IIDX18,新潟県,904,REO,新潟県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,553,ZWEI,新潟県,741,IIDX18,新潟県,1118,MAKO-G,新潟県,0,,-
1st&substream,Macho Gang,0,,-,379,AGYPO3,新潟県,1042,IIDX18,新潟県,1638,SENIOR,新潟県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,Y.Y-LH,新潟県,244,BLONK,新潟県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,867,IIDX18,新潟県,999,1,新潟県,1201,IIDX17,新潟県,0,,-
1st&substream,gentle stress,0,,-,343,9MAMON,新潟県,675,9MAMON,新潟県,1446,W,新潟県,0,,-
1st&substream,GENOM SCREAMS,0,,-,419,IIDX18,新潟県,810,MORTIS,新潟県,1065,AXIOM.,新潟県,0,,-
1st&substream,GAMBOL,0,,-,274,BLONK,新潟県,274,BLONK,新潟県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,404,IIDX18,新潟県,519,IIDX18,新潟県,578,REO,新潟県,0,,-
1st&substream,deep in you,0,,-,489,R,新潟県,500,IIDX18,新潟県,658,BLONK,新潟県,0,,-
1st&substream,5.1.1.,0,,-,198,BLONK,新潟県,1020,IIDX18,新潟県,1571,AXIOM.,新潟県,0,,-
1st&substream,22DUNK,0,,-,518,ZWEI,新潟県,633,IIDX18,新潟県,656,REO,新潟県,0,,-
