バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,769,EIKRA7,富山県,1030,180SX,富山県,1160,RIOO,富山県,0,,-
1st&substream,RUGGED ASH,0,,-,370,EIKRA7,富山県,402,EIKRA7,富山県,1101,SHAARK,富山県,2050,RIOO*,富山県
1st&substream,R3,0,,-,643,LETTY*,富山県,729,180SX,富山県,907,RIOO,富山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,EIKRA7,富山県,742,180SX,富山県,1124,RIOO,富山県,0,,-
1st&substream,Macho Gang,0,,-,376,IOIO,富山県,1019,VIVY,富山県,1665,RIOO,富山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,EIKRA7,富山県,244,EIKRA7,富山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,852,Y.HIKI,富山県,989,180SX,富山県,1217,RIOO,富山県,0,,-
1st&substream,gentle stress,0,,-,344,EIKRA7,富山県,678,CRZ-K.,富山県,1453,SHAARK,富山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,PALACE,富山県,813,SAK!-S,富山県,1071,RIOO,富山県,0,,-
1st&substream,GAMBOL,0,,-,274,EIKRA7,富山県,274,EIKRA7,富山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,EIKRA7,富山県,519,EIKRA7,富山県,577,EIKRA7,富山県,0,,-
1st&substream,deep in you,0,,-,496,EIKRA7,富山県,480,ABESHI,富山県,662,C-TAKE,富山県,0,,-
1st&substream,5.1.1.,0,,-,198,EIKRA7,富山県,988,VIVY,富山県,1570,RIOO,富山県,0,,-
1st&substream,22DUNK,0,,-,517,ZENI,富山県,637,SHAARK,富山県,658,SHAARK,富山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,EIKRA7,富山県,626,K.,富山県,648,TRISH,富山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,565,EIKRA7,富山県,866,SHAARK,富山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,831,IIHITO,富山県,1057,YUNO*,富山県,1234,RIOO,富山県,0,,-
2nd style,I Was The One,0,,-,537,EIKRA7,富山県,636,WWE,富山県,696,SHAARK,富山県,0,,-
