バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,775,YUKARI,石川県,1051,NEZUKO,石川県,1150,AURUM,石川県,0,,-
1st&substream,RUGGED ASH,0,,-,364,DUKE,石川県,393,8S.E2.,石川県,1084,DERA*,石川県,2025,DERA*,石川県
1st&substream,R3,0,,-,649,AURUM,石川県,704,TS8,石川県,903,MI-PAN,石川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,554,DUKE,石川県,742,DUKE,石川県,1102,ZXCV,石川県,0,,-
1st&substream,Macho Gang,0,,-,377,PLCAN,石川県,1004,TS8,石川県,1635,DERA*,石川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,DUKE,石川県,244,RIS.KS,石川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,849,DUKE,石川県,945,TS8,石川県,1196,U*CHA3,石川県,0,,-
1st&substream,gentle stress,0,,-,342,S.CROW,石川県,667,AIO2KA,石川県,1446,ZXCV,石川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,DUKE,石川県,821,0-NICA,石川県,1069,DERA*,石川県,0,,-
1st&substream,GAMBOL,0,,-,269,DUKE,石川県,274,NEZUKO,石川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,DUKE,石川県,515,RIS.KS,石川県,577,AZUSA,石川県,0,,-
1st&substream,deep in you,0,,-,489,DUKE,石川県,493,DUKE,石川県,662,AZUSA,石川県,0,,-
1st&substream,5.1.1.,0,,-,198,RIS.KS,石川県,990,S.CROW,石川県,1567,VAG.L,石川県,0,,-
1st&substream,22DUNK,0,,-,503,DUKE,石川県,644,AZUSA,石川県,658,DERA*,石川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,DUKE,石川県,612,BO**SS,石川県,648,AND.DG,石川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,T&#97Q,石川県,860,TEYAAN,石川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,852,DUKE,石川県,1093,4S.E1.,石川県,1229,DERA*,石川県,0,,-
