バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,RIKI-P,福井県,1054,HAG-A,福井県,1137,ELINA,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,369,GI-TA3,福井県,400,GI-TA3,福井県,1082,SLAY.,福井県,2022,E-C-B,福井県
1st&substream,R3,0,,-,607,RIA,福井県,721,24NO*F,福井県,891,SXXX,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,532,RIA,福井県,717,SILK.S,福井県,1100,E-C-B,福井県,0,,-
1st&substream,Macho Gang,0,,-,376,9,福井県,1017,RUBY,福井県,1584,SAEKI.,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,9,福井県,244,USDJPY,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,838,OKERA,福井県,957,RUBY,福井県,1181,IWAZO,福井県,0,,-
1st&substream,gentle stress,0,,-,342,H.MAKO,福井県,673,H.MAKO,福井県,1437,225,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,410,9,福井県,762,KI4DA,福井県,1057,86TA6-,福井県,0,,-
1st&substream,GAMBOL,0,,-,272,GI-TA3,福井県,273,HAYDRM,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,404,9,福井県,503,620,福井県,571,HAYDRM,福井県,0,,-
1st&substream,deep in you,0,,-,490,620,福井県,484,SUZ,福井県,651,HAYDRM,福井県,0,,-
1st&substream,5.1.1.,0,,-,198,RIKI-P,福井県,1005,24NO*F,福井県,1564,SAEKI.,福井県,0,,-
1st&substream,22DUNK,0,,-,508,CW.,福井県,641,ELINA,福井県,653,SPCHAN,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,GI-TA3,福井県,617,HAYDRM,福井県,646,SAEKI.,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,561,RUSE,福井県,847,SLAY.,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,813,84L!SK,福井県,1108,SAEKI.,福井県,1206,SPCHAN,福井県,0,,-
2nd style,I Was The One,0,,-,518,24NO*F,福井県,615,CW.,福井県,688,HAG-A,福井県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,739,TUINTR,福井県,940,SAEKI.,福井県,1052,M4S1R0,福井県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,709,RUBY,福井県,1045,SAEKI.,福井県,1122,E-C-B,福井県,0,,-
2nd style,.59,0,,-,685,RIKI-P,福井県,995,GI-TA3,福井県,1141,M4S1R0,福井県,0,,-
3rd style,THE SAFARI,359,MAD2KI,福井県,1111,CW.,福井県,1729,SLAY.,福井県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,9,福井県,394,RIKI-P,福井県,0,,-,0,,-
3rd style,Skyscraper,0,,-,705,2HOU,福井県,1170,NO*NO,福井県,1242,SAEKI.,福井県,0,,-
3rd style,Schlagwerk,0,,-,789,S.RIKO,福井県,1243,R.WELL,福井県,1681,R-ALI,福井県,0,,-
3rd style,REINCARNATION,0,,-,816,SOMA.,福井県,1005,RUBY,福井県,1269,SPCHAN,福井県,0,,-
3rd style,R5,0,,-,755,2HOU,福井県,1144,24NO*F,福井県,1754,ELINA,福井県,0,,-
3rd style,Presto,0,,-,492,RIA,福井県,966,HAG-A,福井県,995,IWAZO,福井県,0,,-
3rd style,LEADING CYBER,0,,-,732,RIA,福井県,1161,KOBA84,福井県,1246,SLAY.,福井県,0,,-
3rd style,Holic,0,,-,732,TUINTR,福井県,1199,SXXX,福井県,1691,R-ALI,福井県,0,,-
3rd style,era (nostalmix),0,,-,834,RIA,福井県,1071,SAEKI.,福井県,1502,ELINA,福井県,0,,-
