バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,792,NO4CUP,山梨県,1041,NO4CUP,山梨県,1151,KINJO?,山梨県,0,,-
1st&substream,RUGGED ASH,0,,-,366,NO4CUP,山梨県,400,NO4CUP,山梨県,1083,4N541.,山梨県,2018,4N541.,山梨県
1st&substream,R3,0,,-,647,NO4CUP,山梨県,727,NO4CUP,山梨県,901,4N541.,山梨県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,NO4CUP,山梨県,744,NO4CUP,山梨県,1112,NO4XTK,山梨県,0,,-
1st&substream,Macho Gang,0,,-,377,NO4CUP,山梨県,1075,4LEAF*,山梨県,1632,KINJO?,山梨県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,NO4CUP,山梨県,244,NO4CUP,山梨県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,859,NO4CUP,山梨県,984,NO4CUP,山梨県,1215,4N541.,山梨県,0,,-
1st&substream,gentle stress,0,,-,341,ROBIN,山梨県,681,NO4CUP,山梨県,1443,NO4CUP,山梨県,0,,-
1st&substream,GENOM SCREAMS,0,,-,416,$6TM9$,山梨県,824,NO4CUP,山梨県,1066,NO4XTK,山梨県,0,,-
1st&substream,GAMBOL,0,,-,271,NO4CUP,山梨県,274,NO4CUP,山梨県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,401,NO4CUP,山梨県,517,UC-N5*,山梨県,580,NO4XTK,山梨県,0,,-
1st&substream,deep in you,0,,-,490,NO4CUP,山梨県,505,4LEAF*,山梨県,666,NO4XTK,山梨県,0,,-
1st&substream,5.1.1.,0,,-,196,NO4CUP,山梨県,1014,NO4CUP,山梨県,1571,NO4XTK,山梨県,0,,-
1st&substream,22DUNK,0,,-,522,NO4CUP,山梨県,639,NO4CUP,山梨県,658,NO4XTK,山梨県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,NO4CUP,山梨県,624,NO4CUP,山梨県,648,NO4XTK,山梨県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,578,NO4CUP,山梨県,862,NO4CUP,山梨県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,872,NO4CUP,山梨県,1110,NO4CUP,山梨県,1217,M-A,山梨県,0,,-
2nd style,I Was The One,0,,-,529,NO4CUP,山梨県,645,4LEAF*,山梨県,693,NO4XTK,山梨県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,768,NO4CUP,山梨県,949,NO4CUP,山梨県,1052,KINJO?,山梨県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,736,NO4CUP,山梨県,1065,4LEAF*,山梨県,1128,M-A,山梨県,0,,-
2nd style,.59,0,,-,708,NO4CUP,山梨県,999,T3N.*,山梨県,1145,KINJO?,山梨県,0,,-
3rd style,THE SAFARI,366,NO4CUP,山梨県,1222,UC-N5*,山梨県,1753,KINJO?,山梨県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,273,NO4CUP,山梨県,396,NO4XTK,山梨県,0,,-,0,,-
3rd style,Skyscraper,0,,-,734,$6TM9$,山梨県,1200,NO4CUP,山梨県,1254,NO4XTK,山梨県,0,,-
3rd style,Schlagwerk,0,,-,821,NO4CUP,山梨県,1307,NO4CUP,山梨県,1682,KINJO?,山梨県,0,,-
3rd style,REINCARNATION,0,,-,834,NO4CUP,山梨県,1032,NO4CUP,山梨県,1279,NO4XTK,山梨県,0,,-
3rd style,R5,0,,-,766,NO4CUP,山梨県,1165,NO4CUP,山梨県,1772,4N541.,山梨県,0,,-
3rd style,Presto,0,,-,536,NO4CUP,山梨県,976,T3N.*,山梨県,1011,NO4XTK,山梨県,0,,-
3rd style,LEADING CYBER,0,,-,844,NO4CUP,山梨県,1188,UC-N5*,山梨県,1252,KINJO?,山梨県,0,,-
3rd style,Holic,0,,-,773,NO4CUP,山梨県,1214,NO4CUP,山梨県,1716,NO4XTK,山梨県,0,,-
3rd style,era (nostalmix),0,,-,848,NO4CUP,山梨県,1081,NO4CUP,山梨県,1482,NO4CUP,山梨県,0,,-
3rd style,Don't Stop!,0,,-,767,NO4CUP,山梨県,849,K-,山梨県,904,4N541.,山梨県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,602,NO4CUP,山梨県,1260,NO4XTK,山梨県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,946,NO4CUP,山梨県,1240,NO4CUP,山梨県,1328,M-A,山梨県,0,,-
4th style,SWEET LAB,0,,-,544,NO4CUP,山梨県,970,4LEAF*,山梨県,1365,NO4XTK,山梨県,0,,-
4th style,starmine,446,NO4CUP,山梨県,902,NO4CUP,山梨県,1423,NO4CUP,山梨県,1570,K.FUJI,山梨県,0,,-
4th style,Mr.T.(take me higher),0,,-,843,NO4CUP,山梨県,1010,NO4CUP,山梨県,1759,NO4XTK,山梨県,0,,-
4th style,minimalian,0,,-,530,NO4CUP,山梨県,1075,NO4CUP,山梨県,1390,KINJO?,山梨県,0,,-
4th style,LOVE WILL・・・,0,,-,547,NO4CUP,山梨県,753,NO4CUP,山梨県,1455,KINJO?,山梨県,0,,-
4th style,KAMIKAZE,0,,-,1014,NO4CUP,山梨県,1467,4LEAF*,山梨県,2305,NO4XTK,山梨県,0,,-
4th style,Jam&Marmalade,0,,-,757,NO4CUP,山梨県,899,4LEAF*,山梨県,1011,KINJO?,山梨県,0,,-
4th style,Hitch Hiker2,0,,-,822,NO4CUP,山梨県,1192,NO4CUP,山梨県,1292,IIDX30,山梨県,1910,KINJO?,山梨県
4th style,HIGHER,0,,-,533,NO4CUP,山梨県,929,UC-N5*,山梨県,1281,NO4XTK,山梨県,0,,-
4th style,FLOWERS for ALBION,0,,-,237,NO4CUP,山梨県,439,EN-ZAN,山梨県,0,,-,0,,-
4th style,era (step mix),0,,-,1098,NO4CUP,山梨県,1422,NO4CUP,山梨県,1668,NE63..,山梨県,0,,-
4th style,empathy,0,,-,829,NO4CUP,山梨県,1372,NO4CUP,山梨県,1453,NO4CUP,山梨県,0,,-
4th style,DXY!,0,,-,1252,NO4CUP,山梨県,1865,NO4CUP,山梨県,2223,KINJO?,山梨県,0,,-
4th style,Clione,0,,-,522,NO4CUP,山梨県,933,NO4CUP,山梨県,1612,NO4XTK,山梨県,2175,NO4XTK,山梨県
4th style,CHECKING YOU OUT,0,,-,651,NO4CUP,山梨県,926,NO4CUP,山梨県,1353,NO4XTK,山梨県,0,,-
4th style,Burnin' The Floor,0,,-,573,NO4CUP,山梨県,951,NO4CUP,山梨県,1442,NO4XTK,山梨県,0,,-
4th style,Broken My Heart,0,,-,933,NO4CUP,山梨県,1466,NO4CUP,山梨県,1803,KINJO?,山梨県,0,,-
4th style,B4U,0,,-,1054,NO4CUP,山梨県,1550,NO4CUP,山梨県,1998,KINJO?,山梨県,0,,-
4th style,ABSOLUTE,0,,-,1335,UC-N5*,山梨県,1805,NO4CUP,山梨県,2351,K.FUJI,山梨県,2764,NO4XTK,山梨県
4th style,250bpm,0,,-,686,NO4CUP,山梨県,1026,NO4CUP,山梨県,1370,NOOB,山梨県,0,,-
5th style,V,344,NO4CUP,山梨県,1277,NO4CUP,山梨県,2430,SUGAMO,山梨県,3026,4N541.,山梨県,0,,-
5th style,THE SHINING POLARIS,0,,-,950,NO4CUP,山梨県,1316,4LEAF*,山梨県,1570,KINJO?,山梨県,0,,-
5th style,THE CUBE,0,,-,742,NO4CUP,山梨県,1267,4LEAF*,山梨県,1344,T3N.*,山梨県,0,,-
5th style,sync,0,,-,1075,NO4CUP,山梨県,1916,UC-N5*,山梨県,2399,NO4XTK,山梨県,0,,-
5th style,still my words,0,,-,920,NO4CUP,山梨県,1229,UC-N5*,山梨県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1005,NO4CUP,山梨県,1353,4LEAF*,山梨県,1902,KINJO?,山梨県,0,,-
