バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,759,J.H,長野県,1028,INSIDE,長野県,1144,BGI982,長野県,0,,-
1st&substream,RUGGED ASH,0,,-,367,HIROTA,長野県,402,MAD2KI,長野県,1078,BGI982,長野県,2028,8SYAKU,長野県
1st&substream,R3,0,,-,647,HIROTA,長野県,714,YZXXZ,長野県,889,2KADA.,長野県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,556,HIROTA,長野県,739,HIROTA,長野県,1109,.$HK-E,長野県,0,,-
1st&substream,Macho Gang,0,,-,382,HIROTA,長野県,999,INSIDE,長野県,1648,8SYAKU,長野県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,HIR0TA,長野県,244,2KADA.,長野県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,806,KAZ64,長野県,975,YZXXZ,長野県,1164,IIDX32,長野県,0,,-
1st&substream,gentle stress,0,,-,344,HIROTA,長野県,669,MMMMGO,長野県,1433,.$TORM,長野県,0,,-
1st&substream,GENOM SCREAMS,0,,-,394,J.H,長野県,777,ZONE.,長野県,1065,.$HK-E,長野県,0,,-
1st&substream,GAMBOL,0,,-,274,HIR0TA,長野県,274,TARZAN,長野県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,403,HIROTA,長野県,509,YZXXZ,長野県,570,BGI982,長野県,0,,-
1st&substream,deep in you,0,,-,480,HIROTA,長野県,478,KMP,長野県,658,.$HK-E,長野県,0,,-
1st&substream,5.1.1.,0,,-,198,CHORO1,長野県,1001,2KADA.,長野県,1565,YU11,長野県,0,,-
1st&substream,22DUNK,0,,-,497,40KNOT,長野県,616,YZXXZ,長野県,653,.$TORM,長野県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,498,YZXXZ,長野県,615,40KNOT,長野県,642,AZURE*,長野県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,549,MORGAN,長野県,865,BGI982,長野県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,840,NICO-2,長野県,1077,YZXXZ,長野県,1212,.$TORM,長野県,0,,-
2nd style,I Was The One,0,,-,523,MAD2KI,長野県,637,WOWAWA,長野県,692,MMMMGO,長野県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,736,YZXXZ,長野県,916,YZXXZ,長野県,1069,BGI982,長野県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,697,KMP,長野県,1017,YZXXZ,長野県,1127,YU11,長野県,0,,-
2nd style,.59,0,,-,696,J.H,長野県,1005,YZXXZ,長野県,1136,STRIPC,長野県,0,,-
3rd style,THE SAFARI,366,HIR0TA,長野県,1153,CHORO1,長野県,1757,ORI1.M,長野県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,HIROTA,長野県,396,MAD2KI,長野県,0,,-,0,,-
3rd style,Skyscraper,0,,-,673,RATSEL,長野県,1164,YZXXZ,長野県,1244,8SYAKU,長野県,0,,-
3rd style,Schlagwerk,0,,-,791,25MAKI,長野県,1257,YZXXZ,長野県,1684,YU11,長野県,0,,-
3rd style,REINCARNATION,0,,-,814,25MAKI,長野県,1011,YZXXZ,長野県,1275,.$TORM,長野県,0,,-
3rd style,R5,0,,-,753,PASTEL,長野県,1151,M321M,長野県,1769,.$TORM,長野県,0,,-
3rd style,Presto,0,,-,522,HIR0TA,長野県,961,YZXXZ,長野県,995,BGI982,長野県,0,,-
3rd style,LEADING CYBER,0,,-,802,MAD2KI,長野県,1162,YZXXZ,長野県,1252,BGI982,長野県,0,,-
3rd style,Holic,0,,-,769,MAD2KI,長野県,1192,YZXXZ,長野県,1727,8SYAKU,長野県,0,,-
3rd style,era (nostalmix),0,,-,829,CHORO1,長野県,1087,.$TORM,長野県,1518,YU11,長野県,0,,-
3rd style,Don't Stop!,0,,-,770,MAD2KI,長野県,847,HIROTA,長野県,898,MAD2KI,長野県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,596,YOMOGI,長野県,1249,.$HK-E,長野県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,909,INSIDE,長野県,1225,.$TORM,長野県,1325,BGI982,長野県,0,,-
4th style,SWEET LAB,0,,-,506,TYPE-G,長野県,944,YZXXZ,長野県,1357,.$TORM,長野県,0,,-
4th style,starmine,440,CHORO1,長野県,860,25MAKI,長野県,1420,.$TORM,長野県,1578,8SYAKU,長野県,0,,-
4th style,Mr.T.(take me higher),0,,-,824,25MAKI,長野県,968,25MAKI,長野県,1747,.$TORM,長野県,0,,-
4th style,minimalian,0,,-,465,ZED,長野県,1068,3NATSU,長野県,1406,8SYAKU,長野県,0,,-
4th style,LOVE WILL・・・,0,,-,554,HIROTA,長野県,737,HIR0TA,長野県,1457,STRIPC,長野県,0,,-
4th style,KAMIKAZE,0,,-,926,ELZAM,長野県,1410,R.KUZE,長野県,2288,.$TORM,長野県,0,,-
4th style,Jam&Marmalade,0,,-,721,TROMBE,長野県,854,DIEPAN,長野県,1009,GENJI,長野県,0,,-
4th style,Hitch Hiker2,0,,-,781,IIDX32,長野県,1157,OSTMMK,長野県,1306,BGI982,長野県,1932,.$TORM,長野県
4th style,HIGHER,0,,-,538,MAD2KI,長野県,904,MAD2KI,長野県,1276,MMMMGO,長野県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,HIROTA,長野県,443,BGI982,長野県,0,,-,0,,-
4th style,era (step mix),0,,-,1073,15100P,長野県,1393,BOOST!,長野県,1681,ORI1.M,長野県,0,,-
4th style,empathy,0,,-,801,YZXXZ,長野県,1328,2KADA.,長野県,1460,.$TORM,長野県,0,,-
4th style,DXY!,0,,-,1182,YOSSHI,長野県,1796,YZXXZ,長野県,2239,8SYAKU,長野県,0,,-
4th style,Clione,0,,-,525,HIR0TA,長野県,933,OSTMMK,長野県,1593,2KADA.,長野県,2151,ORI1.M,長野県
4th style,CHECKING YOU OUT,0,,-,617,CHORO1,長野県,890,BGI982,長野県,1331,STRIPC,長野県,0,,-
4th style,Burnin' The Floor,0,,-,565,SHINTA,長野県,915,S33K,長野県,1435,VIBES,長野県,0,,-
