バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,728,6262-R,岐阜県,1035,ITSUKI,岐阜県,1149,UNA-10,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,360,REDS0M,岐阜県,402,YUUNA*,岐阜県,1088,UNA-10,岐阜県,1988,DEVI-3,岐阜県
1st&substream,R3,0,,-,630,SARASA,岐阜県,736,ITSUKI,岐阜県,905,UNA-10,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,6262-R,岐阜県,749,ITSUKI,岐阜県,1098,NOY,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,375,KH*358,岐阜県,1070,ITSUKI,岐阜県,1640,A.SGSW,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,77MARU,岐阜県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,836,MAME,岐阜県,998,ITSUKI,岐阜県,1185,NOY,岐阜県,0,,-
1st&substream,gentle stress,0,,-,344,YUUNA*,岐阜県,679,YUUNA*,岐阜県,1440,OMESIS,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,397,DOG,岐阜県,824,ITSUKI,岐阜県,1066,A.SGSW,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,274,YUUNA*,岐阜県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,D*F,岐阜県,518,ITSUKI,岐阜県,579,YUUNA*,岐阜県,0,,-
1st&substream,deep in you,0,,-,478,NELSON,岐阜県,507,ITSUKI,岐阜県,662,YUUNA*,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,198,77MARU,岐阜県,1009,ITSUKI,岐阜県,1566,DEVI-3,岐阜県,0,,-
1st&substream,22DUNK,0,,-,522,YUUNA*,岐阜県,642,ITSUKI,岐阜県,656,YUUNA*,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,497,YUE.*,岐阜県,626,ITSUKI,岐阜県,647,YUUNA*,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,539,564,岐阜県,859,YUUNA*,岐阜県,0,,-,0,,-
