バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,REGLEV,静岡県,1052,CLARET,静岡県,1158,K-CHA*,静岡県,0,,-
1st&substream,RUGGED ASH,0,,-,367,HOSOUS,静岡県,398,*ALEX*,静岡県,1090,K-CHA*,静岡県,2037,U2*,静岡県
1st&substream,R3,0,,-,654,JUN*RS,静岡県,733,*ALEX*,静岡県,904,*ALEX*,静岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,548,PRE!,静岡県,749,*ALEX*,静岡県,1121,K-CHA*,静岡県,0,,-
1st&substream,Macho Gang,0,,-,373,HOSOUS,静岡県,1062,*ALEX*,静岡県,1636,JOHN.S,静岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*ALEX*,静岡県,244,CLARET,静岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,863,MOOON*,静岡県,993,*ALEX*,静岡県,1211,*ALEX*,静岡県,0,,-
1st&substream,gentle stress,0,,-,343,HOSOUS,静岡県,681,*ALEX*,静岡県,1447,JOHN.S,静岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,411,PRE!,静岡県,827,*ALEX*,静岡県,1068,JOHN.S,静岡県,0,,-
1st&substream,GAMBOL,0,,-,274,TO4-KI,静岡県,274,JOHN.S,静岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,405,HOSOUS,静岡県,517,SHUN..,静岡県,580,*ALEX*,静岡県,0,,-
1st&substream,deep in you,0,,-,496,VELGER,静岡県,503,SHUN..,静岡県,665,*ALEX*,静岡県,0,,-
1st&substream,5.1.1.,0,,-,198,TO4-KI,静岡県,1016,*ALEX*,静岡県,1564,*ALEX*,静岡県,0,,-
1st&substream,22DUNK,0,,-,504,MOOON*,静岡県,642,K-CHA*,静岡県,656,*ALEX*,静岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,507,LEON,静岡県,620,SHUN..,静岡県,648,*ALEX*,静岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,576,*ALEX*,静岡県,864,K-CHA*,静岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,871,JOHN.S,静岡県,1109,SHUN..,静岡県,1228,K-CHA*,静岡県,0,,-
2nd style,I Was The One,0,,-,525,REGLEV,静岡県,644,SHUN..,静岡県,695,ORIGIN,静岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,756,REGLEV,静岡県,947,SHUN..,静岡県,1070,JUN,静岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,718,PRE!,静岡県,1051,SHUN..,静岡県,1129,JUN,静岡県,0,,-
2nd style,.59,0,,-,700,PRE!,静岡県,1015,*ALEX*,静岡県,1162,*ALEX*,静岡県,0,,-
3rd style,THE SAFARI,364,JUN,静岡県,1227,*ALEX*,静岡県,1768,K-CHA*,静岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,281,HOSOUS,静岡県,396,KARAKI,静岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,726,REGLEV,静岡県,1201,SHUN..,静岡県,1251,*ALEX*,静岡県,0,,-
3rd style,Schlagwerk,0,,-,794,PAQY,静岡県,1320,*ALEX*,静岡県,1686,*ALEX*,静岡県,0,,-
3rd style,REINCARNATION,0,,-,838,REGLEV,静岡県,1044,*ALEX*,静岡県,1278,*ALEX*,静岡県,0,,-
3rd style,R5,0,,-,765,REGLEV,静岡県,1162,*ALEX*,静岡県,1772,K-CHA*,静岡県,0,,-
3rd style,Presto,0,,-,521,PAQY,静岡県,995,*ALEX*,静岡県,1014,K-CHA*,静岡県,0,,-
3rd style,LEADING CYBER,0,,-,836,NANAMI,静岡県,1204,CLARET,静岡県,1277,K-CHA*,静岡県,0,,-
3rd style,Holic,0,,-,769,VELGER,静岡県,1218,*ALEX*,静岡県,1720,K-CHA*,静岡県,0,,-
3rd style,era (nostalmix),0,,-,853,JUN,静岡県,1091,MUNEKI,静岡県,1508,ORIGIN,静岡県,0,,-
3rd style,Don't Stop!,0,,-,769,PRE!,静岡県,833,MOOON*,静岡県,905,CLARET,静岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,606,REGLEV,静岡県,1251,*ALEX*,静岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,913,REGLEV,静岡県,1236,MUNEKI,静岡県,1325,A24,静岡県,0,,-
4th style,SWEET LAB,0,,-,539,HENATI,静岡県,976,*ALEX*,静岡県,1373,K-CHA*,静岡県,0,,-
4th style,starmine,446,HOSOUS,静岡県,883,-EMA-,静岡県,1431,*ALEX*,静岡県,1590,*ALEX*,静岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,827,PRE!,静岡県,978,PAQY,静岡県,1761,K-CHA*,静岡県,0,,-
4th style,minimalian,0,,-,534,-EMA-,静岡県,1088,SHUN..,静岡県,1404,CLARET,静岡県,0,,-
4th style,LOVE WILL・・・,0,,-,534,PAQY,静岡県,756,*ALEX*,静岡県,1462,CLARET,静岡県,0,,-
4th style,KAMIKAZE,0,,-,993,PAQY,静岡県,1469,0PENAI,静岡県,2296,K-CHA*,静岡県,0,,-
4th style,Jam&Marmalade,0,,-,747,YU--,静岡県,908,*ALEX*,静岡県,1016,SURUGA,静岡県,0,,-
4th style,Hitch Hiker2,0,,-,817,VELGER,静岡県,1189,SHUN..,静岡県,1321,ORIGIN,静岡県,1925,K-CHA*,静岡県
4th style,HIGHER,0,,-,533,JOHN.S,静岡県,902,MARU,静岡県,1279,K-CHA*,静岡県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,HOSOUS,静岡県,442,ORIGIN,静岡県,0,,-,0,,-
4th style,era (step mix),0,,-,1094,AKI,静岡県,1402,Y*P,静岡県,1699,JOHN.S,静岡県,0,,-
4th style,empathy,0,,-,808,YORU*,静岡県,1308,IIDX27,静岡県,1456,JOHN.S,静岡県,0,,-
4th style,DXY!,0,,-,1251,MOOON*,静岡県,1876,CLARET,静岡県,2259,K-CHA*,静岡県,0,,-
4th style,Clione,0,,-,522,KARAKI,静岡県,922,YORU*,静岡県,1615,*ALEX*,静岡県,2143,RAN9*,静岡県
4th style,CHECKING YOU OUT,0,,-,634,F15H,静岡県,922,K-CHA*,静岡県,1349,K-CHA*,静岡県,0,,-
4th style,Burnin' The Floor,0,,-,557,PAQY,静岡県,954,*ALEX*,静岡県,1437,*ALEX*,静岡県,0,,-
4th style,Broken My Heart,0,,-,922,REGLEV,静岡県,1494,*ALEX*,静岡県,1813,*ALEX*,静岡県,0,,-
4th style,B4U,0,,-,1035,REGLEV,静岡県,1577,*ALEX*,静岡県,2008,K-CHA*,静岡県,0,,-
4th style,ABSOLUTE,0,,-,1316,M34,静岡県,1834,*ALEX*,静岡県,2403,K-CHA*,静岡県,2754,RAN9*,静岡県
4th style,250bpm,0,,-,677,YORU*,静岡県,1013,SHUN..,静岡県,1423,K-CHA*,静岡県,0,,-
5th style,V,345,HOSOUS,静岡県,1245,MOOON*,静岡県,2516,JOHN.S,静岡県,3006,TOKU3,静岡県,0,,-
5th style,THE SHINING POLARIS,0,,-,947,REGLEV,静岡県,1324,*ALEX*,静岡県,1589,K-CHA*,静岡県,0,,-
5th style,THE CUBE,0,,-,721,PRE!,静岡県,1266,*ALEX*,静岡県,1354,ORIGIN,静岡県,0,,-
5th style,sync,0,,-,1073,PRE!,静岡県,1949,*ALEX*,静岡県,2389,CLARET,静岡県,0,,-
5th style,still my words,0,,-,912,REGLEV,静岡県,1237,K-CHA*,静岡県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1005,REGLEV,静岡県,1366,*ALEX*,静岡県,1929,K-CHA*,静岡県,0,,-
5th style,Spin the disc,0,,-,776,REGLEV,静岡県,1298,*ALEX*,静岡県,1342,K-CHA*,静岡県,0,,-
5th style,sometime,0,,-,766,ON.S,静岡県,1065,*ALEX*,静岡県,1327,K-CHA*,静岡県,0,,-
5th style,RISLIM,0,,-,898,NANAMI,静岡県,1237,K-CHA*,静岡県,0,,-,0,,-
