バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,794,YUDEX2,愛知県,1049,MONO,愛知県,1162,KOBAKA,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,370,YUDEX2,愛知県,402,YUDEX2,愛知県,1104,PEACE,愛知県,2077,PEACE,愛知県
1st&substream,R3,0,,-,658,YUDEX2,愛知県,736,KUREI,愛知県,908,KOBAKA,愛知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,559,YUDEX2,愛知県,752,MONO,愛知県,1122,PEACE,愛知県,0,,-
1st&substream,Macho Gang,0,,-,382,YUDEX2,愛知県,1080,MONO,愛知県,1664,PEACE,愛知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TMR089,愛知県,244,ANSA,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,869,TMR089,愛知県,1001,MONO,愛知県,1214,KUREI,愛知県,0,,-
1st&substream,gentle stress,0,,-,344,TMR089,愛知県,682,F,愛知県,1453,PEACE,愛知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*9N2*,愛知県,830,7-11,愛知県,1072,PEACE,愛知県,0,,-
1st&substream,GAMBOL,0,,-,274,TMR089,愛知県,274,RIS.BN,愛知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,TMR089,愛知県,522,MONO,愛知県,580,BBMEAT,愛知県,0,,-
1st&substream,deep in you,0,,-,499,YUDEX2,愛知県,510,MONO,愛知県,666,PEACE,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,YUDEX2,愛知県,1021,RIS.BN,愛知県,1572,KUREI,愛知県,0,,-
1st&substream,22DUNK,0,,-,526,YUDEX2,愛知県,646,MONO,愛知県,658,KOBAKA,愛知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,YUDEX2,愛知県,626,YUDEX2,愛知県,648,RIS.BN,愛知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,577,TAKPOP,愛知県,866,BBMEAT,愛知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,881,YUDEX2,愛知県,1123,MONO,愛知県,1231,PEACE,愛知県,0,,-
2nd style,I Was The One,0,,-,540,AMMKRN,愛知県,652,MONO,愛知県,695,PEACE,愛知県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,776,YUDEX2,愛知県,959,MONO,愛知県,1072,KUREI,愛知県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,742,YUDEX2,愛知県,1064,MONO,愛知県,1134,BBMART,愛知県,0,,-
2nd style,.59,0,,-,712,YUDEX2,愛知県,1023,MONO,愛知県,1167,PEACE,愛知県,0,,-
3rd style,THE SAFARI,366,TMR089,愛知県,1218,YUDEX2,愛知県,1792,PEACE,愛知県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,CID*,愛知県,396,RIS.BN,愛知県,0,,-,0,,-
3rd style,Skyscraper,0,,-,743,YUDEX2,愛知県,1213,MONO,愛知県,1253,DEVI-3,愛知県,0,,-
3rd style,Schlagwerk,0,,-,816,TMR089,愛知県,1316,MONO,愛知県,1694,KUREI,愛知県,0,,-
3rd style,REINCARNATION,0,,-,848,YUDEX2,愛知県,1043,MONO,愛知県,1285,PEACE,愛知県,0,,-
3rd style,R5,0,,-,773,KI.*,愛知県,1171,MONO,愛知県,1775,KUREI,愛知県,0,,-
3rd style,Presto,0,,-,533,ELIWOD,愛知県,994,MONO,愛知県,1016,KUREI,愛知県,0,,-
3rd style,LEADING CYBER,0,,-,865,YUDEX2,愛知県,1216,MONO,愛知県,1287,PEACE,愛知県,0,,-
3rd style,Holic,0,,-,782,YUDEX2,愛知県,1228,MONO,愛知県,1750,KUREI,愛知県,0,,-
3rd style,era (nostalmix),0,,-,862,AMMKRN,愛知県,1109,BBMART,愛知県,1566,BBMART,愛知県,0,,-
3rd style,Don't Stop!,0,,-,777,TMR089,愛知県,855,MONO,愛知県,906,WA2.RB,愛知県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,615,TMR089,愛知県,1262,KUREI,愛知県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,945,AMMKRN,愛知県,1251,PEACE,愛知県,1338,PEACE,愛知県,0,,-
4th style,SWEET LAB,0,,-,554,BELICO,愛知県,976,MONO,愛知県,1381,KUREI,愛知県,0,,-
4th style,starmine,448,TMR089,愛知県,898,YUDEX2,愛知県,1430,MONO,愛知県,1598,PEACE,愛知県,0,,-
4th style,Mr.T.(take me higher),0,,-,854,YUDEX2,愛知県,1018,MONO,愛知県,1778,PEACE,愛知県,0,,-
4th style,minimalian,0,,-,535,YUDEX2,愛知県,1101,MONO,愛知県,1412,PEACE,愛知県,0,,-
4th style,LOVE WILL・・・,0,,-,558,YUDEX2,愛知県,758,MONO,愛知県,1464,ANSA,愛知県,0,,-
4th style,KAMIKAZE,0,,-,1028,YUDEX2,愛知県,1478,MONO,愛知県,2308,BBMART,愛知県,0,,-
4th style,Jam&Marmalade,0,,-,773,YUDEX2,愛知県,909,MONO,愛知県,1024,PEACE,愛知県,0,,-
4th style,Hitch Hiker2,0,,-,824,TAKPOP,愛知県,1206,MONO,愛知県,1329,BBMART,愛知県,1949,P,愛知県
4th style,HIGHER,0,,-,539,YUDEX2,愛知県,936,MONO,愛知県,1282,KOBAKA,愛知県,0,,-
4th style,FLOWERS for ALBION,0,,-,243,PEACE,愛知県,444,MONO,愛知県,0,,-,0,,-
4th style,era (step mix),0,,-,1105,TMR089,愛知県,1422,PURIN,愛知県,1739,PEACE,愛知県,0,,-
4th style,empathy,0,,-,825,M0T7R1,愛知県,1359,MONO,愛知県,1483,BBMART,愛知県,0,,-
4th style,DXY!,0,,-,1290,BBMEAT,愛知県,1898,NYANTA,愛知県,2288,PEACE,愛知県,0,,-
4th style,Clione,0,,-,528,*9N2*,愛知県,957,BBMART,愛知県,1622,PEACE,愛知県,2189,PEACE,愛知県
