バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,752,FIRIS*,三重県,1048,U4GIMA,三重県,1150,HAKU0,三重県,0,,-
1st&substream,RUGGED ASH,0,,-,353,RUMIA,三重県,402,U4GIMA,三重県,1096,FRIP,三重県,2032,FRIP,三重県
1st&substream,R3,0,,-,643,QUERY,三重県,736,U4GIMA,三重県,901,YUKITO,三重県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,FIRIS*,三重県,752,U4GIMA,三重県,1120,FRIP,三重県,0,,-
1st&substream,Macho Gang,0,,-,379,CIRNO9,三重県,1049,LIZ.KM,三重県,1648,NONNKE,三重県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,U4GIMA,三重県,244,IIDX35,三重県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,809,YU-KI,三重県,971,FIRIS*,三重県,1186,HAKU0,三重県,0,,-
1st&substream,gentle stress,0,,-,342,HAGGER,三重県,684,U4GIMA,三重県,1451,HAKU0,三重県,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,FIRIS*,三重県,824,YUKITO,三重県,1070,FRIP,三重県,0,,-
1st&substream,GAMBOL,0,,-,274,CIRNO9,三重県,274,CIRNO9,三重県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,390,6262-R,三重県,514,T*CHA,三重県,578,FRIP,三重県,0,,-
1st&substream,deep in you,0,,-,466,YU-KI,三重県,500,0SUSH1,三重県,662,U4GIMA,三重県,0,,-
1st&substream,5.1.1.,0,,-,198,.AKARI,三重県,1022,U4GIMA,三重県,1569,T*CHA,三重県,0,,-
1st&substream,22DUNK,0,,-,500,FIRIS*,三重県,628,U4GIMA,三重県,655,RRN.A,三重県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,IIDX35,三重県,626,U4GIMA,三重県,648,T*CHA,三重県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,543,FIRIS*,三重県,858,HAGGER,三重県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,855,K.E.N!,三重県,1079,LIZ.KM,三重県,1224,FRIP,三重県,0,,-
2nd style,I Was The One,0,,-,503,YU-KI,三重県,626,.JAM3.,三重県,693,RMASHI,三重県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,708,T-TMY,三重県,922,LIZ.KM,三重県,1063,31337,三重県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,705,BTR,三重県,1069,U4GIMA,三重県,1133,FRIP,三重県,0,,-
2nd style,.59,0,,-,672,FIRIS*,三重県,1004,0SUSH1,三重県,1152,FRIP,三重県,0,,-
3rd style,THE SAFARI,354,QUERY,三重県,1171,LIZ.KM,三重県,1779,FRIP,三重県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,258,PEACH.,三重県,396,U4GIMA,三重県,0,,-,0,,-
3rd style,Skyscraper,0,,-,688,YU-KI,三重県,1192,LIZ.KM,三重県,1245,.32,三重県,0,,-
3rd style,Schlagwerk,0,,-,766,TREIZE,三重県,1293,0SUSH1,三重県,1684,FRIP,三重県,0,,-
3rd style,REINCARNATION,0,,-,685,ISENO,三重県,1025,0SUSH1,三重県,1283,FRIP,三重県,0,,-
3rd style,R5,0,,-,766,TURQUO,三重県,1173,U4GIMA,三重県,1772,FU---,三重県,0,,-
3rd style,Presto,0,,-,520,FIRIS*,三重県,962,QUERY,三重県,1009,FRIP,三重県,0,,-
3rd style,LEADING CYBER,0,,-,826,BTR,三重県,1172,LIZ.KM,三重県,1264,YUKITO,三重県,0,,-
3rd style,Holic,0,,-,751,#RIZE#,三重県,1197,LIZ.KM,三重県,1722,FRIP,三重県,0,,-
3rd style,era (nostalmix),0,,-,812,T-TMY,三重県,1094,T*CHA,三重県,1541,FRIP,三重県,0,,-
3rd style,Don't Stop!,0,,-,740,T-TMY,三重県,846,LIZ.KM,三重県,902,HAGGER,三重県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,588,YU-KI,三重県,1249,.32,三重県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,880,FIRIS*,三重県,1222,FRIP,三重県,1327,HAKU0,三重県,0,,-
4th style,SWEET LAB,0,,-,510,YU-KI,三重県,951,0SUSH1,三重県,1368,HAKU0,三重県,0,,-
4th style,starmine,438,SHANA,三重県,846,NOHNA,三重県,1420,YUKITO,三重県,1594,FRIP,三重県,0,,-
4th style,Mr.T.(take me higher),0,,-,782,T-TMY,三重県,941,RLRPNT,三重県,1769,FRIP,三重県,0,,-
4th style,minimalian,0,,-,490,YU-KI,三重県,1086,MA,三重県,1406,FRIP,三重県,0,,-
4th style,LOVE WILL・・・,0,,-,518,NOHNA,三重県,740,K.E.N!,三重県,1459,FRIP,三重県,0,,-
4th style,KAMIKAZE,0,,-,951,NOHNA,三重県,1440,0SUSH1,三重県,2303,FRIP,三重県,0,,-
4th style,Jam&Marmalade,0,,-,726,NOHNA,三重県,891,.AKARI,三重県,1017,FRIP,三重県,0,,-
4th style,Hitch Hiker2,0,,-,743,MOKO,三重県,1177,0SUSH1,三重県,1314,.32,三重県,1940,HAKU0,三重県
4th style,HIGHER,0,,-,512,YU-KI,三重県,926,LIZ.KM,三重県,1278,0SUSH1,三重県,0,,-
4th style,FLOWERS for ALBION,0,,-,240,FRIP,三重県,436,T*CHA,三重県,0,,-,0,,-
4th style,era (step mix),0,,-,1015,T-TMY,三重県,1421,FRIP,三重県,1720,FRIP,三重県,0,,-
4th style,empathy,0,,-,790,NOHNA,三重県,1314,MIEKEN,三重県,1473,FRIP,三重県,0,,-
4th style,DXY!,0,,-,1198,NOHNA,三重県,1785,OARAI,三重県,2260,FRIP,三重県,0,,-
4th style,Clione,0,,-,520,METAL,三重県,949,U4GIMA,三重県,1617,FRIP,三重県,2174,FRIP,三重県
4th style,CHECKING YOU OUT,0,,-,613,RIS.FD,三重県,884,FRIP,三重県,1343,HAKU0,三重県,0,,-
4th style,Burnin' The Floor,0,,-,529,APRIL,三重県,942,LIZ.KM,三重県,1440,FRIP,三重県,0,,-
4th style,Broken My Heart,0,,-,880,NOHNA,三重県,1485,U4GIMA,三重県,1819,FRIP,三重県,0,,-
4th style,B4U,0,,-,1026,CIRNO9,三重県,1557,0SUSH1,三重県,2019,FRIP,三重県,0,,-
4th style,ABSOLUTE,0,,-,1270,NOHNA,三重県,1781,HAGGER,三重県,2410,FRIP,三重県,2771,FRIP,三重県
4th style,250bpm,0,,-,662,NOHNA,三重県,1001,LIZ.KM,三重県,1429,HAKU0,三重県,0,,-
5th style,V,333,QUERY,三重県,1274,39RA35,三重県,2515,MAJIN!,三重県,3004,FRIP,三重県,0,,-
5th style,THE SHINING POLARIS,0,,-,854,NOHNA,三重県,1277,TURQUO,三重県,1589,FRIP,三重県,0,,-
5th style,THE CUBE,0,,-,702,NOHNA,三重県,1260,0SUSH1,三重県,1359,HAKU0,三重県,0,,-
5th style,sync,0,,-,1035,NOHNA,三重県,1902,K.E.N!,三重県,2392,FRIP,三重県,0,,-
5th style,still my words,0,,-,869,BTR,三重県,1231,FRIP,三重県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,954,NOHNA,三重県,1347,DANPA,三重県,1922,FRIP,三重県,0,,-
5th style,Spin the disc,0,,-,738,NOHNA,三重県,1296,FRIP,三重県,1339,HAKU0,三重県,0,,-
5th style,sometime,0,,-,774,HAGGER,三重県,1043,HAGGER,三重県,1328,FRIP,三重県,0,,-
5th style,RISLIM,0,,-,783,YU-KI,三重県,1216,T*CHA,三重県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,841,YU-KI,三重県,1084,U4GIMA,三重県,1717,FRIP,三重県,1847,FRIP,三重県
5th style,Regulus,0,,-,980,TREIZE,三重県,1446,LIZ.KM,三重県,1728,FRIP,三重県,0,,-
5th style,Real,0,,-,1067,NOHNA,三重県,1599,LIZ.KM,三重県,1826,FRIP,三重県,0,,-
5th style,Radical Faith,0,,-,1097,ATAMA,三重県,1513,HAKU0,三重県,1305,.32,三重県,0,,-
5th style,QQQ,0,,-,1175,T-TMY,三重県,1887,U4GIMA,三重県,2162,FRIP,三重県,0,,-
5th style,outer wall,0,,-,872,NOHNA,三重県,1340,0SUSH1,三重県,1766,FRIP,三重県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,727,T-TMY,三重県,994,U4GIMA,三重県,1115,HAGGER,三重県,0,,-
5th style,in my eyes,0,,-,908,NOHNA,三重県,1426,0SUSH1,三重県,1565,.MAPLE,三重県,0,,-
5th style,Abyss,0,,-,1224,NOHNA,三重県,1622,YUKITO,三重県,1885,FRIP,三重県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1083,K.E.N!,三重県,1568,47MO.R,三重県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,786,NOHNA,三重県,1244,-.-A,三重県,1376,HAKU0,三重県,0,,-
6th style,VJ ARMY,0,,-,1236,HAGGER,三重県,1640,0SUSH1,三重県,2256,FRIP,三重県,0,,-
6th style,Take It Easy,0,,-,1391,NOHNA,三重県,2376,U4GIMA,三重県,2521,FRIP,三重県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1236,NOHNA,三重県,1838,FRIP,三重県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,857,NOHNA,三重県,1333,0SUSH1,三重県,1994,FRIP,三重県,0,,-
6th style,route 80s,0,,-,837,NOHNA,三重県,1175,0SUSH1,三重県,1522,HAKU0,三重県,0,,-
6th style,rottel-da-sun,0,,-,752,YU-KI,三重県,1367,0SUSH1,三重県,1869,FRIP,三重県,0,,-
6th style,NEMESIS,0,,-,906,NOHNA,三重県,1546,K.E.N!,三重県,1886,FRIP,三重県,0,,-
6th style,Linus,0,,-,934,YU-KI,三重県,1544,HAGGER,三重県,2193,FRIP,三重県,0,,-
6th style,G2,0,,-,1483,HAKU0,三重県,1761,ATOZ,三重県,2336,FRIP,三重県,0,,-
6th style,Frozen Ray (original mix),0,,-,1229,NOHNA,三重県,1766,U4GIMA,三重県,1805,FRIP,三重県,0,,-
6th style,Free Style,0,,-,875,NOHNA,三重県,1069,0SUSH1,三重県,1314,FRIP,三重県,0,,-
6th style,fly through the night,0,,-,885,HAGGER,三重県,1301,0SUSH1,三重県,1716,FRIP,三重県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1254,FURU,三重県,1789,0SUSH1,三重県,2120,FRIP,三重県,0,,-
6th style,Colors (radio edit),0,,-,1315,NOHNA,三重県,1951,Z,三重県,2440,FRIP,三重県,0,,-
6th style,Buffalo,0,,-,927,T-TMY,三重県,1422,0SUSH1,三重県,1835,HAKU0,三重県,2500,FRIP,三重県
6th style,Blueberry Stream,0,,-,769,NOHNA,三重県,1449,HAVCHM,三重県,1664,FRIP,三重県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,594,U4GIMA,三重県,774,U4GIMA,三重県,1074,U4GIMA,三重県,0,,-
6th style,"19,November",0,,-,1053,MOKO,三重県,1432,0SUSH1,三重県,1803,FRIP,三重県,0,,-
7th style,革命,0,,-,699,NOHNA,三重県,1961,MAJIN!,三重県,2347,FRIP,三重県,0,,-
7th style,ZERO-ONE,0,,-,1031,NOHNA,三重県,1653,0SUSH1,三重県,2253,FRIP,三重県,2870,FRIP,三重県
7th style,traces,0,,-,1381,NOHNA,三重県,1922,MAJIN!,三重県,2154,FRIP,三重県,0,,-
7th style,Tomorrow Perfume,0,,-,1235,NOHNA,三重県,1878,HAGGER,三重県,2148,FRIP,三重県,0,,-
7th style,stoic,0,,-,1659,OARAI,三重県,2400,MAJIN!,三重県,2571,FRIP,三重県,0,,-
7th style,Spica,0,,-,633,WISTIA,三重県,1426,DANPA,三重県,2253,HAKU0,三重県,0,,-
7th style,Love Me Do,0,,-,1080,NOHNA,三重県,1700,.AKARI,三重県,2113,FRIP,三重県,0,,-
7th style,Let the Snow Paint Me,0,,-,804,T-TMY,三重県,1052,0SUSH1,三重県,1237,.MAPLE,三重県,0,,-
7th style,Last Message,0,,-,948,NOHNA,三重県,1334,47MO.R,三重県,1622,FRIP,三重県,0,,-
7th style,Happy Wedding,0,,-,1144,NOHNA,三重県,1637,CIRNO9,三重県,1858,FRIP,三重県,0,,-
7th style,Glorious Days,0,,-,481,YU-KI,三重県,810,U4GIMA,三重県,914,FRIP,三重県,0,,-
7th style,foreplay,0,,-,567,MOKO,三重県,1160,0SUSH1,三重県,1339,FRIP,三重県,0,,-
7th style,DESTINY,0,,-,1078,MIEKEN,三重県,1375,LIZ.KM,三重県,1846,FRIP,三重県,0,,-
7th style,D2R,0,,-,889,NOHNA,三重県,1290,0SUSH1,三重県,1634,FRIP,三重県,0,,-
7th style,Cheer Train,0,,-,888,NOHNA,三重県,1192,LIZ.KM,三重県,1747,FRIP,三重県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,529,JUN,三重県,947,0SUSH1,三重県,1479,FRIP,三重県,0,,-
7th style,Bad Routine,0,,-,990,T-TMY,三重県,1400,0SUSH1,三重県,1923,FRIP,三重県,0,,-
7th style,AVE DE RAPINA,0,,-,1294,NOHNA,三重県,1709,MIEKEN,三重県,1848,FRIP,三重県,0,,-
7th style,A,0,,-,1185,T-TMY,三重県,2174,HAKU0,三重県,2498,FRIP,三重県,0,,-
8th style,蒼い衝動,0,,-,881,NOHNA,三重県,1375,U4GIMA,三重県,1600,47MO.R,三重県,0,,-
8th style,桜,0,,-,929,T-TMY,三重県,1559,Z,三重県,2140,FRIP,三重県,0,,-
8th style,xenon,0,,-,1048,NOHNA,三重県,1678,HAGGER,三重県,2745,HAKU0,三重県,0,,-
8th style,World Wide Love,0,,-,706,U4GIMA,三重県,1052,U4GIMA,三重県,1118,U4GIMA,三重県,0,,-
8th style,WAR GAME,0,,-,894,ISENO,三重県,1565,0SUSH1,三重県,2147,HAKU0,三重県,0,,-
8th style,thunder,0,,-,1114,NOHNA,三重県,1511,PAJAMA,三重県,1895,FRIP,三重県,0,,-
8th style,symbolic,0,,-,1355,NOHNA,三重県,1853,MAJIN!,三重県,2245,FRIP,三重県,0,,-
8th style,STAR DREAM,0,,-,737,NOHNA,三重県,1223,MASSH.,三重県,1425,FRIP,三重県,0,,-
8th style,rainbow flyer,0,,-,790,T-TMY,三重県,1646,HAGGER,三重県,2141,47MO.R,三重県,0,,-
8th style,PLEASE DON'T GO,0,,-,922,6262-R,三重県,1378,0SUSH1,三重県,2448,HAKU0,三重県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,774,NOHNA,三重県,1367,0SUSH1,三重県,1683,FRIP,三重県,0,,-
8th style,murmur twins,0,,-,1089,TAKO*,三重県,1691,U4GIMA,三重県,2382,FRIP,三重県,0,,-
8th style,Monkey Dance,0,,-,763,T-TMY,三重県,1351,YUKITO,三重県,1991,FRIP,三重県,0,,-
8th style,memories,0,,-,990,ADEL,三重県,2067,U4GIMA,三重県,2282,FRIP,三重県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,820,NOHNA,三重県,1031,HAVCHM,三重県,1658,FRIP,三重県,0,,-
8th style,LOVE IS ORANGE,0,,-,726,SHION,三重県,1027,U4GIMA,三重県,1803,FRIP,三重県,2111,FRIP,三重県
8th style,LAB,0,,-,1000,METAL,三重県,1940,0SUSH1,三重県,2125,FRIP,三重県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1225,QUERY,三重県,1906,HAVCHM,三重県,2218,FRIP,三重県,0,,-
8th style,Halfway of promise,0,,-,904,METAL,三重県,1502,0SUSH1,三重県,1820,YUKITO,三重県,0,,-
8th style,Giudecca,0,,-,848,HAS,三重県,1968,MAJIN!,三重県,2691,FRIP,三重県,0,,-
8th style,dual control,0,,-,712,NOHNA,三重県,1376,0SUSH1,三重県,1892,FRIP,三重県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1004,MOKO,三重県,2032,U4GIMA,三重県,2196,HAKU0,三重県,0,,-
8th style,CELEBRATE NITE,0,,-,883,NOHNA,三重県,1167,U4GIMA,三重県,1418,FRIP,三重県,0,,-
8th style,Blame,0,,-,1098,NOHNA,三重県,1564,U4GIMA,三重県,1941,FRIP,三重県,0,,-
8th style,bit mania,0,,-,897,KYURA,三重県,1279,HAKU0,三重県,1863,FRIP,三重県,0,,-
8th style,Attitude,0,,-,919,NOHNA,三重県,1393,0SUSH1,三重県,1756,FRIP,三重県,0,,-
8th style,ALL RIGHT,0,,-,840,T-TMY,三重県,1270,MASSH.,三重県,1623,FRIP,三重県,0,,-
8th style,airflow,0,,-,520,ISENO,三重県,744,0SUSH1,三重県,1421,HAKU0,三重県,0,,-
8th style,abstract,0,,-,1123,METAL,三重県,1602,NONNKE,三重県,1905,FRIP,三重県,0,,-
9th style,真夏の花・真夏の夢,0,,-,785,HAS,三重県,1143,0SUSH1,三重県,1486,FRIP,三重県,0,,-
9th style,ライオン好き,0,,-,620,METAL,三重県,1174,0SUSH1,三重県,1503,T*CHA,三重県,0,,-
9th style,SWEETEST SAVAGE,0,,-,614,T-TMY,三重県,1358,0SUSH1,三重県,1842,HAKU0,三重県,0,,-
9th style,Sweet Sweet Magic,0,,-,929,MOKO,三重県,1551,U4GIMA,三重県,2059,FRIP,三重県,0,,-
9th style,STAR FIELD,0,,-,642,KRC,三重県,1560,*LOVE*,三重県,1888,FRIP,三重県,0,,-
9th style,SNOW,0,,-,983,NOHNA,三重県,1271,MASSH.,三重県,2055,FRIP,三重県,0,,-
9th style,Silvia Drive,0,,-,794,NOHNA,三重県,1551,HAKU0,三重県,2073,FRIP,三重県,0,,-
9th style,rottel-the-Mercury,0,,-,965,BTR,三重県,1918,U4GIMA,三重県,2273,FRIP,三重県,0,,-
9th style,RISLIM -Remix-,0,,-,725,METAL,三重県,958,0SUSH1,三重県,1891,FRIP,三重県,0,,-
9th style,Really Love,0,,-,618,T-TMY,三重県,960,RRN.A,三重県,1751,FRIP,三重県,0,,-
9th style,Quickening,0,,-,874,NOHNA,三重県,1714,MAJIN!,三重県,2109,FRIP,三重県,0,,-
9th style,quasar,0,,-,1119,FIRIS*,三重県,1786,MAJIN!,三重県,2315,FRIP,三重県,0,,-
9th style,one or eight,0,,-,1232,NOHNA,三重県,1868,Z,三重県,2298,HAKU0,三重県,0,,-
9th style,moon_child,0,,-,1011,METAL,三重県,1910,HAVCHM,三重県,2551,HAKU0,三重県,0,,-
9th style,MARIA (I believe... ),0,,-,713,NOHNA,三重県,1562,LIZ.KM,三重県,1956,FRIP,三重県,0,,-
9th style,Make A Difference,0,,-,824,NOHNA,三重県,1580,HAGGER,三重県,2264,FRIP,三重県,0,,-
9th style,lower world,0,,-,1234,NOHNA,三重県,1848,0SUSH1,三重県,2268,FRIP,三重県,0,,-
9th style,LOVE SHINE,540,U4GIMA,三重県,778,YU-KI,三重県,1834,MA,三重県,2086,HAKU0,三重県,0,,-
9th style,lights,0,,-,670,FIRIS*,三重県,1419,T*CHA,三重県,1797,FRIP,三重県,0,,-
9th style,Let The Snow Paint Me -Y&Co. Remix-,0,,-,773,NOHNA,三重県,1223,AD08R,三重県,1804,FRIP,三重県,0,,-
9th style,Karma,0,,-,1265,NOHNA,三重県,1672,U4GIMA,三重県,1838,FRIP,三重県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,719,MLESKE,三重県,1331,RMASHI,三重県,1445,T*CHA,三重県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,1037,NOHNA,三重県,1657,U4GIMA,三重県,1965,FRIP,三重県,0,,-
9th style,Golden Horn,0,,-,662,YU-KI,三重県,1211,0SUSH1,三重県,1519,FRIP,三重県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1250,WISTIA,三重県,1605,MAJIN!,三重県,1995,FRIP,三重県,0,,-
9th style,Distress,0,,-,1345,LIZ.KM,三重県,1850,HAKU0,三重県,0,,-,0,,-
9th style,Cradle,0,,-,786,YU-KI,三重県,1463,O-DEN,三重県,1599,FRIP,三重県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,719,IIDX35,三重県,1454,0SUSH1,三重県,1772,FRIP,三重県,0,,-
9th style,bag,0,,-,867,NOHNA,三重県,1182,HAGGER,三重県,1922,HAKU0,三重県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,880,NOHNA,三重県,1381,0SUSH1,三重県,1805,FRIP,三重県,0,,-
9th style,ATOMIC AGE,0,,-,358,RIARA,三重県,647,MASSH.,三重県,1331,FRIP,三重県,0,,-
9th style,ACT,0,,-,1023,NOHNA,三重県,1624,0SUSH1,三重県,1856,FRIP,三重県,0,,-
9th style,Abyss -The Heavens Remix-,563,LIZ.KM,三重県,1359,HAM-1,三重県,1861,U4GIMA,三重県,2367,FRIP,三重県,0,,-
10th style,雪月花,0,,-,1140,NOHNA,三重県,1902,Z,三重県,2535,FRIP,三重県,0,,-
10th style,システムロマンス,0,,-,876,NOHNA,三重県,1752,0SUSH1,三重県,2038,FRIP,三重県,0,,-
10th style,SPACE FIGHT,0,,-,620,T-TMY,三重県,1462,TAKUTO,三重県,2245,FRIP,三重県,0,,-
10th style,SHOOTING STAR,0,,-,1147,T-TMY,三重県,1662,MAJIN!,三重県,2276,FRIP,三重県,0,,-
10th style,Rise'n Beauty,0,,-,1216,NOHNA,三重県,1653,Z,三重県,2177,FRIP,三重県,0,,-
10th style,rainbow rainbow,0,,-,1592,FRIP,三重県,2256,U4GIMA,三重県,2741,FRIP,三重県,0,,-
10th style,pandora,0,,-,871,YOU!!,三重県,1668,U4GIMA,三重県,1851,FRIP,三重県,0,,-
