バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,759,YUKI-.,滋賀県,976,4690,滋賀県,1141,8VSZU4,滋賀県,0,,-
1st&substream,RUGGED ASH,0,,-,370,B-RABI,滋賀県,402,B-RABI,滋賀県,1101,PANKO,滋賀県,2049,KORSK,滋賀県
1st&substream,R3,0,,-,644,YUKI-.,滋賀県,725,-SB-,滋賀県,901,R10000,滋賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,B-RABI,滋賀県,752,B-RABI,滋賀県,1105,B-RABI,滋賀県,0,,-
1st&substream,Macho Gang,0,,-,376,8VSZU4,滋賀県,1066,KASON,滋賀県,1638,KORSK,滋賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,YUHEY,滋賀県,244,R.K.,滋賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,867,YUKI-.,滋賀県,962,Z.O.O,滋賀県,1184,R.K.,滋賀県,0,,-
1st&substream,gentle stress,0,,-,344,B-RABI,滋賀県,682,B-RABI,滋賀県,1436,R.K.,滋賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,383,YAYO84,滋賀県,815,TKNO.5,滋賀県,1069,MI7RAI,滋賀県,0,,-
1st&substream,GAMBOL,0,,-,271,O.NKMT,滋賀県,274,N.KJ,滋賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,4690,滋賀県,484,SYARU,滋賀県,576,TOSIYA,滋賀県,0,,-
1st&substream,deep in you,0,,-,476,R301,滋賀県,498,-SB-,滋賀県,661,*99*,滋賀県,0,,-
1st&substream,5.1.1.,0,,-,198,B-RABI,滋賀県,1020,TOSIYA,滋賀県,1566,KORSK,滋賀県,0,,-
1st&substream,22DUNK,0,,-,517,U.M.,滋賀県,627,-111-,滋賀県,655,31MURA,滋賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,B-RABI,滋賀県,626,B-RABI,滋賀県,648,B-RABI,滋賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,574,8VSZU4,滋賀県,864,KORSK,滋賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,860,-SB-,滋賀県,1040,QQQ,滋賀県,1230,R10000,滋賀県,0,,-
2nd style,I Was The One,0,,-,516,OSUSHI,滋賀県,618,XECTY1,滋賀県,691,TOSIYA,滋賀県,0,,-
