バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,741,MICHI,京都府,1031,K.,京都府,1150,TETRIS,京都府,0,,-
1st&substream,RUGGED ASH,0,,-,354,0801,京都府,402,YUKA.K,京都府,1088,YT*PAL,京都府,2043,FLADY,京都府
1st&substream,R3,0,,-,614,UJICHA,京都府,730,YUKA.K,京都府,903,*TASUQ,京都府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,522,0801,京都府,741,YUKA.K,京都府,1106,HIRO-T,京都府,0,,-
1st&substream,Macho Gang,0,,-,375,RELIEF,京都府,1045,M4S1R0,京都府,1622,SUZAKU,京都府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,STARMN,京都府,244,53SAMA,京都府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,845,0801,京都府,945,TOSHI,京都府,1207,F6,京都府,0,,-
1st&substream,gentle stress,0,,-,341,TKY,京都府,675,TKY,京都府,1447,TKY,京都府,0,,-
1st&substream,GENOM SCREAMS,0,,-,417,TKY,京都府,829,YT*PAL,京都府,1067,FLADY,京都府,0,,-
1st&substream,GAMBOL,0,,-,273,CHAIKA,京都府,274,TKY,京都府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,404,RELIEF,京都府,495,3KNEKO,京都府,579,HIRO-T,京都府,0,,-
1st&substream,deep in you,0,,-,470,0801,京都府,504,YUKA.K,京都府,661,FLADY,京都府,0,,-
1st&substream,5.1.1.,0,,-,198,DI-IVI,京都府,1015,*TASUQ,京都府,1562,ICAMSM,京都府,0,,-
1st&substream,22DUNK,0,,-,520,TKY,京都府,631,TKY,京都府,650,TKY,京都府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,0801,京都府,604,1.96-H,京都府,648,TKY,京都府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,575,FFFFFF,京都府,860,*TASUQ,京都府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,868,&,京都府,1100,SI7MON,京都府,1211,*TASUQ,京都府,0,,-
2nd style,I Was The One,0,,-,533,RYOSHI,京都府,632,M4S1R0,京都府,691,TKY,京都府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,757,M4S1R0,京都府,934,M4S1R0,京都府,1056,APIN58,京都府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,697,014-.,京都府,1030,SI7MON,京都府,1127,TKY,京都府,0,,-
2nd style,.59,0,,-,651,MICHI,京都府,981,YUKA.K,京都府,1152,24NAR1,京都府,0,,-
3rd style,THE SAFARI,362,TKY,京都府,1156,SI7MON,京都府,1776,FLADY,京都府,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,257,0801,京都府,396,HIRO-T,京都府,0,,-,0,,-
3rd style,Skyscraper,0,,-,718,DBCAT,京都府,1184,BOMIOS,京都府,1244,*TASUQ,京都府,0,,-
3rd style,Schlagwerk,0,,-,739,0801,京都府,1311,FLADY,京都府,1680,HIRO-T,京都府,0,,-
3rd style,REINCARNATION,0,,-,778,JLNA,京都府,997,86STAR,京都府,1275,HIRO-T,京都府,0,,-
3rd style,R5,0,,-,734,0801,京都府,1163,53SAMA,京都府,1771,YT*PAL,京都府,0,,-
3rd style,Presto,0,,-,529,AMIAT3,京都府,985,*TASUQ,京都府,1006,FFFFFF,京都府,0,,-
