バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,795,IMOTO*,大阪府,1057,IMOTO*,大阪府,1158,VELVET,大阪府,0,,-
1st&substream,RUGGED ASH,0,,-,370,IMOTO*,大阪府,402,IMOTO*,大阪府,1094,NOIK.K,大阪府,2052,TAKA.S,大阪府
1st&substream,R3,0,,-,660,IMOTO*,大阪府,736,IMOTO*,大阪府,908,RIKO,大阪府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,IMOTO*,大阪府,752,IMOTO*,大阪府,1119,VELVET,大阪府,0,,-
1st&substream,Macho Gang,0,,-,378,-100K,大阪府,1084,IMOTO*,大阪府,1661,VELVET,大阪府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,IMOTO*,大阪府,244,IMOTO*,大阪府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,861,TOR,大阪府,990,&#7777,大阪府,1200,SHTOLA,大阪府,0,,-
1st&substream,gentle stress,0,,-,344,IMOTO*,大阪府,684,IMOTO*,大阪府,1449,VELVET,大阪府,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,IMOTO*,大阪府,831,IMOTO*,大阪府,1069,OVER.V,大阪府,0,,-
1st&substream,GAMBOL,68,ONSOKU,大阪府,274,IMOTO*,大阪府,274,IMOTO*,大阪府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,IMOTO*,大阪府,522,IMOTO*,大阪府,580,IMOTO*,大阪府,0,,-
1st&substream,deep in you,0,,-,500,IMOTO*,大阪府,510,IMOTO*,大阪府,663,IMOTO*,大阪府,0,,-
1st&substream,5.1.1.,0,,-,198,IMOTO*,大阪府,1015,IMOTO*,大阪府,1570,TAKA.S,大阪府,0,,-
1st&substream,22DUNK,0,,-,515,N1TRO,大阪府,643,IMOTO*,大阪府,657,IMOTO*,大阪府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,IMOTO*,大阪府,626,IMOTO*,大阪府,648,IMOTO*,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,570,CUBE,大阪府,865,VELVET,大阪府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,881,IMOTO*,大阪府,1137,IMOTO*,大阪府,1229,VELVET,大阪府,0,,-
2nd style,I Was The One,0,,-,544,IMOTO*,大阪府,652,IMOTO*,大阪府,692,VELVET,大阪府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,750,DEFATK,大阪府,962,IMOTO*,大阪府,1068,VELVET,大阪府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,748,IMOTO*,大阪府,1047,HIYOBU,大阪府,1137,VELVET,大阪府,0,,-
