バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,752,KOH*ZD,兵庫県,1036,XAT,兵庫県,1155,UN&C0.,兵庫県,0,,-
1st&substream,RUGGED ASH,0,,-,369,UN&C0.,兵庫県,397,U-2.RR,兵庫県,1088,MORI3,兵庫県,2028,NOELLE,兵庫県
1st&substream,R3,0,,-,617,MILAN,兵庫県,723,YORIKO,兵庫県,904,YYY,兵庫県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,540,YAR74$,兵庫県,740,YORIKO,兵庫県,1108,NUFAN,兵庫県,0,,-
1st&substream,Macho Gang,0,,-,378,CIYUKI,兵庫県,1042,CIYUKI,兵庫県,1633,3.,兵庫県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,RAMUNE,兵庫県,244,3.,兵庫県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,837,MILAN,兵庫県,975,A,兵庫県,1197,YYY,兵庫県,0,,-
1st&substream,gentle stress,0,,-,340,KOH*ZD,兵庫県,659,KOH*ZD,兵庫県,1445,UN&C0.,兵庫県,0,,-
1st&substream,GENOM SCREAMS,0,,-,414,Y#KIRI,兵庫県,817,YYY,兵庫県,1067,UN&C0.,兵庫県,0,,-
1st&substream,GAMBOL,0,,-,274,INTAI,兵庫県,274,BBC,兵庫県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,399,MOCHI,兵庫県,505,YORIKO,兵庫県,576,BBC,兵庫県,0,,-
1st&substream,deep in you,0,,-,479,R*MI,兵庫県,499,YORIKO,兵庫県,660,UN&C0.,兵庫県,0,,-
1st&substream,5.1.1.,0,,-,198,BONVAX,兵庫県,1018,S,兵庫県,1571,UN&C0.,兵庫県,0,,-
1st&substream,22DUNK,0,,-,503,BEX,兵庫県,639,11039,兵庫県,652,3.,兵庫県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,496,AKM*,兵庫県,598,MILAN,兵庫県,648,M.O.Y.,兵庫県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,554,CHLODD,兵庫県,864,BBC,兵庫県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,822,MAL,兵庫県,1109,QJITAI,兵庫県,1222,M.O.Y.,兵庫県,0,,-
2nd style,I Was The One,0,,-,521,SRTK,兵庫県,643,K4LC.,兵庫県,691,INTAI,兵庫県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,729,YAR74$,兵庫県,943,CIYUKI,兵庫県,1065,M.O.Y.,兵庫県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,710,KOH*ZD,兵庫県,1025,LAP1S,兵庫県,1130,BONO*2,兵庫県,0,,-
2nd style,.59,0,,-,689,SRTK,兵庫県,992,YORIKO,兵庫県,1158,3.,兵庫県,0,,-
3rd style,THE SAFARI,361,DEMK,兵庫県,1183,BYG,兵庫県,1757,37YAKA,兵庫県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,271,KOA495,兵庫県,395,NEKO6?,兵庫県,0,,-,0,,-
