バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,757,STILE,奈良県,1044,OKOYAN,奈良県,1157,46,奈良県,0,,-
1st&substream,RUGGED ASH,0,,-,355,DAYAN,奈良県,402,*TASUQ,奈良県,1101,MOMOI,奈良県,2055,46*,奈良県
1st&substream,R3,0,,-,612,ALT.I,奈良県,718,BELTRE,奈良県,901,*TASUQ,奈良県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,EVO69,奈良県,747,4GEPO4,奈良県,1105,IIDX30,奈良県,0,,-
1st&substream,Macho Gang,0,,-,369,TAMAZO,奈良県,1046,7-11,奈良県,1635,46,奈良県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,7-11,奈良県,244,ARACCH,奈良県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,840,LAPIS,奈良県,984,ARACCH,奈良県,1190,46*,奈良県,0,,-
1st&substream,gentle stress,0,,-,337,MAJOR,奈良県,679,BRANZ*,奈良県,1444,NEBKA8,奈良県,0,,-
1st&substream,GENOM SCREAMS,0,,-,396,DAYAN,奈良県,802,BELTRE,奈良県,1062,NOO,奈良県,0,,-
1st&substream,GAMBOL,0,,-,270,HAASA*,奈良県,274,ARACCH,奈良県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,392,YIMA,奈良県,519,BIGBOY,奈良県,572,*TASUQ,奈良県,0,,-
1st&substream,deep in you,0,,-,476,ARA-R,奈良県,497,BRANZ*,奈良県,657,IIDX30,奈良県,0,,-
1st&substream,5.1.1.,0,,-,197,ARACCH,奈良県,1011,BELTRE,奈良県,1566,46*,奈良県,0,,-
1st&substream,22DUNK,0,,-,489,HIR2,奈良県,628,BELTRE,奈良県,652,IIDX30,奈良県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,491,DAYAN,奈良県,617,BIGBOY,奈良県,644,IIDX32,奈良県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,NI9-G6,奈良県,860,46,奈良県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,832,NCS.,奈良県,1072,BELTRE,奈良県,1227,NEBKA8,奈良県,0,,-
2nd style,I Was The One,0,,-,521,DAYAN,奈良県,640,CHIP,奈良県,692,SR.KA8,奈良県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,746,NI9-G6,奈良県,938,7-11,奈良県,1063,*TASUQ,奈良県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,722,LAPIS,奈良県,1042,BELTRE,奈良県,1123,IIDX30,奈良県,0,,-
2nd style,.59,0,,-,696,SR00,奈良県,1007,IIDX30,奈良県,1162,46*,奈良県,0,,-
3rd style,THE SAFARI,360,LIME-C,奈良県,1169,7-11,奈良県,1782,46,奈良県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,YIMA,奈良県,396,ARACCH,奈良県,0,,-,0,,-
3rd style,Skyscraper,0,,-,711,NI9-G6,奈良県,1185,*TASUQ,奈良県,1230,EVO69,奈良県,0,,-
3rd style,Schlagwerk,0,,-,766,PINQY,奈良県,1268,7-11,奈良県,1692,46*,奈良県,0,,-
3rd style,REINCARNATION,0,,-,799,STILE,奈良県,1017,BELTRE,奈良県,1278,NEBKA8,奈良県,0,,-
3rd style,R5,0,,-,756,NI9-G6,奈良県,1153,7-11,奈良県,1769,46*,奈良県,0,,-
3rd style,Presto,0,,-,524,NI9-G6,奈良県,969,F&F,奈良県,1010,IIDX32,奈良県,0,,-
3rd style,LEADING CYBER,0,,-,810,STILE,奈良県,1183,7-11,奈良県,1258,IIDX30,奈良県,0,,-
