バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,781,T.T,和歌山県,1046,RE*,和歌山県,1157,GIGANT,和歌山県,0,,-
1st&substream,RUGGED ASH,0,,-,367,F.K!,和歌山県,402,RE*,和歌山県,1087,RAITO.,和歌山県,1991,EMU.O,和歌山県
1st&substream,R3,0,,-,657,RE*,和歌山県,734,RE*,和歌山県,905,MYZ,和歌山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,554,T.T,和歌山県,752,RE*,和歌山県,1114,GIGANT,和歌山県,0,,-
1st&substream,Macho Gang,0,,-,371,3F*4NZ,和歌山県,1081,RE*,和歌山県,1628,MYZ,和歌山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TERRY.,和歌山県,244,TTOI,和歌山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,881,GIGANT,和歌山県,1012,GIGANT,和歌山県,1210,GIGANT,和歌山県,0,,-
1st&substream,gentle stress,0,,-,341,MYZ,和歌山県,684,RE*,和歌山県,1453,GIGANT,和歌山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,413,T.T,和歌山県,826,Q-NO,和歌山県,1067,GBS,和歌山県,0,,-
1st&substream,GAMBOL,0,,-,273,RE*,和歌山県,274,.DON,和歌山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,RE*,和歌山県,518,RE*,和歌山県,580,GIGANT,和歌山県,0,,-
1st&substream,deep in you,0,,-,495,3F*4NZ,和歌山県,510,RE*,和歌山県,666,GIGANT,和歌山県,0,,-
1st&substream,5.1.1.,0,,-,198,TERRY.,和歌山県,1022,RE*,和歌山県,1571,GBS,和歌山県,0,,-
1st&substream,22DUNK,0,,-,525,RE*,和歌山県,646,GIGANT,和歌山県,655,GIGANT,和歌山県,0,,-
