バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,769,014-.,鳥取県,1018,AOIXIX,鳥取県,1154,DIV.,鳥取県,0,,-
1st&substream,RUGGED ASH,0,,-,367,#MA3#,鳥取県,386,STICKS,鳥取県,1070,#MA3#,鳥取県,2026,KYORSK,鳥取県
1st&substream,R3,0,,-,642,014-.,鳥取県,591,GIGLIO,鳥取県,891,VIOLA.,鳥取県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,35KING,鳥取県,642,GIGLIO,鳥取県,1098,#MA3#,鳥取県,0,,-
1st&substream,Macho Gang,0,,-,369,AOIXIX,鳥取県,893,MOGULO,鳥取県,1633,#MA3#,鳥取県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,#MA3#,鳥取県,244,DEBU87,鳥取県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,836,014-.,鳥取県,958,HOMURA,鳥取県,1196,#MA3#,鳥取県,0,,-
1st&substream,gentle stress,0,,-,333,BON,鳥取県,670,UMEKOO,鳥取県,1447,#MA3#,鳥取県,0,,-
1st&substream,GENOM SCREAMS,0,,-,388,014-.,鳥取県,829,X-XAN.,鳥取県,1061,VIOLA.,鳥取県,0,,-
1st&substream,GAMBOL,0,,-,259,LUCE.,鳥取県,274,#MA3#,鳥取県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,369,014-.,鳥取県,485,Y-CHA,鳥取県,571,VIOLA.,鳥取県,0,,-
1st&substream,deep in you,0,,-,448,STICKS,鳥取県,462,HANS-D,鳥取県,648,DEBU87,鳥取県,0,,-
1st&substream,5.1.1.,0,,-,193,STICKS,鳥取県,952,STICKS,鳥取県,1567,DIV.,鳥取県,0,,-
1st&substream,22DUNK,0,,-,502,35KING,鳥取県,617,DEBU87,鳥取県,652,.VID,鳥取県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,461,STICKS,鳥取県,533,PUYO-M,鳥取県,646,DIV.,鳥取県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,564,PIK,鳥取県,862,#MA3#,鳥取県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,742,GIGLIO,鳥取県,1077,PRN.SZ,鳥取県,1224,YU1MA,鳥取県,0,,-
2nd style,I Was The One,0,,-,515,RIKO,鳥取県,624,RAY$,鳥取県,695,#MA3#,鳥取県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,734,014-.,鳥取県,827,GIGLIO,鳥取県,1046,VIOLA.,鳥取県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,521,AKNR,鳥取県,980,RAY$,鳥取県,1097,VIOLA.,鳥取県,0,,-
2nd style,.59,0,,-,630,YUNE,鳥取県,944,TIARA,鳥取県,1136,VIOLA.,鳥取県,0,,-
3rd style,THE SAFARI,362,RAY$,鳥取県,1044,03CHAN,鳥取県,1762,DIV.,鳥取県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,241,PUYO-M,鳥取県,389,VIOLA.,鳥取県,0,,-,0,,-
3rd style,Skyscraper,0,,-,716,RAY$,鳥取県,1151,KI9TU2,鳥取県,1238,VIOLA.,鳥取県,0,,-
3rd style,Schlagwerk,0,,-,791,RAY$,鳥取県,1125,GIGLIO,鳥取県,1675,#MA3#,鳥取県,0,,-
3rd style,REINCARNATION,0,,-,738,YUNE,鳥取県,924,TIARA,鳥取県,1261,#MA3#,鳥取県,0,,-
3rd style,R5,0,,-,745,RAY$,鳥取県,1164,#MA3#,鳥取県,1767,.VID,鳥取県,0,,-
3rd style,Presto,0,,-,467,*CALM*,鳥取県,912,Y.Y,鳥取県,1007,YU1MA,鳥取県,0,,-
3rd style,LEADING CYBER,0,,-,705,STICKS,鳥取県,1140,HIRAI,鳥取県,1265,K.CH,鳥取県,0,,-
3rd style,Holic,0,,-,726,RAY$,鳥取県,1076,NA2HI,鳥取県,1719,VIOLA.,鳥取県,0,,-
3rd style,era (nostalmix),0,,-,768,*90000,鳥取県,1092,DIV.,鳥取県,1536,VIOLA.,鳥取県,0,,-
3rd style,Don't Stop!,0,,-,742,014-.,鳥取県,732,GIGLIO,鳥取県,889,VIOLA.,鳥取県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,498,UWU$,鳥取県,1230,VIOLA.,鳥取県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,888,014-.,鳥取県,1227,#MA3#,鳥取県,1328,#MA3#,鳥取県,0,,-
4th style,SWEET LAB,0,,-,485,GIGLIO,鳥取県,911,014-.,鳥取県,1363,VIOLA.,鳥取県,0,,-
4th style,starmine,427,RAY$,鳥取県,763,GIGLIO,鳥取県,1417,#MA3#,鳥取県,1585,VIOLA.,鳥取県,0,,-
4th style,Mr.T.(take me higher),0,,-,547,GORO56,鳥取県,890,GIGLIO,鳥取県,1760,.VID,鳥取県,0,,-
4th style,minimalian,0,,-,482,PO,鳥取県,1055,ANPNMN,鳥取県,1405,#MA3#,鳥取県,0,,-
4th style,LOVE WILL・・・,0,,-,421,*RE*.L,鳥取県,715,OWO,鳥取県,1460,#MA3#,鳥取県,0,,-
4th style,KAMIKAZE,0,,-,968,RAY$,鳥取県,1387,RAY$,鳥取県,2304,DIV.,鳥取県,0,,-
4th style,Jam&Marmalade,0,,-,678,STICKS,鳥取県,728,AME,鳥取県,1006,VIOLA.,鳥取県,0,,-
4th style,Hitch Hiker2,0,,-,566,AKNR,鳥取県,1118,RAY$,鳥取県,1327,VIOLA.,鳥取県,1934,.VID,鳥取県
4th style,HIGHER,0,,-,364,AKNR,鳥取県,821,B-L,鳥取県,1279,VIOLA.,鳥取県,0,,-
4th style,FLOWERS for ALBION,0,,-,235,HOMURA,鳥取県,441,HOMURA,鳥取県,0,,-,0,,-
4th style,era (step mix),0,,-,890,2-MAS*,鳥取県,1394,TISSUE,鳥取県,1706,#MA3#,鳥取県,0,,-
4th style,empathy,0,,-,761,SIKAGO,鳥取県,1185,*90000,鳥取県,1474,.VID,鳥取県,0,,-
4th style,DXY!,0,,-,1232,HOMURA,鳥取県,1806,O,鳥取県,2224,VIOLA.,鳥取県,0,,-
4th style,Clione,0,,-,354,AKNR,鳥取県,918,TISSUE,鳥取県,1605,.VID,鳥取県,2164,VIOLA.,鳥取県
4th style,CHECKING YOU OUT,0,,-,572,HANS-D,鳥取県,906,URIEL,鳥取県,1344,#MA3#,鳥取県,0,,-
4th style,Burnin' The Floor,0,,-,534,ACOGI,鳥取県,851,TIARA,鳥取県,1437,DIV.,鳥取県,0,,-
4th style,Broken My Heart,0,,-,718,AKNR,鳥取県,1274,*90000,鳥取県,1820,VIOLA.,鳥取県,0,,-
4th style,B4U,0,,-,970,014-.,鳥取県,1500,ANPNMN,鳥取県,2015,#MA3#,鳥取県,0,,-
4th style,ABSOLUTE,0,,-,1142,GIGLIO,鳥取県,1750,AOIXIX,鳥取県,2383,#MA3#,鳥取県,2744,K.CH,鳥取県
4th style,250bpm,0,,-,620,RAY$,鳥取県,942,Y.Y,鳥取県,1416,#MA3#,鳥取県,0,,-
5th style,V,329,RAY$,鳥取県,1020,PUYO-M,鳥取県,2532,KCH.,鳥取県,3012,VIOLA.,鳥取県,0,,-
5th style,THE SHINING POLARIS,0,,-,820,RAY$,鳥取県,1292,04,鳥取県,1584,#MA3#,鳥取県,0,,-
5th style,THE CUBE,0,,-,720,NA2HI,鳥取県,1008,GIGLIO,鳥取県,1343,#MA3#,鳥取県,0,,-
5th style,sync,0,,-,1050,PIK,鳥取県,1857,TISSUE,鳥取県,2399,#MA3#,鳥取県,0,,-
5th style,still my words,0,,-,881,RAY$,鳥取県,1231,.VID,鳥取県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,967,RAY$,鳥取県,1377,VIOLA.,鳥取県,1907,#MA3#,鳥取県,0,,-
5th style,Spin the disc,0,,-,679,GIGLIO,鳥取県,1298,#MA3#,鳥取県,1333,.VID,鳥取県,0,,-
5th style,sometime,0,,-,750,RAY$,鳥取県,975,RAY$,鳥取県,1315,#MA3#,鳥取県,0,,-
5th style,RISLIM,0,,-,865,RAY$,鳥取県,1226,DIV.,鳥取県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,871,RAY$,鳥取県,1047,#MA3#,鳥取県,1713,#MA3#,鳥取県,1834,VIOLA.,鳥取県
5th style,Regulus,0,,-,842,GIGLIO,鳥取県,1371,RAY$,鳥取県,1708,#MA3#,鳥取県,0,,-
5th style,Real,0,,-,643,AKNR,鳥取県,1666,31KING,鳥取県,1811,#MA3#,鳥取県,0,,-
