バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,745,RAN.S,島根県,990,SPARK,島根県,1145,NAKA5,島根県,0,,-
1st&substream,RUGGED ASH,0,,-,332,CK389.,島根県,366,LU.PSJ,島根県,1057,TURUWO,島根県,2013,NAKA5,島根県
1st&substream,R3,0,,-,635,CHARIN,島根県,708,CHARIN,島根県,866,V3G4S*,島根県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,529,RAN.S,島根県,705,LU.PSJ,島根県,1074,AUXY.,島根県,0,,-
1st&substream,Macho Gang,0,,-,362,V3G4S*,島根県,1031,IST-RT,島根県,1547,NACHT,島根県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,183,YUA,島根県,240,K*N.SY,島根県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,870,NACHT,島根県,938,LU.PSJ,島根県,1115,V3G4S*,島根県,0,,-
1st&substream,gentle stress,0,,-,329,M.N.,島根県,608,LU.PSJ,島根県,1426,BU319,島根県,0,,-
1st&substream,GENOM SCREAMS,0,,-,390,M.N.,島根県,793,RAN.S,島根県,1022,TURUWO,島根県,0,,-
1st&substream,GAMBOL,0,,-,249,YUA,島根県,265,V3G4S*,島根県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,381,YUA,島根県,463,LU.PSJ,島根県,568,V3G4S*,島根県,0,,-
1st&substream,deep in you,0,,-,447,M.N.,島根県,475,RAN.S,島根県,651,TA4Z0U,島根県,0,,-
1st&substream,5.1.1.,0,,-,192,REMO3,島根県,991,V3G4S*,島根県,1546,RASERI,島根県,0,,-
1st&substream,22DUNK,0,,-,493,CHARIN,島根県,618,CHARIN,島根県,630,NACHT,島根県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,YUA,島根県,609,CHARIN,島根県,631,CHARIN,島根県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,525,LU.PSJ,島根県,817,K*N.SY,島根県,0,,-,0,,-
