バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,789,TORO,岡山県,1019,IDOMUN,岡山県,1151,O.N.O.,岡山県,0,,-
1st&substream,RUGGED ASH,0,,-,369,TORO,岡山県,398,TORO,岡山県,1082,CORIVE,岡山県,2040,CORIVE,岡山県
1st&substream,R3,0,,-,652,TORO,岡山県,715,NIEN,岡山県,904,CORIVE,岡山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,559,TORO,岡山県,740,TORO,岡山県,1109,GENO,岡山県,0,,-
1st&substream,Macho Gang,0,,-,371,KETY,岡山県,977,KAZU,岡山県,1628,CORIVE,岡山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,GENO,岡山県,244,GENO,岡山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,876,TORO,岡山県,999,TORO,岡山県,1203,GENO,岡山県,0,,-
1st&substream,gentle stress,0,,-,344,TORO,岡山県,673,GREIN,岡山県,1447,JIMAYO,岡山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,TORO,岡山県,828,CORIVE,岡山県,1068,O.N.O.,岡山県,0,,-
1st&substream,GAMBOL,0,,-,274,GENO,岡山県,274,GENO,岡山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,TORO,岡山県,517,TORO,岡山県,580,GENO,岡山県,0,,-
1st&substream,deep in you,0,,-,497,TORO,岡山県,475,TOMJ,岡山県,661,GENO,岡山県,0,,-
1st&substream,5.1.1.,0,,-,198,GENO,岡山県,1020,GENO,岡山県,1568,O.N.O.,岡山県,0,,-
1st&substream,22DUNK,0,,-,519,TORO,岡山県,626,NIEN,岡山県,655,O.N.O.,岡山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,507,TORO,岡山県,608,101I,岡山県,645,CORIVE,岡山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,577,TORO,岡山県,862,0HANA5,岡山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,876,TORO,岡山県,1118,O.N.O.,岡山県,1225,JIMAO,岡山県,0,,-
2nd style,I Was The One,0,,-,540,TORO,岡山県,633,101I,岡山県,696,GENO,岡山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,762,TORO,岡山県,907,HNBRK,岡山県,1065,CORIVE,岡山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,729,TORO,岡山県,1044,TORO,岡山県,1123,ARTE3S,岡山県,0,,-
2nd style,.59,0,,-,704,TORO,岡山県,984,KURO,岡山県,1154,CORIVE,岡山県,0,,-
3rd style,THE SAFARI,361,INYS,岡山県,1159,TORO,岡山県,1752,O.N.O.,岡山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,278,CU,岡山県,396,GENO,岡山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,743,TORO,岡山県,1160,TORO,岡山県,1239,GENO,岡山県,0,,-
3rd style,Schlagwerk,0,,-,815,TORO,岡山県,1277,TORO,岡山県,1681,GENO,岡山県,0,,-
3rd style,REINCARNATION,0,,-,835,TORO,岡山県,995,BEAT,岡山県,1279,GENO,岡山県,0,,-
3rd style,R5,0,,-,771,TORO,岡山県,1142,TORO,岡山県,1769,CORIVE,岡山県,0,,-
3rd style,Presto,0,,-,534,TORO,岡山県,961,DONMAI,岡山県,1012,GENO,岡山県,0,,-
3rd style,LEADING CYBER,0,,-,852,TORO,岡山県,1170,TORO,岡山県,1268,GENO,岡山県,0,,-
3rd style,Holic,0,,-,779,TORO,岡山県,1170,TORO,岡山県,1718,CORIVE,岡山県,0,,-
3rd style,era (nostalmix),0,,-,838,TORO,岡山県,1104,CORIVE,岡山県,1549,CORIVE,岡山県,0,,-
3rd style,Don't Stop!,0,,-,776,TORO,岡山県,850,TORO,岡山県,905,GENO,岡山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,615,TORO,岡山県,1249,GENO,岡山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,922,TORO,岡山県,1213,0HANA5,岡山県,1333,CORIVE,岡山県,0,,-
4th style,SWEET LAB,0,,-,535,TORO,岡山県,935,SHO-U,岡山県,1382,CORIVE,岡山県,0,,-
4th style,starmine,443,KAZU,岡山県,906,ARTE3S,岡山県,1423,ARTE3S,岡山県,1584,O.N.O.,岡山県,0,,-
4th style,Mr.T.(take me higher),0,,-,841,TORO,岡山県,989,KURO,岡山県,1763,CORIVE,岡山県,0,,-
4th style,minimalian,0,,-,536,TORO,岡山県,1028,TORO,岡山県,1391,PO?,岡山県,0,,-
4th style,LOVE WILL・・・,0,,-,558,GENO,岡山県,758,GENO,岡山県,1461,ARTE3S,岡山県,0,,-
4th style,KAMIKAZE,0,,-,1016,TORO,岡山県,1429,TORO,岡山県,2284,CORIVE,岡山県,0,,-
