バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,776,3439,広島県,1018,MELT,広島県,1149,IBUKI*,広島県,0,,-
1st&substream,RUGGED ASH,0,,-,365,3439,広島県,400,-AKI-,広島県,1091,CO39LO,広島県,2021,HVM,広島県
1st&substream,R3,0,,-,639,U-OTA*,広島県,714,MIASMA,広島県,904,G*GURA,広島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,544,3439,広島県,722,MELT,広島県,1116,NKNFAL,広島県,0,,-
1st&substream,Macho Gang,0,,-,381,44KING,広島県,1060,MELT,広島県,1634,NKNFAL,広島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,TATSU*,広島県,244,44KING,広島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,847,KANKI2,広島県,964,MELT,広島県,1190,IBUKI*,広島県,0,,-
1st&substream,gentle stress,0,,-,341,-AKI-,広島県,680,ROBBY,広島県,1450,-AKI-,広島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,402,U-OTA*,広島県,820,MELT,広島県,1064,IBUKI*,広島県,0,,-
1st&substream,GAMBOL,0,,-,274,ZAGZAG,広島県,274,3.MPS*,広島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,398,ROBBY,広島県,504,U-OTA*,広島県,579,MARIN.,広島県,0,,-
1st&substream,deep in you,0,,-,491,ROBBIE,広島県,503,BECK69,広島県,660,IBUKI*,広島県,0,,-
1st&substream,5.1.1.,0,,-,195,TEN-IN,広島県,1005,ROBBY,広島県,1566,IBUKI*,広島県,0,,-
1st&substream,22DUNK,0,,-,521,CHALI.,広島県,637,3.MPS*,広島県,657,IBUKI*,広島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,501,U-OTA*,広島県,613,U-OTA*,広島県,648,-AKI-,広島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,565,U-OTA*,広島県,861,3.MPS*,広島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,830,U-OTA*,広島県,1108,NIMGO,広島県,1225,IBUKI*,広島県,0,,-
2nd style,I Was The One,0,,-,523,56NESK,広島県,635,BECK69,広島県,691,MELT,広島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,753,U-OTA*,広島県,919,U-OTA*,広島県,1072,-AKI-,広島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,691,U-OTA*,広島県,1025,3.MPS*,広島県,1127,IBUKI*,広島県,0,,-
2nd style,.59,0,,-,683,HOLY,広島県,997,U-OTA*,広島県,1152,IBUKI*,広島県,0,,-
3rd style,THE SAFARI,355,MELT,広島県,1178,NIMGO,広島県,1770,NKNFAL,広島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,272,PIC,広島県,396,MARIN.,広島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,725,U-OTA*,広島県,1183,MELT,広島県,1245,TOD,広島県,0,,-
3rd style,Schlagwerk,0,,-,805,HOLY,広島県,1317,CO39LO,広島県,1681,CO39LO,広島県,0,,-
3rd style,REINCARNATION,0,,-,828,HOLY,広島県,986,M.K,広島県,1272,CO39LO,広島県,0,,-
3rd style,R5,0,,-,772,44KING,広島県,1165,-AKI-,広島県,1773,WI-FI6,広島県,0,,-
3rd style,Presto,0,,-,527,TA5WA3,広島県,979,ROBBY,広島県,1010,NKNFAL,広島県,0,,-
3rd style,LEADING CYBER,0,,-,828,3439,広島県,1171,KNZK-B,広島県,1265,UXA,広島県,0,,-
3rd style,Holic,0,,-,762,HOLY,広島県,1215,YMNSS,広島県,1708,IBUKI*,広島県,0,,-
3rd style,era (nostalmix),0,,-,820,*ASPN*,広島県,1083,G*GURA,広島県,1539,MORBOL,広島県,0,,-
3rd style,Don't Stop!,0,,-,769,U-OTA*,広島県,838,U-OTA*,広島県,904,CO39LO,広島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,596,A1,広島県,1254,-AKI-,広島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,896,TATSU*,広島県,1238,SILVI,広島県,1324,SILVI,広島県,0,,-
4th style,SWEET LAB,0,,-,529,3439,広島県,947,MELT,広島県,1370,CO39LO,広島県,0,,-
4th style,starmine,443,PIC,広島県,886,STEEL*,広島県,1413,ARU*,広島県,1585,FYGAR,広島県,0,,-
4th style,Mr.T.(take me higher),0,,-,829,U-OTA*,広島県,987,569*RH,広島県,1768,IBUKI*,広島県,0,,-
4th style,minimalian,0,,-,511,U-OTA*,広島県,1075,S.WEEK,広島県,1404,IBUKI*,広島県,0,,-
4th style,LOVE WILL・・・,0,,-,547,3439,広島県,756,44KING,広島県,1460,IBUKI*,広島県,0,,-
4th style,KAMIKAZE,0,,-,1003,STEEL*,広島県,1440,MELT,広島県,2304,MORBOL,広島県,0,,-
4th style,Jam&Marmalade,0,,-,762,MELT,広島県,880,MELT,広島県,1015,IBUKI*,広島県,0,,-
4th style,Hitch Hiker2,0,,-,805,U-OTA*,広島県,1184,MELT,広島県,1318,IBUKI*,広島県,1937,G*GURA,広島県
4th style,HIGHER,0,,-,520,3439,広島県,916,HOLY,広島県,1280,-AKI-,広島県,0,,-
4th style,FLOWERS for ALBION,0,,-,240,44KING,広島県,444,TATSU*,広島県,0,,-,0,,-
4th style,era (step mix),0,,-,1066,U-OTA*,広島県,1428,-AKI-,広島県,1719,MORBOL,広島県,0,,-
4th style,empathy,0,,-,806,RPN123,広島県,1314,MELT,広島県,1474,MORBOL,広島県,0,,-
4th style,DXY!,0,,-,1293,IBUKI*,広島県,1879,-AKI-,広島県,2244,IBUKI*,広島県,0,,-
4th style,Clione,0,,-,511,U-OTA*,広島県,907,U-OTA*,広島県,1611,-AKI-,広島県,2165,IBUKI*,広島県
4th style,CHECKING YOU OUT,0,,-,661,IBUKI*,広島県,889,KENRYU,広島県,1339,IBUKI*,広島県,0,,-
4th style,Burnin' The Floor,0,,-,570,U-OTA*,広島県,939,3.MPS*,広島県,1441,CO39LO,広島県,0,,-
4th style,Broken My Heart,0,,-,895,U-OTA*,広島県,1420,MELT,広島県,1807,-AKI-,広島県,0,,-
4th style,B4U,0,,-,1003,U-OTA*,広島県,1534,KENRYU,広島県,2012,NKNFAL,広島県,0,,-
4th style,ABSOLUTE,0,,-,1283,3439,広島県,1803,3.MPS*,広島県,2385,NKNFAL,広島県,2730,HVM,広島県
4th style,250bpm,0,,-,676,3439,広島県,1010,KENRYU,広島県,1425,CO39LO,広島県,0,,-
5th style,V,340,3439,広島県,1280,DEKAI,広島県,2504,-AKI-,広島県,2992,NKNFAL,広島県,0,,-
5th style,THE SHINING POLARIS,0,,-,941,STEEL*,広島県,1303,3.MPS*,広島県,1584,IBUKI*,広島県,0,,-
5th style,THE CUBE,0,,-,719,U-OTA*,広島県,1237,MELT,広島県,1360,G*GURA,広島県,0,,-
5th style,sync,0,,-,1060,HOLY,広島県,1894,KENRYU,広島県,2372,-AKI-,広島県,0,,-
5th style,still my words,0,,-,913,HOLY,広島県,1236,IBUKI*,広島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,992,3439,広島県,1347,3.MPS*,広島県,1922,NKNFAL,広島県,0,,-
5th style,Spin the disc,0,,-,763,RPN123,広島県,1283,KENRYU,広島県,1345,CO39LO,広島県,0,,-
5th style,sometime,0,,-,780,-AKI-,広島県,1051,-AKI-,広島県,1327,IBUKI*,広島県,0,,-
5th style,RISLIM,0,,-,904,HOLY,広島県,1230,G*GURA,広島県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,884,HOLY,広島県,1080,IBUKI*,広島県,1710,88KATU,広島県,1815,MORBOL,広島県
5th style,Regulus,0,,-,1038,3439,広島県,1497,KENRYU,広島県,1725,CO39LO,広島県,0,,-
