バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,R4P74N,山口県,1004,R4P74N,山口県,1155,ANMIL,山口県,0,,-
1st&substream,RUGGED ASH,0,,-,363,MER9RY,山口県,391,R4P74N,山口県,1098,ANMIL,山口県,2022,ANMIL,山口県
1st&substream,R3,0,,-,647,RINO,山口県,711,R4P74N,山口県,904,ANMIL,山口県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,551,R4P74N,山口県,733,R4P74N,山口県,1104,ANMIL,山口県,0,,-
1st&substream,Macho Gang,0,,-,370,R4P74N,山口県,1022,R4P74N,山口県,1618,ANMIL,山口県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,CPU-Z*,山口県,244,ANMIL,山口県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,849,R4P74N,山口県,959,R4P74N,山口県,1190,ANMIL,山口県,0,,-
1st&substream,gentle stress,0,,-,341,R4P74N,山口県,672,INUPAN,山口県,1447,RINO,山口県,0,,-
1st&substream,GENOM SCREAMS,0,,-,405,R4P74N,山口県,757,R4P74N,山口県,1068,ANMIL,山口県,0,,-
1st&substream,GAMBOL,0,,-,269,R4P74N,山口県,274,ANMIL,山口県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,397,R4P74N,山口県,505,MER9RY,山口県,577,ANMIL,山口県,0,,-
1st&substream,deep in you,0,,-,487,R4P74N,山口県,483,AZM!,山口県,660,ANMIL,山口県,0,,-
1st&substream,5.1.1.,0,,-,196,R4P74N,山口県,999,R4P74N,山口県,1566,ANMIL,山口県,0,,-
1st&substream,22DUNK,0,,-,520,JET3,山口県,629,R4P74N,山口県,653,ANMIL,山口県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,497,MER9RY,山口県,609,R4P74N,山口県,648,ANMIL,山口県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,566,R4P74N,山口県,855,ANMIL,山口県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,838,R4P74N,山口県,1053,R4P74N,山口県,1223,RINO,山口県,0,,-
2nd style,I Was The One,0,,-,519,R4P74N,山口県,625,MER9RY,山口県,691,ANMIL,山口県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,756,R4P74N,山口県,920,R4P74N,山口県,1070,ANMIL,山口県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,713,R4P74N,山口県,1012,R4P74N,山口県,1118,ANMIL,山口県,0,,-
2nd style,.59,0,,-,713,R4P74N,山口県,962,R4P74N,山口県,1149,18GOLD,山口県,0,,-
3rd style,THE SAFARI,362,R4P74N,山口県,1211,SONICO,山口県,1748,ANMIL,山口県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,280,R4P74N,山口県,396,ANMIL,山口県,0,,-,0,,-
3rd style,Skyscraper,0,,-,734,R4P74N,山口県,1181,SYOBOY,山口県,1238,ANMIL,山口県,0,,-
3rd style,Schlagwerk,0,,-,805,MOCHO,山口県,1260,R4P74N,山口県,1684,TOUYA,山口県,0,,-
3rd style,REINCARNATION,0,,-,815,R4P74N,山口県,1018,R4P74N,山口県,1271,ANMIL,山口県,0,,-
3rd style,R5,0,,-,759,R4P74N,山口県,1158,R4P74N,山口県,1766,ANMIL,山口県,0,,-
3rd style,Presto,0,,-,534,R4P74N,山口県,968,CPU-Z*,山口県,1006,ANMIL,山口県,0,,-
3rd style,LEADING CYBER,0,,-,823,R4P74N,山口県,1163,SYOBOY,山口県,1261,ANMIL,山口県,0,,-
3rd style,Holic,0,,-,764,R4P74N,山口県,1194,SHIROZ,山口県,1707,ANMIL,山口県,0,,-
3rd style,era (nostalmix),0,,-,833,RINO,山口県,1067,R4P74N,山口県,1523,RINO,山口県,0,,-
3rd style,Don't Stop!,0,,-,754,R4P74N,山口県,828,R4P74N,山口県,906,ANMIL,山口県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,608,R4P74N,山口県,1240,ANMIL,山口県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,903,R4P74N,山口県,1197,R4P74N,山口県,1321,ANMIL,山口県,0,,-
4th style,SWEET LAB,0,,-,537,R4P74N,山口県,956,SYOBOY,山口県,1352,ANMIL,山口県,0,,-
4th style,starmine,445,R4P74N,山口県,869,R4P74N,山口県,1397,R4P74N,山口県,1582,ANMIL,山口県,0,,-
4th style,Mr.T.(take me higher),0,,-,835,R4P74N,山口県,1000,R4P74N,山口県,1754,ANMIL,山口県,0,,-
4th style,minimalian,0,,-,531,R4P74N,山口県,1086,R4P74N,山口県,1405,ANMIL,山口県,0,,-
4th style,LOVE WILL・・・,0,,-,542,R4P74N,山口県,752,R4P74N,山口県,1457,ANMIL,山口県,0,,-
4th style,KAMIKAZE,0,,-,1014,R4P74N,山口県,1448,R4P74N,山口県,2285,ANMIL,山口県,0,,-
4th style,Jam&Marmalade,0,,-,744,R4P74N,山口県,886,R4P74N,山口県,1016,ANMIL,山口県,0,,-
4th style,Hitch Hiker2,0,,-,803,R4P74N,山口県,1182,R4P74N,山口県,1318,ANMIL,山口県,1928,KANBE,山口県
4th style,HIGHER,0,,-,524,R4P74N,山口県,917,SYOBOY,山口県,1277,ANMIL,山口県,0,,-
4th style,FLOWERS for ALBION,0,,-,236,R4P74N,山口県,438,CPU-Z*,山口県,0,,-,0,,-
4th style,era (step mix),0,,-,1078,R4P74N,山口県,1380,R4P74N,山口県,1703,RINO,山口県,0,,-
4th style,empathy,0,,-,803,R4P74N,山口県,1302,AADA,山口県,1451,ANMIL,山口県,0,,-
4th style,DXY!,0,,-,1243,R4P74N,山口県,1811,R4P74N,山口県,2228,ANMIL,山口県,0,,-
4th style,Clione,0,,-,514,R4P74N,山口県,933,R4P74N,山口県,1603,ANMIL,山口県,2151,ANMIL,山口県
4th style,CHECKING YOU OUT,0,,-,613,R4P74N,山口県,853,JUANMA,山口県,1313,ANMIL,山口県,0,,-
4th style,Burnin' The Floor,0,,-,566,R4P74N,山口県,941,R4P74N,山口県,1438,ANMIL,山口県,0,,-
4th style,Broken My Heart,0,,-,911,R4P74N,山口県,1412,R4P74N,山口県,1808,ANMIL,山口県,0,,-
4th style,B4U,0,,-,1046,R4P74N,山口県,1520,R4P74N,山口県,1993,ANMIL,山口県,0,,-
4th style,ABSOLUTE,0,,-,1303,R4P74N,山口県,1765,R4P74N,山口県,2359,ANMIL,山口県,2711,ANMIL,山口県
4th style,250bpm,0,,-,669,R4P74N,山口県,1001,R4P74N,山口県,1403,ANMIL,山口県,0,,-
5th style,V,343,R4P74N,山口県,1246,R4P74N,山口県,2467,CPU-Z*,山口県,2970,ANMIL,山口県,0,,-
5th style,THE SHINING POLARIS,0,,-,930,R4P74N,山口県,1293,R4P74N,山口県,1584,KANBE,山口県,0,,-
5th style,THE CUBE,0,,-,725,R4P74N,山口県,1257,R4P74N,山口県,1349,RINO,山口県,0,,-
5th style,sync,0,,-,1067,R4P74N,山口県,1860,R4P74N,山口県,2368,ANMIL,山口県,0,,-
5th style,still my words,0,,-,906,R4P74N,山口県,1231,ANMIL,山口県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,984,R4P74N,山口県,1314,18GOLD,山口県,1920,ANMIL,山口県,0,,-
5th style,Spin the disc,0,,-,790,R4P74N,山口県,1268,CPU-Z*,山口県,1331,ANMIL,山口県,0,,-
5th style,sometime,0,,-,762,R4P74N,山口県,1049,R4P74N,山口県,1327,RINO,山口県,0,,-
5th style,RISLIM,0,,-,888,R4P74N,山口県,1220,&#9191,山口県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,887,R4P74N,山口県,1069,R4P74N,山口県,1711,ANMIL,山口県,1836,RINO,山口県
5th style,Regulus,0,,-,1063,R4P74N,山口県,1487,R4P74N,山口県,1700,ANMIL,山口県,0,,-
5th style,Real,0,,-,1104,R4P74N,山口県,1604,R4P74N,山口県,1814,RINO,山口県,0,,-
5th style,Radical Faith,0,,-,1171,R4P74N,山口県,1473,R4P74N,山口県,1301,ANMIL,山口県,0,,-
5th style,QQQ,0,,-,1208,R4P74N,山口県,1881,TOUYA,山口県,2147,TOUYA,山口県,0,,-
5th style,outer wall,0,,-,908,R4P74N,山口県,1325,R4P74N,山口県,1747,ANMIL,山口県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,758,R4P74N,山口県,986,R4P74N,山口県,1121,ANMIL,山口県,0,,-
5th style,in my eyes,0,,-,951,R4P74N,山口県,1425,R4P74N,山口県,1580,ANMIL,山口県,0,,-
5th style,Abyss,0,,-,1247,R4P74N,山口県,1609,TOUYA,山口県,1872,ANMIL,山口県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,996,MER9RY,山口県,1549,CPU-Z*,山口県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,844,R4P74N,山口県,1265,R4P74N,山口県,1384,ANMIL,山口県,0,,-
