バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,694,POOH$,徳島県,1022,12EX65,徳島県,1143,KOUIKA,徳島県,0,,-
1st&substream,RUGGED ASH,0,,-,335,BAER..,徳島県,393,SOL!D.,徳島県,1095,L#RUKA,徳島県,2015,L#RUKA,徳島県
1st&substream,R3,0,,-,616,LKAR,徳島県,710,LKAR,徳島県,899,L#RUKA,徳島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,517,917YCH,徳島県,724,SOL!D,徳島県,1113,L#RUKA,徳島県,0,,-
1st&substream,Macho Gang,0,,-,368,AROMA,徳島県,1019,SHU1,徳島県,1591,L#RUKA,徳島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,12EX57,徳島県,242,KOUIKA,徳島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,799,RYOU,徳島県,966,SHU1,徳島県,1202,KOUIKA,徳島県,0,,-
1st&substream,gentle stress,0,,-,331,BECE,徳島県,649,LKAR,徳島県,1433,L#RUKA,徳島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,387,K,徳島県,803,GOQURI,徳島県,1068,L#RUKA,徳島県,0,,-
1st&substream,GAMBOL,0,,-,268,12EX65,徳島県,274,KOUIKA,徳島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,364,.,徳島県,487,SHU1,徳島県,579,L#RUKA,徳島県,0,,-
1st&substream,deep in you,0,,-,470,SHU1,徳島県,470,SOL!D,徳島県,650,L#RUKA,徳島県,0,,-
1st&substream,5.1.1.,0,,-,183,LEUCIS,徳島県,1002,ORE,徳島県,1562,L#RUKA,徳島県,0,,-
1st&substream,22DUNK,0,,-,463,OCHAZK,徳島県,620,LKAR,徳島県,650,L#RUKA,徳島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,476,K,徳島県,602,SOL!D,徳島県,648,L#RUKA,徳島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,573,CROSS,徳島県,847,MA-KUN,徳島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,747,LEUCIS,徳島県,1091,LKAR,徳島県,1212,L#RUKA,徳島県,0,,-
2nd style,I Was The One,0,,-,502,BAER..,徳島県,643,KOUIKA,徳島県,683,MA-KUN,徳島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,737,#!-$.?,徳島県,872,#!-$.?,徳島県,1059,L#RUKA,徳島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,602,LEUCIS,徳島県,1032,LKAR,徳島県,1104,LED-X,徳島県,0,,-
2nd style,.59,0,,-,610,LEUCIS,徳島県,989,O-TA13,徳島県,1136,L#RUKA,徳島県,0,,-
3rd style,THE SAFARI,356,LKAR,徳島県,1179,SHU1,徳島県,1762,L#RUKA,徳島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,250,LEUCIS,徳島県,393,KOUIKA,徳島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,615,LEUCIS,徳島県,1100,ORE,徳島県,1243,MA-KUN,徳島県,0,,-
3rd style,Schlagwerk,0,,-,700,LEUCIS,徳島県,1062,LEUCIS,徳島県,1681,L#RUKA,徳島県,0,,-
3rd style,REINCARNATION,0,,-,744,LEUCIS,徳島県,959,ORE,徳島県,1239,AROMA,徳島県,0,,-
3rd style,R5,0,,-,758,SHU1,徳島県,1130,HAZUKI,徳島県,1751,OMAERA,徳島県,0,,-
3rd style,Presto,0,,-,456,LEUCIS,徳島県,953,12EX55,徳島県,1007,L#RUKA,徳島県,0,,-
3rd style,LEADING CYBER,0,,-,748,LEUCIS,徳島県,1147,LKAR,徳島県,1254,KOUIKA,徳島県,0,,-
3rd style,Holic,0,,-,675,KIRLN,徳島県,1178,LKAR,徳島県,1701,L#...Y,徳島県,0,,-
3rd style,era (nostalmix),0,,-,768,QUE,徳島県,1065,NIGIRI,徳島県,1510,L#RUKA,徳島県,0,,-
3rd style,Don't Stop!,0,,-,689,DGT4U,徳島県,785,BAER..,徳島県,900,L#...Y,徳島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,562,LEUCIS,徳島県,1251,L#...Y,徳島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,818,LNK-R,徳島県,1238,KOUIKA,徳島県,1323,L#RUKA,徳島県,0,,-
4th style,SWEET LAB,0,,-,448,LEUCIS,徳島県,847,ORE,徳島県,1346,L#RUKA,徳島県,0,,-
4th style,starmine,434,LKAR,徳島県,830,K,徳島県,1404,KOUIKA,徳島県,1585,L#RUKA,徳島県,0,,-
4th style,Mr.T.(take me higher),0,,-,703,.,徳島県,942,BB-SVN,徳島県,1752,L#RUKA,徳島県,0,,-
4th style,minimalian,0,,-,499,TELU,徳島県,1055,DG192,徳島県,1398,L#RUKA,徳島県,0,,-
4th style,LOVE WILL・・・,0,,-,471,TIKUWA,徳島県,729,SHU1,徳島県,1458,MA-KUN,徳島県,0,,-
4th style,KAMIKAZE,0,,-,897,BLD,徳島県,1369,ORE,徳島県,2221,NIGIRI,徳島県,0,,-
4th style,Jam&Marmalade,0,,-,647,GJAKIT,徳島県,878,SHU1,徳島県,1004,L#...Y,徳島県,0,,-
4th style,Hitch Hiker2,0,,-,661,LEUCIS,徳島県,1088,ORE,徳島県,1308,MA-KUN,徳島県,1934,L#RUKA,徳島県
4th style,HIGHER,0,,-,467,LEUCIS,徳島県,905,SHU1,徳島県,1261,RIN5*,徳島県,0,,-
4th style,FLOWERS for ALBION,0,,-,228,BAER..,徳島県,441,L#...Y,徳島県,0,,-,0,,-
4th style,era (step mix),0,,-,979,LEUCIS,徳島県,1354,3U778,徳島県,1694,L#RUKA,徳島県,0,,-
4th style,empathy,0,,-,758,LEUCIS,徳島県,1299,SHU1,徳島県,1458,L#RUKA,徳島県,0,,-
4th style,DXY!,0,,-,1192,SHU1,徳島県,1808,TATZTO,徳島県,2202,L#RUKA,徳島県,0,,-
4th style,Clione,0,,-,468,TARGA?,徳島県,838,SHU1,徳島県,1604,L#RUKA,徳島県,2164,L#RUKA,徳島県
4th style,CHECKING YOU OUT,0,,-,595,-LNK-,徳島県,879,ITALY3,徳島県,1326,L#RUKA,徳島県,0,,-
4th style,Burnin' The Floor,0,,-,499,LEUCIS,徳島県,836,AKAI-S,徳島県,1433,L#RUKA,徳島県,0,,-
4th style,Broken My Heart,0,,-,803,ORE,徳島県,1396,SHU1,徳島県,1806,L#RUKA,徳島県,0,,-
4th style,B4U,0,,-,917,LEUCIS,徳島県,1544,Q*ANON,徳島県,2001,L#RUKA,徳島県,0,,-
4th style,ABSOLUTE,0,,-,1140,LEUCIS,徳島県,1698,FELMA,徳島県,2376,L#RUKA,徳島県,2714,L#RUKA,徳島県
4th style,250bpm,0,,-,672,12EX65,徳島県,999,SHU1,徳島県,1421,L#RUKA,徳島県,0,,-
5th style,V,335,LKAR,徳島県,1171,ORE,徳島県,2458,O-TA13,徳島県,2993,L#RUKA,徳島県,0,,-
5th style,THE SHINING POLARIS,0,,-,887,ORE,徳島県,1274,SHU1,徳島県,1583,L#RUKA,徳島県,0,,-
5th style,THE CUBE,0,,-,619,LEUCIS,徳島県,1233,12EX34,徳島県,1346,L#RUKA,徳島県,0,,-
5th style,sync,0,,-,991,AREST,徳島県,1835,SHU1,徳島県,2371,L#RUKA,徳島県,0,,-
5th style,still my words,0,,-,823,LEUCIS,徳島県,1225,L#...Y,徳島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,967,ORE,徳島県,1304,SHU1,徳島県,1891,L#RUKA,徳島県,0,,-
