バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,739,T,香川県,1004,TK,香川県,1153,F.NYN,香川県,0,,-
1st&substream,RUGGED ASH,0,,-,360,R,香川県,383,T,香川県,1086,F.NYN,香川県,2022,OHMZSE,香川県
1st&substream,R3,0,,-,620,T,香川県,732,OHMZSE,香川県,893,9-NYA,香川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,TOMY,香川県,725,TK,香川県,1088,VAN4,香川県,0,,-
1st&substream,Macho Gang,0,,-,375,VAN35,香川県,1019,MTMT,香川県,1609,VAN3,香川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,KIKYO,香川県,244,F.NYN,香川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,836,SUBARU,香川県,949,TK,香川県,1159,KIKYO,香川県,0,,-
1st&substream,gentle stress,0,,-,335,H1RO,香川県,664,TK,香川県,1456,F.NYN,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,398,T,香川県,803,REW,香川県,1069,VAN3,香川県,0,,-
1st&substream,GAMBOL,0,,-,267,SUBARU,香川県,273,A.GR-V,香川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,R,香川県,511,TK,香川県,570,KIKYO,香川県,0,,-
1st&substream,deep in you,0,,-,463,CRAYON,香川県,499,TK,香川県,662,F.NYN,香川県,0,,-
1st&substream,5.1.1.,0,,-,194,TTT,香川県,1009,F.NYN,香川県,1570,VAN3,香川県,0,,-
1st&substream,22DUNK,0,,-,497,T,香川県,626,CHIRO,香川県,641,JINJER,香川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,493,T,香川県,609,KIKYO,香川県,644,F.NYN,香川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,574,KIKYO,香川県,846,3LIKE,香川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,817,T,香川県,1047,TK,香川県,1234,F.NYN,香川県,0,,-
2nd style,I Was The One,0,,-,515,T,香川県,634,VAN4,香川県,693,LOW,香川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,733,T,香川県,917,TK,香川県,1057,S.W.M,香川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,704,TOMY,香川県,1025,TK,香川県,1106,F.NYN,香川県,0,,-
2nd style,.59,0,,-,680,T,香川県,955,TOMY,香川県,1157,F.NYN,香川県,0,,-
3rd style,THE SAFARI,364,KIKYO,香川県,1138,TK,香川県,1767,VAN3,香川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,274,R,香川県,391,VAN3,香川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,721,TK,香川県,1165,TK,香川県,1248,F.NYN,香川県,0,,-
3rd style,Schlagwerk,0,,-,791,TK,香川県,1255,TK,香川県,1686,VAN3,香川県,0,,-
3rd style,REINCARNATION,0,,-,817,TK,香川県,999,TK,香川県,1280,F.NYN,香川県,0,,-
3rd style,R5,0,,-,755,H1RO,香川県,1137,LOBM,香川県,1774,F.NYN,香川県,0,,-
3rd style,Presto,0,,-,514,T,香川県,945,M-2-BR,香川県,995,VAN3,香川県,0,,-
3rd style,LEADING CYBER,0,,-,822,TK,香川県,1148,3982,香川県,1221,IRU.CA,香川県,0,,-
3rd style,Holic,0,,-,749,H1RO,香川県,1201,KANU,香川県,1745,OHMZSE,香川県,0,,-
3rd style,era (nostalmix),0,,-,825,H1RO,香川県,1069,VAN3,香川県,1532,WL1,香川県,0,,-
3rd style,Don't Stop!,0,,-,750,TK,香川県,835,TK,香川県,903,F.NYN,香川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,583,T,香川県,1209,M-2-BR,香川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,897,TK,香川県,1242,OHMZSE,香川県,1330,OHMZSE,香川県,0,,-
4th style,SWEET LAB,0,,-,539,VAN73,香川県,905,TK,香川県,1375,F.NYN,香川県,0,,-
4th style,starmine,445,KIKYO,香川県,871,T,香川県,1428,OHMZSE,香川県,1588,VAN3,香川県,0,,-
4th style,Mr.T.(take me higher),0,,-,803,TK,香川県,942,MIKAGE,香川県,1771,F.NYN,香川県,0,,-
4th style,minimalian,0,,-,497,IIDX31,香川県,1047,02564!,香川県,1412,OHMZSE,香川県,0,,-
4th style,LOVE WILL・・・,0,,-,545,TK,香川県,730,TK,香川県,1458,F.NYN,香川県,0,,-
4th style,KAMIKAZE,0,,-,1001,TK,香川県,1386,S*CHIY,香川県,2287,VAN3,香川県,0,,-
4th style,Jam&Marmalade,0,,-,743,T,香川県,844,S*CHIY,香川県,1020,OHMZSE,香川県,0,,-
4th style,Hitch Hiker2,0,,-,793,TK,香川県,1119,TOMY,香川県,1314,VAN3,香川県,1929,VAN3,香川県
4th style,HIGHER,0,,-,529,TK,香川県,904,NINA**,香川県,1279,F.NYN,香川県,0,,-
4th style,FLOWERS for ALBION,0,,-,235,ADB,香川県,438,F.NYN,香川県,0,,-,0,,-
4th style,era (step mix),0,,-,1097,TRD*N,香川県,1444,F.NYN,香川県,1718,VAN3,香川県,0,,-
4th style,empathy,0,,-,813,TK,香川県,1262,H1RO,香川県,1445,VAN3,香川県,0,,-
4th style,DXY!,0,,-,1199,TK,香川県,1829,VAN3,香川県,2279,F.NYN,香川県,0,,-
4th style,Clione,0,,-,513,TOMY,香川県,921,TK,香川県,1604,VAN3,香川県,2177,VAN3,香川県
4th style,CHECKING YOU OUT,0,,-,611,PIKMIN,香川県,915,F.NYN,香川県,1359,VAN3,香川県,0,,-
4th style,Burnin' The Floor,0,,-,563,TOMY,香川県,938,TK,香川県,1439,VAN3,香川県,0,,-
4th style,Broken My Heart,0,,-,885,TK,香川県,1343,TOMY,香川県,1826,F.NYN,香川県,0,,-
4th style,B4U,0,,-,1032,TK,香川県,1469,H1RO,香川県,2020,OHMZSE,香川県,0,,-
4th style,ABSOLUTE,0,,-,1280,TK,香川県,1747,D#RICE,香川県,2394,VAN3,香川県,2757,VAN3,香川県
4th style,250bpm,0,,-,651,TK,香川県,989,TRIGON,香川県,1423,VAN3,香川県,0,,-
5th style,V,342,TOMY,香川県,1229,TK,香川県,2487,VAN3,香川県,3032,OHMZSE,香川県,0,,-
5th style,THE SHINING POLARIS,0,,-,936,TOMY,香川県,1242,S*CHIY,香川県,1578,VAN3,香川県,0,,-
