バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,711,TAPI,愛媛県,1022,PG,愛媛県,1151,45NYAN,愛媛県,0,,-
1st&substream,RUGGED ASH,0,,-,347,4141*R,愛媛県,393,QUIU,愛媛県,1081,GLG13,愛媛県,2011,45NYAN,愛媛県
1st&substream,R3,0,,-,622,TORI,愛媛県,715,TAKOSS,愛媛県,900,OSE-9,愛媛県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,535,VOLT,愛媛県,734,BA4MET,愛媛県,1101,45NYAN,愛媛県,0,,-
1st&substream,Macho Gang,0,,-,376,18KING,愛媛県,1058,BA4MET,愛媛県,1629,45NYAN,愛媛県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TONKO2,愛媛県,243,18KING,愛媛県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,831,YO4NO,愛媛県,942,BA4MET,愛媛県,1187,762,愛媛県,0,,-
1st&substream,gentle stress,0,,-,338,MT2Y0H,愛媛県,662,XU,愛媛県,1448,45NYAN,愛媛県,0,,-
1st&substream,GENOM SCREAMS,0,,-,396,TA2,愛媛県,794,PG,愛媛県,1069,45NYAN,愛媛県,0,,-
1st&substream,GAMBOL,0,,-,272,TORI,愛媛県,272,PNSP!!,愛媛県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,Z0RA,愛媛県,509,BA4MET,愛媛県,566,18KING,愛媛県,0,,-
1st&substream,deep in you,0,,-,435,ZETUEI,愛媛県,485,POMI,愛媛県,653,18KING,愛媛県,0,,-
1st&substream,5.1.1.,0,,-,197,POMI,愛媛県,1009,NYAN8S,愛媛県,1562,HA4MOT,愛媛県,0,,-
1st&substream,22DUNK,0,,-,497,VOLT,愛媛県,627,BA4MET,愛媛県,642,18KING,愛媛県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,487,YO4NO,愛媛県,613,ZETUEI,愛媛県,645,TORI10,愛媛県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,534,4141*R,愛媛県,852,PNSP!!,愛媛県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,808,SWITCH,愛媛県,1069,BA4MET,愛媛県,1208,45NYAN,愛媛県,0,,-
2nd style,I Was The One,0,,-,531,*78-R*,愛媛県,634,GONTA#,愛媛県,687,HA4MOT,愛媛県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,722,VOLT,愛媛県,948,ARU,愛媛県,1054,ANROCO,愛媛県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,670,MENDES,愛媛県,1006,BA4MET,愛媛県,1117,18KING,愛媛県,0,,-
2nd style,.59,0,,-,683,VOLT,愛媛県,963,BA4MET,愛媛県,1143,P*4JUN,愛媛県,0,,-
3rd style,THE SAFARI,359,Z0RA,愛媛県,1195,SWITCH,愛媛県,1751,*MSX*,愛媛県,0,,-,0,,-
