バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,739,CANON*,高知県,1011,ILLYA.,高知県,1150,Z,高知県,0,,-
1st&substream,RUGGED ASH,0,,-,352,CANON*,高知県,402,NOIK.K,高知県,1082,NOIK.K,高知県,1989,BIO4RE,高知県
1st&substream,R3,0,,-,619,NEROON,高知県,729,NOIK.K,高知県,900,3-EDGE,高知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,550,ILLYA.,高知県,745,ILLYA.,高知県,1091,Z,高知県,0,,-
1st&substream,Macho Gang,0,,-,373,ILLYA.,高知県,966,SEA&,高知県,1597,3-EDGE,高知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,ZK-2,高知県,244,3-EDGE,高知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,ILLYA.,高知県,923,FKK22,高知県,1197,3-EDGE,高知県,0,,-
1st&substream,gentle stress,0,,-,342,SHAULA,高知県,669,RARUKA,高知県,1427,3-EDGE,高知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,307,KIRO.,高知県,794,ILLYA.,高知県,1057,3-EDGE,高知県,0,,-
1st&substream,GAMBOL,0,,-,273,SHAULA,高知県,274,ZK-2,高知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,RAAJJE,高知県,499,ILLYA.,高知県,578,ZK-2,高知県,0,,-
1st&substream,deep in you,0,,-,475,TOGE,高知県,493,ILLYA.,高知県,657,SHAULA,高知県,0,,-
1st&substream,5.1.1.,0,,-,198,ZAMAX2,高知県,1012,ZAMAX2,高知県,1565,UNKMP3,高知県,0,,-
1st&substream,22DUNK,0,,-,514,KORIN,高知県,613,WONG!!,高知県,646,3-EDGE,高知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,431,ANTBOI,高知県,612,FKK22,高知県,646,3-EDGE,高知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,526,RAAJJE,高知県,858,3-EDGE,高知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,852,ILLYA.,高知県,1072,ILLYA.,高知県,1197,SHAULA,高知県,0,,-
2nd style,I Was The One,0,,-,488,NEGOTO,高知県,622,WONG!!,高知県,689,3-EDGE,高知県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,525,LILIA,高知県,915,16-BIT,高知県,1064,3-EDGE,高知県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,433,DEEF.,高知県,1000,WONG!!,高知県,1122,3-EDGE,高知県,0,,-
2nd style,.59,0,,-,655,NEROON,高知県,1007,NOIK.K,高知県,1142,3-EDGE,高知県,0,,-
3rd style,THE SAFARI,363,ILLYA.,高知県,1210,UNKMP3,高知県,1752,Z,高知県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,183,MUCKY,高知県,394,3-EDGE,高知県,0,,-,0,,-
3rd style,Skyscraper,0,,-,469,KIRO.,高知県,1128,WONG!!,高知県,1249,3-EDGE,高知県,0,,-
3rd style,Schlagwerk,0,,-,637,KIRO.,高知県,1216,FKK22,高知県,1655,3-EDGE,高知県,0,,-
3rd style,REINCARNATION,0,,-,812,CL-CIL,高知県,949,FKK22,高知県,1260,Z,高知県,0,,-
3rd style,R5,0,,-,759,CREAM*,高知県,1148,CREAM*,高知県,1761,J-SON3,高知県,0,,-
3rd style,Presto,0,,-,487,PUKE*A,高知県,965,NOIK.K,高知県,1003,3-EDGE,高知県,0,,-
3rd style,LEADING CYBER,0,,-,528,MAYU.,高知県,1140,CL-CIL,高知県,1251,3-EDGE,高知県,0,,-
3rd style,Holic,0,,-,756,ILLYA.,高知県,1157,WONG!!,高知県,1693,BIO4RE,高知県,0,,-
3rd style,era (nostalmix),0,,-,813,RAAJJE,高知県,1080,J-SON3,高知県,1489,ZK-2,高知県,0,,-
3rd style,Don't Stop!,0,,-,757,ILLYA.,高知県,828,CL-CIL,高知県,901,ZK-2,高知県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,578,IIDX27,高知県,1245,UNKMP3,高知県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,894,FKK22,高知県,1212,ZK-2,高知県,1309,Z,高知県,0,,-
4th style,SWEET LAB,0,,-,527,CL-CIL,高知県,912,ILLYA.,高知県,1349,3-EDGE,高知県,0,,-
4th style,starmine,442,SHAULA,高知県,862,FKK22,高知県,1417,3-EDGE,高知県,1557,ZK-2,高知県,0,,-
4th style,Mr.T.(take me higher),0,,-,595,MAYU.,高知県,954,PUKE*A,高知県,1734,3-EDGE,高知県,0,,-
4th style,minimalian,0,,-,360,EISUKE,高知県,1088,Z,高知県,1393,NOIK.K,高知県,0,,-
4th style,LOVE WILL・・・,0,,-,359,TANAKA,高知県,757,NOIK.K,高知県,1457,NOIK.K,高知県,0,,-
4th style,KAMIKAZE,0,,-,983,FKK22,高知県,1454,SURTR,高知県,2256,ZK-2,高知県,0,,-
4th style,Jam&Marmalade,0,,-,738,FKK22,高知県,865,ZK-2,高知県,1016,3-EDGE,高知県,0,,-
4th style,Hitch Hiker2,0,,-,702,BULL-D,高知県,1136,FKK22,高知県,1297,SHAULA,高知県,1904,3-EDGE,高知県
4th style,HIGHER,0,,-,442,NOPI,高知県,878,WONG!!,高知県,1265,3-EDGE,高知県,0,,-
4th style,FLOWERS for ALBION,0,,-,243,ZK-2,高知県,444,ZK-2,高知県,0,,-,0,,-
4th style,era (step mix),0,,-,1048,FKK22,高知県,1399,J-SON3,高知県,1693,Z,高知県,0,,-
4th style,empathy,0,,-,702,BULL-D,高知県,1297,ILLYA.,高知県,1430,3-EDGE,高知県,0,,-
4th style,DXY!,0,,-,1248,VTUBER,高知県,1828,J-SON3,高知県,2191,Z,高知県,0,,-
4th style,Clione,0,,-,457,WONG!!,高知県,908,FKK22,高知県,1601,Z,高知県,2147,BIO4RE,高知県
4th style,CHECKING YOU OUT,0,,-,613,BALSAN,高知県,872,ZK-2,高知県,1322,Z,高知県,0,,-
4th style,Burnin' The Floor,0,,-,554,IIDX27,高知県,895,WONG!!,高知県,1438,Z,高知県,0,,-
