バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,755,NOEL*,福岡県,1042,D.C.II,福岡県,1160,KENTAN,福岡県,0,,-
1st&substream,RUGGED ASH,0,,-,358,ROGA,福岡県,402,CARROT,福岡県,1105,LOOT,福岡県,2071,SOMORI,福岡県
1st&substream,R3,0,,-,652,CARROT,福岡県,734,CARROT,福岡県,905,CARROT,福岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,539,G4ZERV,福岡県,727,O.T!,福岡県,1118,MR2N,福岡県,0,,-
1st&substream,Macho Gang,0,,-,382,CARROT,福岡県,1023,MOKA,福岡県,1650,MR2N,福岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,TAG,福岡県,244,CARROT,福岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,861,NORTH,福岡県,961,YAPPO3,福岡県,1207,MR2N,福岡県,0,,-
1st&substream,gentle stress,0,,-,344,CARROT,福岡県,683,CARROT,福岡県,1454,LOOT,福岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,419,...4,福岡県,826,CARROT,福岡県,1064,LOOT,福岡県,0,,-
1st&substream,GAMBOL,0,,-,274,.TXT,福岡県,274,CARROT,福岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,CARROT,福岡県,522,CARROT,福岡県,578,KENTAN,福岡県,0,,-
1st&substream,deep in you,0,,-,487,.TXT,福岡県,506,MR2N,福岡県,666,MR2N,福岡県,0,,-
1st&substream,5.1.1.,0,,-,197,KOH,福岡県,1019,CARROT,福岡県,1571,LOOT,福岡県,0,,-
1st&substream,22DUNK,0,,-,530,CARROT,福岡県,642,CARROT,福岡県,657,SOSEI,福岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,CARROT,福岡県,612,ROGA,福岡県,648,CARROT,福岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,545,GR,福岡県,864,MR2N,福岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,882,CARROT,福岡県,1097,X-AURA,福岡県,1226,KURIBO,福岡県,0,,-
2nd style,I Was The One,0,,-,521,BEEYAN,福岡県,651,CARROT,福岡県,694,CARROT,福岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,746,NOEL*,福岡県,936,ROGA,福岡県,1072,VLF,福岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,711,NOEL*,福岡県,987,ROGA,福岡県,1130,MR2N,福岡県,0,,-
2nd style,.59,0,,-,704,E,福岡県,1001,IIDX31,福岡県,1162,SOSEI,福岡県,0,,-
3rd style,THE SAFARI,366,CARROT,福岡県,1229,CARROT,福岡県,1764,TIHAYA,福岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,272,JPFUO,福岡県,396,CARROT,福岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,742,CARROT,福岡県,1156,ROGA,福岡県,1250,MR2N,福岡県,0,,-
3rd style,Schlagwerk,0,,-,827,CARROT,福岡県,1268,MULL,福岡県,1692,KENTAN,福岡県,0,,-
