バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,749,E.CH4N,佐賀県,977,E.CH4N,佐賀県,1146,SAGE.M,佐賀県,0,,-
1st&substream,RUGGED ASH,0,,-,361,97....,佐賀県,396,FR.SUU,佐賀県,1044,HF,佐賀県,1950,MARORO,佐賀県
1st&substream,R3,0,,-,649,CL,佐賀県,704,KKR*,佐賀県,901,MARORO,佐賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,532,INSUKE,佐賀県,717,21,佐賀県,1107,MARORO,佐賀県,0,,-
1st&substream,Macho Gang,0,,-,378,SAGE.M,佐賀県,1013,SATUKI,佐賀県,1526,G.Y,佐賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,MARORO,佐賀県,243,MARORO,佐賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,834,E.CH4N,佐賀県,936,21,佐賀県,1168,HF,佐賀県,0,,-
1st&substream,gentle stress,0,,-,337,INSUKE,佐賀県,662,INSUKE,佐賀県,1408,R41C,佐賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,408,INSUKE,佐賀県,799,ADA.W,佐賀県,1055,SAGE.M,佐賀県,0,,-
1st&substream,GAMBOL,0,,-,266,FR.SUU,佐賀県,265,NUMMY,佐賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,A,佐賀県,504,PEC0,佐賀県,562,HF,佐賀県,0,,-
1st&substream,deep in you,0,,-,471,A,佐賀県,488,INSUKE,佐賀県,643,AMT*25,佐賀県,0,,-
1st&substream,5.1.1.,0,,-,195,HF,佐賀県,1001,DIARY,佐賀県,1559,SAGE.M,佐賀県,0,,-
1st&substream,22DUNK,0,,-,494,INSUKE,佐賀県,624,KKR*,佐賀県,635,INSUKE,佐賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,501,INSUKE,佐賀県,607,FR.SUU,佐賀県,644,MARORO,佐賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,INSUKE,佐賀県,857,SAGE.M,佐賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,830,E.CH4N,佐賀県,1077,3710.A,佐賀県,1213,SAGE.M,佐賀県,0,,-
2nd style,I Was The One,0,,-,513,INSUKE,佐賀県,621,INSUKE,佐賀県,689,MARORO,佐賀県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,733,A,佐賀県,938,ECHK,佐賀県,1037,ZAP.,佐賀県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,697,INSUKE,佐賀県,950,E.CH4N,佐賀県,1121,MARORO,佐賀県,0,,-
2nd style,.59,0,,-,692,INSUKE,佐賀県,958,E.CH4N,佐賀県,1101,WATTMA,佐賀県,0,,-
3rd style,THE SAFARI,358,A,佐賀県,1182,FUGA,佐賀県,1760,MARORO,佐賀県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,INSUKE,佐賀県,391,MARORO,佐賀県,0,,-,0,,-
3rd style,Skyscraper,0,,-,712,INSUKE,佐賀県,1167,WYY,佐賀県,1222,MARORO,佐賀県,0,,-
3rd style,Schlagwerk,0,,-,785,INSUKE,佐賀県,1217,ACTY-7,佐賀県,1677,SAGE.M,佐賀県,0,,-
3rd style,REINCARNATION,0,,-,816,INSUKE,佐賀県,955,FR.SUU,佐賀県,1228,ZAP.,佐賀県,0,,-
3rd style,R5,0,,-,747,E.CH4N,佐賀県,1129,INSUKE,佐賀県,1747,MARORO,佐賀県,0,,-
3rd style,Presto,0,,-,514,INSUKE,佐賀県,933,BR-OJI,佐賀県,989,SYUN,佐賀県,0,,-
3rd style,LEADING CYBER,0,,-,805,INSUKE,佐賀県,1116,21,佐賀県,1212,ZAP.,佐賀県,0,,-
3rd style,Holic,0,,-,748,E.CH4N,佐賀県,1183,SYUN,佐賀県,1699,MARORO,佐賀県,0,,-
3rd style,era (nostalmix),0,,-,830,E.CH4N,佐賀県,1078,SAGE.M,佐賀県,1493,SAGE.M,佐賀県,0,,-
3rd style,Don't Stop!,0,,-,752,FR.SUU,佐賀県,823,INSUKE,佐賀県,894,MARORO,佐賀県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,598,A,佐賀県,1251,MARORO,佐賀県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,908,INSUKE,佐賀県,1171,MARORO,佐賀県,1290,SAGE.M,佐賀県,0,,-
4th style,SWEET LAB,0,,-,523,SILO89,佐賀県,914,SATUKI,佐賀県,1351,SAGE.M,佐賀県,0,,-
4th style,starmine,442,HIRO.F,佐賀県,874,TOKEY*,佐賀県,1376,HF,佐賀県,1573,SAGE.M,佐賀県,0,,-
4th style,Mr.T.(take me higher),0,,-,816,INSUKE,佐賀県,1011,MARORO,佐賀県,1747,MARORO,佐賀県,0,,-
4th style,minimalian,0,,-,515,INSUKE,佐賀県,1027,INSUKE,佐賀県,1376,CL,佐賀県,0,,-
4th style,LOVE WILL・・・,0,,-,534,A,佐賀県,737,FR.SUU,佐賀県,1424,ADA.W,佐賀県,0,,-
