バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,736,ROBROY,長崎県,989,ABABA,長崎県,1141,HITA*,長崎県,0,,-
1st&substream,RUGGED ASH,0,,-,369,SAYO**,長崎県,386,SLIVER,長崎県,1059,MOCCOS,長崎県,1999,GOTHIC,長崎県
1st&substream,R3,0,,-,619,ROBROY,長崎県,729,UDA,長崎県,894,HEIPOP,長崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,541,ROBROY,長崎県,725,AOI*,長崎県,1092,HEIPON,長崎県,0,,-
1st&substream,Macho Gang,0,,-,370,ROBROY,長崎県,1029,SHIURA,長崎県,1646,1318,長崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,Z-GIRL,長崎県,244,COCOA.,長崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,849,DAIKI*,長崎県,916,SHIURA,長崎県,1182,HEIPON,長崎県,0,,-
1st&substream,gentle stress,0,,-,342,ROBROY,長崎県,661,HEIPON,長崎県,1433,UDA,長崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,401,ROBROY,長崎県,823,UDA,長崎県,1054,UDA,長崎県,0,,-
1st&substream,GAMBOL,0,,-,271,SAYO**,長崎県,274,HEIPON,長崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,ROBROY,長崎県,507,SHIURA,長崎県,576,HEIPOP,長崎県,0,,-
1st&substream,deep in you,0,,-,473,ROBROY,長崎県,502,UDA,長崎県,657,HEIPON,長崎県,0,,-
1st&substream,5.1.1.,0,,-,194,TAU,長崎県,997,SAYO**,長崎県,1556,RIS.CT,長崎県,0,,-
1st&substream,22DUNK,0,,-,517,SG2.,長崎県,601,HAGE,長崎県,649,HEIPON,長崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,489,ROBROY,長崎県,614,SAYO**,長崎県,644,LAMY,長崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,554,ROBROY,長崎県,852,RIS.CT,長崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,846,ABABA,長崎県,1065,ABABA,長崎県,1204,P,長崎県,0,,-
2nd style,I Was The One,0,,-,522,ROBROY,長崎県,632,SHIURA,長崎県,684,SAYO**,長崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,749,ARCAEA,長崎県,912,ABABA,長崎県,1040,HEIPON,長崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,701,ROBROY,長崎県,1005,SHIURA,長崎県,1104,HEIPON,長崎県,0,,-
2nd style,.59,0,,-,644,ROBROY,長崎県,985,SAYO**,長崎県,1144,UDA,長崎県,0,,-
3rd style,THE SAFARI,361,ROBROY,長崎県,1067,ROBROY,長崎県,1749,GOTHIC,長崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,ROBROY,長崎県,394,RIS.CT,長崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,699,ABABA,長崎県,1157,SAYO**,長崎県,1233,HEIPON,長崎県,0,,-
3rd style,Schlagwerk,0,,-,747,ROBROY,長崎県,1238,SHIURA,長崎県,1662,HITA*,長崎県,0,,-
3rd style,REINCARNATION,0,,-,809,ROBROY,長崎県,961,YUA*M,長崎県,1259,UDA,長崎県,0,,-
3rd style,R5,0,,-,736,ROBROY,長崎県,1165,MASA.,長崎県,1757,GOTHIC,長崎県,0,,-
3rd style,Presto,0,,-,520,ROBROY,長崎県,952,KAEDE,長崎県,1002,UDA,長崎県,0,,-
3rd style,LEADING CYBER,0,,-,809,ROBROY,長崎県,1121,SHIURA,長崎県,1232,HEIPON,長崎県,0,,-
3rd style,Holic,0,,-,764,HEIPOP,長崎県,1214,UDA,長崎県,1725,1318,長崎県,0,,-
3rd style,era (nostalmix),0,,-,846,MOOON*,長崎県,1076,HITA*,長崎県,1507,HITA*,長崎県,0,,-
