バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,659,DECIDE,熊本県,1028,MO2K.K,熊本県,1151,STRNGI,熊本県,0,,-
1st&substream,RUGGED ASH,0,,-,370,*BOMI*,熊本県,402,*BOMI*,熊本県,1083,FOOMIE,熊本県,2020,FOOMIE,熊本県
1st&substream,R3,0,,-,630,KAMBAL,熊本県,718,592BU4,熊本県,905,FOOMIE,熊本県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,C-CAT,熊本県,739,D.Z.I.,熊本県,1112,STRNGI,熊本県,0,,-
1st&substream,Macho Gang,0,,-,368,C-CAT,熊本県,998,SYU4DX,熊本県,1641,STRNGI,熊本県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*BOMI*,熊本県,244,*BOMI*,熊本県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,846,KAMBAL,熊本県,957,SEXY23,熊本県,1193,FOOMIE,熊本県,0,,-
1st&substream,gentle stress,0,,-,336,C-CAT,熊本県,650,C-CAT,熊本県,1443,YM,熊本県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*BOMI*,熊本県,826,KONBU,熊本県,1061,D.Z.I.,熊本県,0,,-
1st&substream,GAMBOL,0,,-,274,*BOMI*,熊本県,274,*BOMI*,熊本県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,*BOMI*,熊本県,522,*BOMI*,熊本県,579,*BOMI*,熊本県,0,,-
1st&substream,deep in you,0,,-,450,DRACUL,熊本県,478,NJGAIA,熊本県,661,LASREG,熊本県,0,,-
1st&substream,5.1.1.,0,,-,198,*BOMI*,熊本県,981,NJGAIA,熊本県,1559,STRNGI,熊本県,0,,-
1st&substream,22DUNK,0,,-,479,KAMBAL,熊本県,615,EPOMON,熊本県,647,D.Z.I.,熊本県,0,,-
