バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,723,LAIR,大分県,1036,IIDX32,大分県,1154,HINATA,大分県,0,,-
1st&substream,RUGGED ASH,0,,-,360,SAMMYK,大分県,395,5392,大分県,1102,HINATA,大分県,2033,YAMADA,大分県
1st&substream,R3,0,,-,654,CXF,大分県,705,CHIURI,大分県,904,HINATA,大分県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,536,K,大分県,748,NUMATA,大分県,1120,ANDIRA,大分県,0,,-
1st&substream,Macho Gang,0,,-,380,HINATA,大分県,982,PLAN.B,大分県,1652,YAMADA,大分県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,PUNICO,大分県,244,HINATA,大分県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,787,SAMMYK,大分県,893,PLAN.B,大分県,1211,HINATA,大分県,0,,-
1st&substream,gentle stress,0,,-,344,HINATA,大分県,682,HINATA,大分県,1450,HINATA,大分県,0,,-
1st&substream,GENOM SCREAMS,0,,-,376,K,大分県,788,URAMP,大分県,1069,YAMADA,大分県,0,,-
1st&substream,GAMBOL,0,,-,269,10FU86,大分県,274,ANDIRA,大分県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,392,NGKAWA,大分県,485,NGKAWA,大分県,579,ANDIRA,大分県,0,,-
1st&substream,deep in you,0,,-,427,KAMO-R,大分県,486,MIKOTO,大分県,665,HINA.S,大分県,0,,-
1st&substream,5.1.1.,0,,-,198,WAROTA,大分県,1022,TANPA2,大分県,1571,MOTHER,大分県,0,,-
1st&substream,22DUNK,0,,-,488,PLAN.B,大分県,626,LUCATL,大分県,658,ANDIRA,大分県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,506,ANDIRA,大分県,612,5392,大分県,648,HINATA,大分県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,544,CHIURI,大分県,867,HINA.S,大分県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,840,CHIURI,大分県,1060,5392,大分県,1227,HINATA,大分県,0,,-
2nd style,I Was The One,0,,-,520,CHIURI,大分県,609,ELIO,大分県,695,ANDIRA,大分県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,698,K,大分県,870,GNSNGS,大分県,1070,HINATA,大分県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,690,SAMMYK,大分県,960,J,大分県,1135,HINATA,大分県,0,,-
2nd style,.59,0,,-,683,NGKAWA,大分県,998,CXF,大分県,1160,HINA.S,大分県,0,,-
3rd style,THE SAFARI,364,HINATA,大分県,1151,JA9,大分県,1779,HINATA,大分県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,263,PLAN.B,大分県,396,HINATA,大分県,0,,-,0,,-
3rd style,Skyscraper,0,,-,649,PLAN.B,大分県,1082,GNSNGS,大分県,1256,ANDIRA,大分県,0,,-
3rd style,Schlagwerk,0,,-,752,SAMMYK,大分県,1235,MAIYAN,大分県,1691,HINA.S,大分県,0,,-
3rd style,REINCARNATION,0,,-,785,KAMO-R,大分県,900,SIMON,大分県,1280,HINATA,大分県,0,,-
3rd style,R5,0,,-,760,LIAR,大分県,1135,KENDES,大分県,1770,WAROTA,大分県,0,,-
3rd style,Presto,0,,-,494,NGKAWA,大分県,991,ANDIRA,大分県,1015,HINA.S,大分県,0,,-
3rd style,LEADING CYBER,0,,-,754,SAMMYK,大分県,1134,MAIYAN,大分県,1280,HINATA,大分県,0,,-
3rd style,Holic,0,,-,749,TOILET,大分県,1214,22DUNK,大分県,1731,HINATA,大分県,0,,-
3rd style,era (nostalmix),0,,-,782,K,大分県,1091,K-JET.,大分県,1544,HINATA,大分県,0,,-
3rd style,Don't Stop!,0,,-,730,KAMO-R,大分県,802,SAMMYK,大分県,906,ANDIRA,大分県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,553,KAMO-R,大分県,1259,HINATA,大分県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,844,K,大分県,1243,HINATA,大分県,1332,HINATA,大分県,0,,-
4th style,SWEET LAB,0,,-,516,LAIR,大分県,965,MACDO.,大分県,1373,HINATA,大分県,0,,-
4th style,starmine,446,HINATA,大分県,841,K,大分県,1435,HINATA,大分県,1597,ANDIRA,大分県,0,,-
4th style,Mr.T.(take me higher),0,,-,792,KAMO-R,大分県,995,K-JET.,大分県,1768,HINATA,大分県,0,,-
4th style,minimalian,0,,-,496,SAMMYK,大分県,1034,MAIYAN,大分県,1411,HINATA,大分県,0,,-
4th style,LOVE WILL・・・,0,,-,503,THEEND,大分県,730,NGKAWA,大分県,1464,ANDIRA,大分県,0,,-
4th style,KAMIKAZE,0,,-,939,K,大分県,1432,WAMDUS,大分県,2311,HINATA,大分県,0,,-
4th style,Jam&Marmalade,0,,-,724,Y-CHAN,大分県,856,LAIR,大分県,1019,ANDIRA,大分県,0,,-
4th style,Hitch Hiker2,0,,-,762,NGKAWA,大分県,1130,LAIR,大分県,1322,HINATA,大分県,1938,HINA.S,大分県
4th style,HIGHER,0,,-,492,KAMO-R,大分県,917,YSG,大分県,1282,HINATA,大分県,0,,-
4th style,FLOWERS for ALBION,0,,-,238,ENNUI,大分県,444,HINATA,大分県,0,,-,0,,-
4th style,era (step mix),0,,-,989,MURA,大分県,1403,10FU86,大分県,1730,HINATA,大分県,0,,-
4th style,empathy,0,,-,795,YKP*,大分県,1193,MURA,大分県,1469,HINATA,大分県,0,,-
4th style,DXY!,0,,-,1265,ARASHI,大分県,1796,10FU86,大分県,2256,YAMADA,大分県,0,,-
4th style,Clione,0,,-,492,SAMMYK,大分県,927,WAMDUS,大分県,1616,HINATA,大分県,2174,HINATA,大分県
4th style,CHECKING YOU OUT,0,,-,638,NUMATA,大分県,918,K-JET.,大分県,1354,HINATA,大分県,0,,-
4th style,Burnin' The Floor,0,,-,554,KAMO-R,大分県,956,YAMADA,大分県,1440,HINATA,大分県,0,,-
4th style,Broken My Heart,0,,-,821,K,大分県,1388,IZUMI,大分県,1819,ANDIRA,大分県,0,,-
4th style,B4U,0,,-,943,K,大分県,1429,LIAR,大分県,2022,YAMADA,大分県,0,,-
4th style,ABSOLUTE,0,,-,1226,LAIR,大分県,1733,K1-,大分県,2408,HINA.S,大分県,2764,YAMADA,大分県
4th style,250bpm,0,,-,616,Y-CHAN,大分県,1022,MACDO.,大分県,1435,HINATA,大分県,0,,-
5th style,V,345,HINATA,大分県,1283,YAMADA,大分県,2520,HINATA,大分県,2997,YAMADA,大分県,0,,-
5th style,THE SHINING POLARIS,0,,-,838,PLAN.B,大分県,1267,5392,大分県,1593,HINATA,大分県,0,,-
5th style,THE CUBE,0,,-,669,KAMO-R,大分県,1208,K1-,大分県,1359,HINATA,大分県,0,,-
5th style,sync,0,,-,1086,HINATA,大分県,1814,KILA**,大分県,2391,HINATA,大分県,0,,-
5th style,still my words,0,,-,864,MIKE,大分県,1235,HINATA,大分県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,911,PLAN.B,大分県,1346,MACDO.,大分県,1925,NUMATA,大分県,0,,-
5th style,Spin the disc,0,,-,713,K,大分県,1307,HINATA,大分県,1341,HINATA,大分県,0,,-
5th style,sometime,0,,-,773,HINATA,大分県,1059,HINATA,大分県,1334,TANPA2,大分県,0,,-
5th style,RISLIM,0,,-,830,MURA,大分県,1243,HINA.S,大分県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,840,KAMO-R,大分県,1092,YAMADA,大分県,1719,HINATA,大分県,1848,CXF,大分県
5th style,Regulus,0,,-,864,PLAN.B,大分県,1395,WATTMA,大分県,1737,ANDIRA,大分県,0,,-
5th style,Real,0,,-,1040,BONA,大分県,1658,KUMATA,大分県,1832,HINATA,大分県,0,,-
5th style,Radical Faith,0,,-,1086,K,大分県,1524,ANDIRA,大分県,1315,HINATA,大分県,0,,-
5th style,QQQ,0,,-,1193,LIAR,大分県,1774,5392,大分県,2175,HINA.S,大分県,0,,-
5th style,outer wall,0,,-,834,Y-CHAN,大分県,1212,PLAN.B,大分県,1774,HINATA,大分県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,691,SAMMYK,大分県,876,KAME-R,大分県,1121,HINA.S,大分県,0,,-
5th style,in my eyes,0,,-,906,SAMMYK,大分県,1385,LAIR,大分県,1593,HINATA,大分県,0,,-
5th style,Abyss,0,,-,1176,K,大分県,1632,ANDIRA,大分県,1885,YAMADA,大分県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1008,SAMMYK,大分県,1579,ANDIRA,大分県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,795,MURA,大分県,1296,MACDO.,大分県,1394,HINATA,大分県,0,,-
6th style,VJ ARMY,0,,-,1288,HINATA,大分県,1748,HINATA,大分県,2232,HINATA,大分県,0,,-
6th style,Take It Easy,0,,-,1338,KAMO-R,大分県,2331,10FU86,大分県,2531,HINATA,大分県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1152,K,大分県,1862,HINATA,大分県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,888,CHIURI,大分県,1237,MAIYAN,大分県,1998,ANDIRA,大分県,0,,-
6th style,route 80s,0,,-,880,NANASY,大分県,1104,WATER1,大分県,1525,ANDIRA,大分県,0,,-
6th style,rottel-da-sun,0,,-,743,K,大分県,1358,NU-BE-,大分県,1866,HINATA,大分県,0,,-
6th style,NEMESIS,0,,-,832,THEEND,大分県,1522,U*,大分県,1908,HINATA,大分県,0,,-
6th style,Linus,0,,-,896,SAMMYK,大分県,1438,URAMP,大分県,2199,K-JET.,大分県,0,,-
6th style,G2,0,,-,1424,K-JET.,大分県,1674,NOOB,大分県,2331,YAMADA,大分県,0,,-
6th style,Frozen Ray (original mix),0,,-,1158,PLAN.B,大分県,1723,CXF,大分県,1808,ANDIRA,大分県,0,,-
6th style,Free Style,0,,-,825,MURA,大分県,935,MURA,大分県,1327,ANDIRA,大分県,0,,-
6th style,fly through the night,0,,-,875,WAMDUS,大分県,1275,WATER1,大分県,1719,HINA.S,大分県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1148,R-TYPE,大分県,1758,JA9,大分県,2113,YAMADA,大分県,0,,-
6th style,Colors (radio edit),0,,-,1203,MURA,大分県,1967,HINATA,大分県,2457,YAMADA,大分県,0,,-
6th style,Buffalo,0,,-,896,SAMMYK,大分県,1286,KAMO-R,大分県,1826,HINATA,大分県,2512,YAMADA,大分県
6th style,Blueberry Stream,0,,-,791,URAMP,大分県,1460,MACDO.,大分県,1665,ANDIRA,大分県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,564,M1G!TA,大分県,753,WATER1,大分県,1074,HINATA,大分県,0,,-
6th style,"19,November",0,,-,1036,PLAN.B,大分県,1406,5392,大分県,1813,HINATA,大分県,0,,-
7th style,革命,0,,-,745,AGE,大分県,1860,KILA**,大分県,2349,YAMADA,大分県,0,,-
7th style,ZERO-ONE,0,,-,1032,MAIYAN,大分県,1600,TAKA.4,大分県,2252,ANDIRA,大分県,2881,YAMADA,大分県
7th style,traces,0,,-,1442,LAIR,大分県,1777,NANASY,大分県,2144,HINATA,大分県,0,,-
7th style,Tomorrow Perfume,0,,-,1134,J,大分県,1857,YSIII,大分県,2139,HINATA,大分県,0,,-
7th style,stoic,0,,-,1495,MAIYAN,大分県,2312,U*,大分県,2575,YAMADA,大分県,0,,-
7th style,Spica,0,,-,620,SAMMYK,大分県,1420,BUNTU!,大分県,2260,K-JET.,大分県,0,,-
7th style,Love Me Do,0,,-,1119,WAMDUS,大分県,1678,WATER1,大分県,2116,YAMADA,大分県,0,,-
7th style,Let the Snow Paint Me,0,,-,781,SAMMYK,大分県,1047,WATER1,大分県,1248,ANDIRA,大分県,0,,-
7th style,Last Message,0,,-,915,THEEND,大分県,1258,WATER1,大分県,1627,YAMADA,大分県,0,,-
7th style,Happy Wedding,0,,-,1066,SAMMYK,大分県,1654,115TAL,大分県,1855,HINA.S,大分県,0,,-
7th style,Glorious Days,0,,-,489,LAIR,大分県,804,KOKURI,大分県,920,HINATA,大分県,0,,-
7th style,foreplay,0,,-,596,SAMMYK,大分県,1087,801,大分県,1345,ANDIRA,大分県,0,,-
