バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,716,*YULY*,鹿児島県,997,NICOLE,鹿児島県,1150,SUMIRE,鹿児島県,0,,-
1st&substream,RUGGED ASH,0,,-,358,*YULY*,鹿児島県,393,932-YU,鹿児島県,1107,CHP*1E,鹿児島県,2074,KANAWO,鹿児島県
1st&substream,R3,0,,-,612,*YULY*,鹿児島県,724,SACHI,鹿児島県,907,CHP*1E,鹿児島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,516,HAKU*,鹿児島県,717,HAKU*,鹿児島県,1120,CHP*1E,鹿児島県,0,,-
1st&substream,Macho Gang,0,,-,380,CHP*1E,鹿児島県,1029,ALICE,鹿児島県,1649,CHP*1E,鹿児島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,FRIERN,鹿児島県,244,SACHI,鹿児島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,796,*YULY*,鹿児島県,927,HAKU*,鹿児島県,1192,FUSI,鹿児島県,0,,-
1st&substream,gentle stress,0,,-,338,MASA,鹿児島県,650,RAM.,鹿児島県,1454,CHP*1E,鹿児島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,380,*YULY*,鹿児島県,805,EEE.,鹿児島県,1072,CHP*1E,鹿児島県,0,,-
1st&substream,GAMBOL,0,,-,266,SWITCH,鹿児島県,274,AITHON,鹿児島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,387,*YULY*,鹿児島県,484,SEKKEN,鹿児島県,576,POIFUL,鹿児島県,0,,-
1st&substream,deep in you,0,,-,478,KAI046,鹿児島県,495,CARSEX,鹿児島県,666,KANAWO,鹿児島県,0,,-
1st&substream,5.1.1.,0,,-,196,CHIKIN,鹿児島県,999,NEKO*3,鹿児島県,1571,CHP*1E,鹿児島県,0,,-
1st&substream,22DUNK,0,,-,476,*YULY*,鹿児島県,644,CHP*1E,鹿児島県,658,CHP*1E,鹿児島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,487,HAKU*,鹿児島県,613,HAKU*,鹿児島県,646,FUSI,鹿児島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,529,BARUCO,鹿児島県,868,CHP*1E,鹿児島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,797,*YULY*,鹿児島県,1061,SEKKEN,鹿児島県,1230,KANAWO,鹿児島県,0,,-
2nd style,I Was The One,0,,-,525,HAKU*,鹿児島県,627,CARSEX,鹿児島県,690,POIFUL,鹿児島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,697,*YULY*,鹿児島県,852,RPG,鹿児島県,1062,SACHI,鹿児島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,674,*YULY*,鹿児島県,930,SEKKEN,鹿児島県,1134,CHP*1E,鹿児島県,0,,-
2nd style,.59,0,,-,692,SWITCH,鹿児島県,984,CARSEX,鹿児島県,1154,SUMIRE,鹿児島県,0,,-
3rd style,THE SAFARI,339,*YULY*,鹿児島県,1141,HAKU*,鹿児島県,1783,CHP*1E,鹿児島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,265,HAKU*,鹿児島県,396,FUSI,鹿児島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,703,HAKU*,鹿児島県,1078,HAKU*,鹿児島県,1243,SACHI,鹿児島県,0,,-
3rd style,Schlagwerk,0,,-,771,*YULY*,鹿児島県,1233,SEKKEN,鹿児島県,1685,CHP*1E,鹿児島県,0,,-
3rd style,REINCARNATION,0,,-,795,SHAMAR,鹿児島県,948,SEKKEN,鹿児島県,1274,SACHI,鹿児島県,0,,-
3rd style,R5,0,,-,707,*YULY*,鹿児島県,1146,EEE.,鹿児島県,1772,CHP*1E,鹿児島県,0,,-
3rd style,Presto,0,,-,487,*YULY*,鹿児島県,981,SACHI,鹿児島県,1013,CHP*1E,鹿児島県,0,,-
3rd style,LEADING CYBER,0,,-,781,SHAMAR,鹿児島県,1145,IIDX33,鹿児島県,1280,CHP*1E,鹿児島県,0,,-
3rd style,Holic,0,,-,706,*YULY*,鹿児島県,1227,SACHI,鹿児島県,1735,CHP*1E,鹿児島県,0,,-
3rd style,era (nostalmix),0,,-,813,MUU,鹿児島県,1102,CHP*1E,鹿児島県,1553,CHP*1E,鹿児島県,0,,-
3rd style,Don't Stop!,0,,-,729,BARUCO,鹿児島県,818,HAKU*,鹿児島県,906,CHP*1E,鹿児島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,586,BARUCO,鹿児島県,1240,FUSI,鹿児島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,832,BARUCO,鹿児島県,1253,CHP*1E,鹿児島県,1334,CHP*1E,鹿児島県,0,,-
4th style,SWEET LAB,0,,-,501,*YULY*,鹿児島県,929,CARSEX,鹿児島県,1378,CHP*1E,鹿児島県,0,,-
4th style,starmine,430,SHAMAR,鹿児島県,824,*YULY*,鹿児島県,1430,CHP*1E,鹿児島県,1595,CHP*1E,鹿児島県,0,,-
4th style,Mr.T.(take me higher),0,,-,798,MUU,鹿児島県,921,NICOLE,鹿児島県,1769,CHP*1E,鹿児島県,0,,-
4th style,minimalian,0,,-,504,*YULY*,鹿児島県,1046,SUQNE*,鹿児島県,1410,CHP*1E,鹿児島県,0,,-
4th style,LOVE WILL・・・,0,,-,531,HAKU*,鹿児島県,744,HAKU*,鹿児島県,1456,AAABBB,鹿児島県,0,,-
4th style,KAMIKAZE,0,,-,946,BARUCO,鹿児島県,1443,R5,鹿児島県,2312,CHP*1E,鹿児島県,0,,-
4th style,Jam&Marmalade,0,,-,731,HAKU*,鹿児島県,823,HAKU*,鹿児島県,1021,CHP*1E,鹿児島県,0,,-
4th style,Hitch Hiker2,0,,-,772,HAKU*,鹿児島県,1155,NEKO*3,鹿児島県,1321,SACHI,鹿児島県,1927,HIRO99,鹿児島県
4th style,HIGHER,0,,-,499,*YULY*,鹿児島県,866,SEKKEN,鹿児島県,1282,KANAWO,鹿児島県,0,,-
4th style,FLOWERS for ALBION,0,,-,241,CHP*1E,鹿児島県,442,CHP*1E,鹿児島県,0,,-,0,,-
4th style,era (step mix),0,,-,981,HAKU*,鹿児島県,1315,GULI,鹿児島県,1738,KANAWO,鹿児島県,0,,-
4th style,empathy,0,,-,796,RUNA96,鹿児島県,1251,SEKKEN,鹿児島県,1473,CHP*1E,鹿児島県,0,,-
