バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,773,DOLPE.,沖縄県,1045,SIM,沖縄県,1141,P-TIME,沖縄県,0,,-
1st&substream,RUGGED ASH,0,,-,364,ANAL,沖縄県,398,F1VE,沖縄県,1081,P-TIME,沖縄県,1987,HKTK3,沖縄県
1st&substream,R3,0,,-,642,ZISKA,沖縄県,725,ONLOOK,沖縄県,906,UME-G-,沖縄県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,550,ZISKA,沖縄県,740,ONLOOK,沖縄県,1105,HKTK3,沖縄県,0,,-
1st&substream,Macho Gang,0,,-,376,SIM,沖縄県,1033,SYORYU,沖縄県,1637,UME-G-,沖縄県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,ANAL,沖縄県,244,CHOGAS,沖縄県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,866,HKTK3,沖縄県,980,MORU,沖縄県,1194,HKTK3,沖縄県,0,,-
1st&substream,gentle stress,0,,-,336,BUTCH!,沖縄県,665,F1VE,沖縄県,1452,P-TIME,沖縄県,0,,-
1st&substream,GENOM SCREAMS,0,,-,404,ANAL,沖縄県,807,ONLOOK,沖縄県,1057,P-TIME,沖縄県,0,,-
1st&substream,GAMBOL,0,,-,269,ANAL,沖縄県,274,WING.,沖縄県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,JANSI-,沖縄県,513,ANAL,沖縄県,574,SIM,沖縄県,0,,-
1st&substream,deep in you,0,,-,490,ANAL,沖縄県,494,ANAL,沖縄県,660,UME-G-,沖縄県,0,,-
1st&substream,5.1.1.,0,,-,195,ANAL,沖縄県,1002,F1VE,沖縄県,1566,ONLOOK,沖縄県,0,,-
1st&substream,22DUNK,0,,-,518,ANAL,沖縄県,621,-NIDHG,沖縄県,653,UME-G-,沖縄県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,ANAL,沖縄県,616,PQR*,沖縄県,647,ONLOOK,沖縄県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,570,ANAL,沖縄県,847,CHOGAS,沖縄県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,849,ANAL,沖縄県,1113,PQR*,沖縄県,1216,JAGAO4,沖縄県,0,,-
2nd style,I Was The One,0,,-,533,ANAL,沖縄県,634,ANAL,沖縄県,690,SIM,沖縄県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,756,ANAL,沖縄県,929,ONLOOK,沖縄県,1061,SIM,沖縄県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,721,ANAL,沖縄県,1030,ZISKA,沖縄県,1111,MAYAMA,沖縄県,0,,-
2nd style,.59,0,,-,697,JANSI-,沖縄県,990,TWICE,沖縄県,1157,WING.,沖縄県,0,,-
3rd style,THE SAFARI,358,BUTCH!,沖縄県,1121,JANSI-,沖縄県,1755,MAYAMA,沖縄県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,ANAL,沖縄県,392,ANAL,沖縄県,0,,-,0,,-
3rd style,Skyscraper,0,,-,699,H.U.,沖縄県,1176,ONLOOK,沖縄県,1235,MAYAMA,沖縄県,0,,-
3rd style,Schlagwerk,0,,-,791,ZISKA,沖縄県,1281,ONLOOK,沖縄県,1682,UME-G-,沖縄県,0,,-
3rd style,REINCARNATION,0,,-,825,BUTCH!,沖縄県,1016,ONLOOK,沖縄県,1260,HKTK3,沖縄県,0,,-
3rd style,R5,0,,-,768,ONLOOK,沖縄県,1163,HKTK3,沖縄県,1774,MAYAMA,沖縄県,0,,-
3rd style,Presto,0,,-,532,ANAL,沖縄県,955,BUTCH!,沖縄県,1007,WING.,沖縄県,0,,-
3rd style,LEADING CYBER,0,,-,822,JANSI-,沖縄県,1173,TWICE,沖縄県,1268,SSM,沖縄県,0,,-
3rd style,Holic,0,,-,756,ZISKA,沖縄県,1172,BUTCH!,沖縄県,1713,MAYAMA,沖縄県,0,,-
3rd style,era (nostalmix),0,,-,829,ZISKA,沖縄県,1082,MAYAMA,沖縄県,1550,SSM,沖縄県,0,,-
3rd style,Don't Stop!,0,,-,768,ANAL,沖縄県,847,ONLOOK,沖縄県,900,P-TIME,沖縄県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,599,ANAL,沖縄県,1244,P-TIME,沖縄県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,922,ZISKA,沖縄県,1223,SIM,沖縄県,1307,MAYAMA,沖縄県,0,,-
