バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,704,HOHOUS,香港,1012,GORENG,香港,1148,NPC-06,香港,0,,-
1st&substream,RUGGED ASH,0,,-,365,AKINA*,香港,390,AKINA*,香港,1077,TKC-04,香港,1993,G.17BA,香港
1st&substream,R3,0,,-,624,AKINA*,香港,710,NOB,香港,903,DONDIE,香港,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,545,AKINA*,香港,717,RAITO.,香港,1088,CPU6,香港,0,,-
1st&substream,Macho Gang,0,,-,369,HOHOUS,香港,1031,NOB,香港,1583,CPU6,香港,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,DONDIE,香港,244,GAYSEX,香港,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,825,BASH,香港,940,FEOWER,香港,1183,NPC-06,香港,0,,-
1st&substream,gentle stress,0,,-,341,NOB,香港,668,YOUKA,香港,1436,TMHGKG,香港,0,,-
1st&substream,GENOM SCREAMS,0,,-,411,HOHOUS,香港,791,ONION,香港,1040,1664,香港,0,,-
1st&substream,GAMBOL,0,,-,270,ONION,香港,273,ONION,香港,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,403,AKINA*,香港,496,NOB,香港,561,NOB,香港,0,,-
1st&substream,deep in you,0,,-,469,YUU-,香港,466,GORI,香港,659,DONDIE,香港,0,,-
1st&substream,5.1.1.,0,,-,197,NPC-R.,香港,967,RAITO.,香港,1558,CLOO,香港,0,,-
1st&substream,22DUNK,0,,-,501,FEOWER,香港,633,GURISU,香港,643,NPC-06,香港,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,465,BASH,香港,581,ME-ME,香港,644,DJCLOO,香港,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,562,NOB,香港,856,DONDIE,香港,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,827,NOB,香港,1037,FEOWER,香港,1191,NPC-06,香港,0,,-
2nd style,I Was The One,0,,-,526,HOHOUS,香港,626,AKINA*,香港,689,DONDIE,香港,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,710,BASH,香港,904,NOB,香港,1042,NPC-06,香港,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,614,BASH,香港,979,NOB,香港,1101,ONION,香港,0,,-
2nd style,.59,0,,-,653,BASH,香港,980,NOB,香港,1150,DONDIE,香港,0,,-
3rd style,THE SAFARI,359,AKINA*,香港,1167,NOB,香港,1729,CLOO,香港,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,HOHOUS,香港,389,AKINA*,香港,0,,-,0,,-
3rd style,Skyscraper,0,,-,707,AKINA*,香港,1084,BASH,香港,1238,MEWEAK,香港,0,,-
3rd style,Schlagwerk,0,,-,784,IIDX27,香港,1242,NOB,香港,1652,IODIDE,香港,0,,-
3rd style,REINCARNATION,0,,-,800,HOHOUS,香港,1000,NOB,香港,1246,MEWEAK,香港,0,,-
3rd style,R5,0,,-,740,AKINA*,香港,1119,IPX970,香港,1761,CLOO,香港,0,,-
3rd style,Presto,0,,-,529,AKINA*,香港,964,ONION,香港,996,TMHGKG,香港,0,,-
3rd style,LEADING CYBER,0,,-,772,BASH,香港,1144,KUSOGE,香港,1261,BRUH,香港,0,,-
3rd style,Holic,0,,-,754,KAMEAS,香港,1195,NIKEDD,香港,1718,G.17BA,香港,0,,-
3rd style,era (nostalmix),0,,-,773,BASH,香港,1073,1RNKRN,香港,1524,DONDIE,香港,0,,-
3rd style,Don't Stop!,0,,-,764,GAYSEX,香港,819,NOB,香港,890,NPC-06,香港,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,558,BASH,香港,1241,BRUH,香港,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,797,BASH,香港,1215,DJCLOO,香港,1305,LAI-,香港,0,,-
4th style,SWEET LAB,0,,-,504,AKINA*,香港,903,BBB,香港,1330,CLOO,香港,0,,-
4th style,starmine,442,AKINA*,香港,849,AKINA*,香港,1401,DJCLOO,香港,1558,TKC-04,香港,0,,-
4th style,Mr.T.(take me higher),0,,-,802,AKINA*,香港,971,AKINA*,香港,1713,NPC-08,香港,0,,-
4th style,minimalian,0,,-,512,PUSHEN,香港,1029,NOB,香港,1383,RIICHI,香港,0,,-
4th style,LOVE WILL・・・,0,,-,513,FEOWER,香港,729,AKINA*,香港,1457,BRUH,香港,0,,-
4th style,KAMIKAZE,0,,-,980,NOB,香港,1394,BBB,香港,2282,LAI-,香港,0,,-
4th style,Jam&Marmalade,0,,-,739,NOB,香港,778,KIRSCH,香港,999,NPC-06,香港,0,,-
4th style,Hitch Hiker2,0,,-,788,NOB,香港,1161,FEOWER,香港,1290,NPC-04,香港,1908,CLOO,香港
4th style,HIGHER,0,,-,488,BASH,香港,891,FEOWER,香港,1258,CLOO,香港,0,,-
4th style,FLOWERS for ALBION,0,,-,243,HOHOUS,香港,431,TMHGKG,香港,0,,-,0,,-
4th style,era (step mix),0,,-,1042,TANRE1,香港,1392,NPC-01,香港,1696,CLOO,香港,0,,-
4th style,empathy,0,,-,741,BASH,香港,1293,NOB,香港,1422,1RNKRN,香港,0,,-
4th style,DXY!,0,,-,1203,FEOWER,香港,1739,NOB,香港,2209,CLOO,香港,0,,-
4th style,Clione,0,,-,473,BASH,香港,914,NOB,香港,1599,DJCLOO,香港,2147,NPC-06,香港
4th style,CHECKING YOU OUT,0,,-,592,G.17BA,香港,877,CPU6,香港,1326,LAI-,香港,0,,-
4th style,Burnin' The Floor,0,,-,544,BASH,香港,914,KUSOGE,香港,1434,BRUH,香港,0,,-
4th style,Broken My Heart,0,,-,821,BASH,香港,1423,RAITO.,香港,1805,MEWEAK,香港,0,,-
4th style,B4U,0,,-,1017,NOB,香港,1480,NOB,香港,1980,CLOO,香港,0,,-
4th style,ABSOLUTE,0,,-,1277,NOB,香港,1710,NOB,香港,2352,NPC-04,香港,2690,TKC-04,香港
4th style,250bpm,0,,-,557,BASH,香港,958,NOB,香港,1370,TKC-04,香港,0,,-
5th style,V,345,AKINA*,香港,1281,TMHGKG,香港,2451,G.17BA,香港,2965,CLOO,香港,0,,-
5th style,THE SHINING POLARIS,0,,-,872,BASH,香港,1264,FEOWER,香港,1563,BRUH,香港,0,,-
5th style,THE CUBE,0,,-,663,BASH,香港,1199,NOB,香港,1327,REISEN,香港,0,,-
5th style,sync,0,,-,1049,NOB,香港,1911,NPC-01,香港,2361,CLOO,香港,0,,-
5th style,still my words,0,,-,864,FEOWER,香港,1234,DONDIE,香港,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,941,AKINA*,香港,1274,NOB,香港,1903,CLOO,香港,0,,-
5th style,Spin the disc,0,,-,764,IIDX27,香港,1275,DJCLOO,香港,1327,CLOO,香港,0,,-
5th style,sometime,0,,-,736,NOB,香港,1017,NOB,香港,1309,DONDIE,香港,0,,-
5th style,RISLIM,0,,-,875,ASTRUM,香港,1173,NOB,香港,0,,-,0,,-
