バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,779,NAZUPI,韓国,1054,CHARM,韓国,1162,DON*,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,367,CHAARU,韓国,398,SHION,韓国,1106,FAFNIR,韓国,2081,KKM*,韓国
1st&substream,R3,0,,-,648,NAZUPI,韓国,735,LICHT,韓国,906,SIGSIG,韓国,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,552,ENVY*,韓国,744,NAZUPI,韓国,1122,KKM*,韓国,0,,-
1st&substream,Macho Gang,0,,-,382,CHARM,韓国,1057,CB04,韓国,1666,CHARM,韓国,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,FAFNIR,韓国,244,INTE,韓国,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,865,CHAARU,韓国,998,RALO,韓国,1215,KKM*,韓国,0,,-
1st&substream,gentle stress,0,,-,342,NAZUPI,韓国,676,ARISA,韓国,1455,CHARM,韓国,0,,-
1st&substream,GENOM SCREAMS,0,,-,414,NAZUPI,韓国,830,.,韓国,1072,FAFNIR,韓国,0,,-
1st&substream,GAMBOL,0,,-,274,EUN-!?,韓国,274,JUN,韓国,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,401,MINY,韓国,519,NODEGI,韓国,580,RAPID3,韓国,0,,-
1st&substream,deep in you,0,,-,490,INTE,韓国,501,MINY,韓国,664,YUZ.02,韓国,0,,-
1st&substream,5.1.1.,0,,-,198,SUNSUN,韓国,1020,TZM,韓国,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,517,DMRS,韓国,634,E.K.2.,韓国,657,CHARM,韓国,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,PALETE,韓国,613,K12H,韓国,648,CHARM,韓国,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,566,ENVY*,韓国,866,DON*,韓国,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,848,CHAARU,韓国,1097,NAZUPI,韓国,1233,DON*,韓国,0,,-
2nd style,I Was The One,0,,-,530,CHAARU,韓国,635,CHAARU,韓国,695,SIGSIG,韓国,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,765,PALETE,韓国,942,GB-001,韓国,1073,CHARM,韓国,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,718,NAZUPI,韓国,1041,NO2,韓国,1139,KKM*,韓国,0,,-
2nd style,.59,0,,-,693,PALETE,韓国,992,NO2,韓国,1161,KKM*,韓国,0,,-
3rd style,THE SAFARI,365,INTE,韓国,1212,NAZUPI,韓国,1795,DON*,韓国,0,,-,0,,-
3rd style,Tangerine Stream,66,LINCLE,韓国,274,HIHU,韓国,396,CHARM,韓国,0,,-,0,,-
3rd style,Skyscraper,0,,-,720,T,韓国,1183,NODEGI,韓国,1255,CHARM,韓国,0,,-
3rd style,Schlagwerk,0,,-,795,K12H,韓国,1322,KKM*,韓国,1695,CHARM,韓国,0,,-
3rd style,REINCARNATION,0,,-,821,NAZUPI,韓国,1018,RALO,韓国,1285,DON*,韓国,0,,-
3rd style,R5,0,,-,766,INTE,韓国,1176,CHARM,韓国,1776,CHARM,韓国,0,,-
3rd style,Presto,0,,-,530,BYERDN,韓国,991,CHARM,韓国,1013,CHARM,韓国,0,,-
