バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,751,POM#*-,台湾,1015,691020,台湾,1148,LEG,台湾,0,,-
1st&substream,RUGGED ASH,0,,-,366,M.T.,台湾,400,KS472,台湾,1062,TAMAGO,台湾,2001,AQUARS,台湾
1st&substream,R3,0,,-,587,POM#*-,台湾,712,R*RPNT,台湾,877,------,台湾,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,545,WING67,台湾,741,CORG1$,台湾,1108,MKT,台湾,0,,-
1st&substream,Macho Gang,0,,-,373,CORGIB,台湾,1015,691020,台湾,1585,PRO-Q4,台湾,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,A-SAM-,台湾,244,TAMAGO,台湾,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,823,SQUALL,台湾,966,POM?!*,台湾,1176,LASK,台湾,0,,-
1st&substream,gentle stress,0,,-,337,LENG,台湾,661,500ACB,台湾,1428,CORGIB,台湾,0,,-
1st&substream,GENOM SCREAMS,0,,-,398,TEDOMI,台湾,784,691020,台湾,1054,TAMAGO,台湾,0,,-
1st&substream,GAMBOL,0,,-,273,KS4728,台湾,274,KS472,台湾,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,401,MUJAJA,台湾,512,CORGIB,台湾,576,TOKO?,台湾,0,,-
1st&substream,deep in you,0,,-,477,HUJAJA,台湾,492,L1X#ND,台湾,655,A-SAM-,台湾,0,,-
1st&substream,5.1.1.,0,,-,197,TOKO?,台湾,975,LUNA,台湾,1552,L1X#ND,台湾,0,,-
1st&substream,22DUNK,0,,-,492,POM#*-,台湾,619,691020,台湾,642,TOKO?,台湾,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,492,MATSRU,台湾,611,POM?!*,台湾,630,LASK,台湾,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,547,LANYEN,台湾,859,OTTER,台湾,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,814,POM#*-,台湾,1074,S.O.S.,台湾,1223,TADA,台湾,0,,-
2nd style,I Was The One,0,,-,490,POM#*-,台湾,637,691020,台湾,680,RMNBOT,台湾,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,731,POM#*-,台湾,919,691020,台湾,1061,REKII,台湾,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,693,POM#*-,台湾,1021,691020,台湾,1114,GOBLIN,台湾,0,,-
2nd style,.59,0,,-,667,POM#*-,台湾,968,R*RPNT,台湾,1136,CORGIB,台湾,0,,-
3rd style,THE SAFARI,359,QQ,台湾,1106,POM#*-,台湾,1745,CORGIB,台湾,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,268,POM#*-,台湾,393,R*RPNT,台湾,0,,-,0,,-
3rd style,Skyscraper,0,,-,722,POM?!*,台湾,1170,R*RPNT,台湾,1225,SHINGO,台湾,0,,-
3rd style,Schlagwerk,0,,-,805,POM?!*,台湾,1258,ENA*,台湾,1670,DEJAVU,台湾,0,,-
3rd style,REINCARNATION,0,,-,795,POM#*-,台湾,1008,691020,台湾,1241,SHINGO,台湾,0,,-
3rd style,R5,0,,-,745,YOKO.H,台湾,1149,691020,台湾,1757,TADA,台湾,0,,-
3rd style,Presto,0,,-,511,KA,台湾,971,REKII,台湾,1007,TAMAGO,台湾,0,,-
3rd style,LEADING CYBER,0,,-,803,POM#*-,台湾,1132,R*RPNT,台湾,1248,LIAOZ.,台湾,0,,-
3rd style,Holic,0,,-,755,BBASS,台湾,1186,691020,台湾,1684,JEB,台湾,0,,-
3rd style,era (nostalmix),0,,-,800,FERNLX,台湾,1077,A-SAM-,台湾,1516,LIAOZ.,台湾,0,,-
3rd style,Don't Stop!,0,,-,751,SUMIMI,台湾,839,691020,台湾,896,TOKO?,台湾,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,599,POM#*-,台湾,1229,AQUARS,台湾,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,859,WING67,台湾,1179,E.255*,台湾,1310,DEJAVU,台湾,0,,-
4th style,SWEET LAB,0,,-,523,POM#*-,台湾,975,LEG,台湾,1339,A-SAM-,台湾,0,,-
4th style,starmine,427,YOKO.H,台湾,803,YOKO.H,台湾,1387,NPC-19,台湾,1580,TAMAGO,台湾,0,,-
4th style,Mr.T.(take me higher),0,,-,783,WING67,台湾,984,R*RPNT,台湾,1750,TAMAGO,台湾,0,,-
4th style,minimalian,0,,-,505,POM#*-,台湾,1056,O3BA4.,台湾,1380,A-SAM-,台湾,0,,-
4th style,LOVE WILL・・・,0,,-,481,RYNEX.,台湾,737,691020,台湾,1449,CORGIB,台湾,0,,-
4th style,KAMIKAZE,0,,-,952,YOKO.H,台湾,1448,KS472,台湾,2291,TADA,台湾,0,,-
4th style,Jam&Marmalade,0,,-,708,CHOCHO,台湾,876,R*RPNT,台湾,1002,LEG,台湾,0,,-
4th style,Hitch Hiker2,0,,-,791,YOKO.H,台湾,1121,YOKO.H,台湾,1301,DEJAVU,台湾,1912,LIAOZ.,台湾
4th style,HIGHER,0,,-,528,POM#*-,台湾,915,691020,台湾,1262,TOKO?,台湾,0,,-
4th style,FLOWERS for ALBION,0,,-,233,CORGIB,台湾,435,TAMAGO,台湾,0,,-,0,,-
4th style,era (step mix),0,,-,1007,FERNLX,台湾,1373,O3BA4.,台湾,1688,LIAOZ.,台湾,0,,-
4th style,empathy,0,,-,645,FOX,台湾,1309,691020,台湾,1439,LIAOZ.,台湾,0,,-
4th style,DXY!,0,,-,1236,POM?!*,台湾,1850,TAMAGO,台湾,2197,LEG,台湾,0,,-
4th style,Clione,0,,-,501,NOV.,台湾,920,691020,台湾,1591,CORGIB,台湾,2117,LIAOZ.,台湾
4th style,CHECKING YOU OUT,0,,-,621,LIAOZ.,台湾,897,RMNBOT,台湾,1331,LIAOZ.,台湾,0,,-
4th style,Burnin' The Floor,0,,-,532,GOTCHA,台湾,941,691020,台湾,1433,LEG,台湾,0,,-
